"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"06001","Alameda County, CA","365","169","186","10",".",".",".","133","72","52",".","6","86","273","."
"06003","Alpine County, CA","50","45","5",".",".",".",".","83","50.5","31",".",".",".","50","."
"06005","Amador County, CA","359","263","86","10",".",".",".","133","80","42",".",".","359",".","."
"06007","Butte County, CA","365","127","224","12","2",".",".","156","84","57",".",".","177","188","."
"06009","Calaveras County, CA","361","209","148","4",".",".",".","115","71","47",".",".","217","144","."
"06011","Colusa County, CA","365","163","202",".",".",".",".","99","67","52",".",".","87","277","1"
"06013","Contra Costa County, CA","365","150","210","5",".",".",".","133","71","53",".",".","75","290","."
"06015","Del Norte County, CA","115","108","7",".",".",".",".","60","43","16",".",".",".","115","."
"06017","El Dorado County, CA","365","223","96","43","3",".",".","163","105","45",".",".","354","4","7"
"06019","Fresno County, CA","365","48","193","91","33",".",".","197","148","83",".",".","199","165","1"
"06021","Glenn County, CA","365","244","120","1",".",".",".","105","61","44",".",".","199","159","7"
"06023","Humboldt County, CA","365","152","207","5","1",".",".","169","69","53",".",".","49","312","4"
"06025","Imperial County, CA","365","24","287","45","5","2","2","352","112","69",".",".","79","224","62"
"06027","Inyo County, CA","365","222","128","6","5","1","3","957","84","48",".",".","272","55","38"
"06029","Kern County, CA","365","17","188","117","42",".","1","307","154","97",".",".","217","140","8"
"06031","Kings County, CA","365","69","219","52","25",".",".","180","126","71",".",".","186","138","41"
"06033","Lake County, CA","357","333","24",".",".",".",".","93","48","37",".",".","349","7","1"
"06037","Los Angeles County, CA","365","8","250","79","26","2",".","205","143","82",".","11","155","197","2"
"06039","Madera County, CA","365","63","227","60","15",".",".","179","126","68",".",".","191","169","5"
"06041","Marin County, CA","365","130","234","1",".",".",".","107","65","53",".","2","21","342","."
"06043","Mariposa County, CA","365","160","178","26","1",".",".","153","93","53",".",".","255","107","3"
"06045","Mendocino County, CA","365","224","141",".",".",".",".","96","62","44",".",".","76","289","."
"06047","Merced County, CA","364","120","186","56","2",".",".","157","113","61",".","2","223","137","2"
"06051","Mono County, CA","365","332","21","1","3","2","6","2739","45","16",".",".",".","56","309"
"06053","Monterey County, CA","365","285","80",".",".",".",".","100","55","40",".",".","161","188","16"
"06055","Napa County, CA","365","111","254",".",".",".",".","90","69","55",".",".","19","346","."
"06057","Nevada County, CA","365","211","120","33","1",".",".","168","100","47",".",".","351","14","."
"06059","Orange County, CA","365","35","309","19","2",".",".","156","87","63",".","12","51","300","2"
"06061","Placer County, CA","365","116","221","23","3","2",".","265","97","57",".",".","179","186","."
"06063","Plumas County, CA","127","58","56","10","3",".",".","158","103","52",".",".",".","127","."
"06065","Riverside County, CA","365","11","198","122","32","1","1","541","150","93",".",".","191","119","55"
"06067","Sacramento County, CA","365","133","192","40",".",".",".","147","105","55",".",".","203","160","2"
"06069","San Benito County, CA","365","286","75","4",".",".",".","115","61","42",".",".","314","51","."
"06071","San Bernardino County, CA","365","21","217","83","43","1",".","201","159","82",".","8","198","144","15"
"06073","San Diego County, CA","365","48","278","37","2",".",".","170","101","65",".","9","157","188","11"
"06075","San Francisco County, CA","365","249","116",".",".",".",".","97","59","39",".","32","101","232","."
"06077","San Joaquin County, CA","365","112","219","33","1",".",".","152","99","58",".",".","165","196","4"
"06079","San Luis Obispo County, CA","365","81","270","14",".",".",".","126","87","60",".",".","110","253","2"
"06081","San Mateo County, CA","365","278","87",".",".",".",".","99","59","38","1","11","142","211","."
"06083","Santa Barbara County, CA","365","161","198","4","2",".",".","159","66","52",".","1","132","229","3"
"06085","Santa Clara County, CA","365","216","141","7","1",".",".","154","71","46",".","9","140","215","1"
"06087","Santa Cruz County, CA","365","256","97","12",".",".",".","136","70","39",".",".","188","177","."
"06089","Shasta County, CA","365","272","87","6",".",".",".","126","71","43",".",".","348","15","2"
"06093","Siskiyou County, CA","363","330","31",".","2",".",".","162","50","37",".",".","343","18","2"
"06095","Solano County, CA","365","171","191","3",".",".",".","124","69","51",".","1","83","281","."
"06097","Sonoma County, CA","365","257","108",".",".",".",".","83","58","42",".",".","142","221","2"
"06099","Stanislaus County, CA","365","112","194","53","6",".",".","164","114","60",".",".","206","157","2"
"06101","Sutter County, CA","365","132","220","12","1",".",".","156","84","55",".","3","138","223","1"
"06103","Tehama County, CA","364","227","121","15","1",".",".","151","80","45",".",".","318","46","."
"06105","Trinity County, CA","112","102","10",".",".",".",".","90","44","12",".",".",".","112","."
"06107","Tulare County, CA","365","44","197","97","27",".",".","172","145","84",".",".","197","167","1"
"06109","Tuolumne County, CA","334","214","104","16",".",".",".","133","87","46",".",".","334",".","."
"06111","Ventura County, CA","365","101","249","15",".",".",".","150","87","58",".",".","170","191","4"
"06113","Yolo County, CA","365","215","149","1",".",".",".","101","63","46",".","1","156","208","."
