observation_date,REALGDPALL06001,REALGDPALL06003,REALGDPALL06005,REALGDPALL06007,REALGDPALL06009,REALGDPALL06011,REALGDPALL06013,REALGDPALL06015,REALGDPALL06017,REALGDPALL06019,REALGDPALL06021,REALGDPALL06023,REALGDPALL06025,REALGDPALL06027,REALGDPALL06029,REALGDPALL06031,REALGDPALL06033,REALGDPALL06035,REALGDPALL06037,REALGDPALL06039,REALGDPALL06041,REALGDPALL06043,REALGDPALL06045,REALGDPALL06047,REALGDPALL06049,REALGDPALL06051,REALGDPALL06053,REALGDPALL06055,REALGDPALL06057,REALGDPALL06059,REALGDPALL06061,REALGDPALL06063,REALGDPALL06065,REALGDPALL06067,REALGDPALL06069,REALGDPALL06071,REALGDPALL06073,REALGDPALL06075,REALGDPALL06077,REALGDPALL06079,REALGDPALL06081,REALGDPALL06083,REALGDPALL06085,REALGDPALL06087,REALGDPALL06089,REALGDPALL06091,REALGDPALL06093,REALGDPALL06095,REALGDPALL06097,REALGDPALL06099,REALGDPALL06101,REALGDPALL06103,REALGDPALL06105,REALGDPALL06107,REALGDPALL06109,REALGDPALL06111,REALGDPALL06113,REALGDPALL06115
2001-01-01,86924126,84720,1360828,6790163,1098393,908729,64845726,659710,5655039,29431750,848998,4600477,4964608,965714,25755077,4390062,1506160,927404,503930481,3232896,18364146,539365,3151675,5882351,253562,769602,21467714,7692253,3440456,173011458,12638112,890115,51420285,66648268,1668028,58916800,152305286,96979704,22012070,11694504,55508753,18704967,114379551,11886844,6593736,118555,1354418,16109477,22424276,16559172,2532153,1419839,327124,11635782,1914694,39016318,10021979,2204099
2002-01-01,87945920,87647,1572280,7281711,1193532,845631,64827092,667447,6145440,31820828,849378,4802114,6020679,1111568,29012540,4655085,1724205,987064,515035239,3645694,19231189,569676,3272134,6228573,317537,859898,22707029,8125294,3665890,178279658,13529428,994920,54805856,68445575,1761437,61292319,159296690,91606557,23016670,12969052,52600024,19509021,109854356,11886240,7329141,116164,1526489,16180224,23360909,17211668,3067456,1518222,363755,10822959,2265038,40234620,10202456,2374643
2003-01-01,91564585,89449,1616440,7600395,1220905,989680,65646731,692526,6297920,33660142,862690,4982105,5596632,1076625,28711292,5139149,1715429,1020138,532771908,3776368,19522211,571975,3274995,6787299,293992,920019,22677669,8215031,3710428,190327400,14820669,1102189,58801219,71424823,1899625,65404396,167846972,90194531,24072702,13283366,53860260,20301422,116812794,12186113,7532447,113575,1444473,16883711,23193391,17828749,3074716,1553812,386418,11393198,2296930,42820863,10568911,2502333
2004-01-01,92470454,86175,1685018,7713220,1201726,814567,68905840,728039,6564920,34313566,881121,5039924,5383995,1105228,31081743,5394188,1730232,1011939,547186213,4333401,18458177,607737,3152454,7429253,276574,893161,20329457,8134485,3676741,198881247,15650288,1076407,63373460,73543172,1910333,69556145,177125125,89086451,25030619,13372822,55540862,20957739,120865726,11811055,7375264,106816,1424598,17011575,23112212,18906794,3111914,1628286,373886,12631250,2317515,46880813,11055339,2426950
2005-01-01,94611477,87711,1677506,7912397,1290494,853126,75014351,744646,6731682,35649979,938771,5015388,5877892,1097048,33134867,5647094,1719832,1038774,561223732,4657830,18345518,644491,3159952,7767455,320058,1010851,20831154,8555837,3785424,209880551,16622639,1058762,68083178,77483295,1949034,73671854,186576147,93702505,26422098,13875713,57098643,21866361,128933564,11853826,7229051,111441,1407477,17623781,23574318,19533906,3005880,1739505,352092,13871037,2433650,49219057,11230028,2461033
2006-01-01,97221046,88802,1669942,8195172,1246157,921396,75242782,773156,6937119,37609487,850078,5034410,6297795,1113239,37563159,5257435,1789316,1076862,583748936,4851624,18669023,661549,3299503,7604136,320475,957182,22325843,8547432,3867355,217635923,16977804,1174926,71424698,79905067,2086821,76224344,190800982,97393698,25852898,14147487,60178419,22217771,137713799,11785891,7531668,111627,1484004,17873657,23737230,19987363,3235685,1657115,367853,13084688,2489599,54587334,11399368,2588931
2007-01-01,98832535,97501,1639393,8084613,1231004,1019449,73275314,791314,6825184,36710341,1065206,4989611,6078852,1105090,41176524,6129314,1803618,1105698,594511390,4862486,18240116,670364,3298696,8517193,311881,912119,21360900,8767280,3911896,217078906,16924593,1009383,72337200,81054187,2021147,78070933,194328788,100254666,25954332,14089588,61425414,22670140,151912514,11796626,7298233,111777,1434848,18622478,24262255,19706375,3384828,1688061,365651,14624649,2417989,59025486,12001509,2561887
2008-01-01,99236414,94188,1620129,7917794,1215672,1331160,90234175,858035,6820209,35584662,1092457,5155630,7113770,1140230,39972583,5479024,1798013,1225368,610075114,4790461,18547083,620916,3288094,7491142,368875,933435,21062003,8870551,3874678,210920162,16685837,1048146,70416943,80347318,1884473,76637924,193238641,100228048,25191852,13618390,61685111,23223812,160018867,11883271,7070736,107974,1545642,20283407,24112663,19117205,3719483,1580861,358199,13815747,2357542,54095039,12056502,2660591
2009-01-01,94214542,89805,1539261,8066507,1147589,1619244,78642291,807494,6575227,35919350,1214457,5052463,6819061,1101869,42593461,4937710,1719865,1143859,583207839,4204817,17961702,613080,3185268,7253520,399290,890530,22377864,8629252,3891712,198719180,16228065,1037521,66790719,76236787,1889020,71497246,183920034,100887861,24773148,13325930,62499270,23621228,156210615,12064825,6916958,104788,1407925,19506629,23049293,18863423,3905209,1563087,336077,12622564,2255875,53813657,11535085,2707581
2010-01-01,97503433,94445,1516280,8103725,1247463,1381681,70521397,806195,6588968,36233066,1114944,5359068,6774235,1128282,40698457,5065402,1805044,1185558,598544075,4912047,18238164,622188,3401713,7418508,374134,957690,21882546,8503238,4079897,205317439,16776601,1088605,68835343,74412439,1918522,72119139,186568771,103863514,24217769,14017954,63882026,23400850,169942756,13028773,7148754,107320,1386468,19525555,23744974,19014237,3613524,1666055,382431,13947483,2384417,53517947,11318089,2709494
2011-01-01,99901787,106013,1490526,8041960,1262941,1408579,61420189,802865,6730944,36625059,1051440,5340386,7039022,1111590,39989803,5799747,1802271,1246813,611166037,4931563,18543600,690766,3350173,7639161,337813,962813,20629712,8378966,4141006,205087109,17168175,1138167,70440569,76136340,1916887,73405846,190527186,111215845,24072391,14264171,66847544,23531863,185699289,12856863,7309077,101644,1519234,18858321,24211761,18963019,3310572,1624387,401963,14438491,2535427,50599745,11585911,2849855
2012-01-01,103075886,105258,1410001,7907486,1172114,1282490,61886376,768813,6523416,35489475,994931,5160145,6645696,1099973,43796655,5257986,1796253,1184808,619478724,5126914,19143313,637668,3181548,7402451,305924,893427,21478467,8944462,4059273,212680793,18050251,900543,70391947,76661446,1922579,73933946,193126868,121994272,24343657,14621518,81943922,24177358,194880453,12648140,7022507,94128,1467639,20537932,24729966,18692433,3158804,1626900,385015,13741919,2188505,49785812,11695460,2815429
2013-01-01,106957044,101992,1442873,8100816,1142856,1371562,63560918,758225,6626293,36916197,1070222,5129123,6988080,1092070,42835968,5247463,1793868,1149219,635468664,5259349,19841778,623588,3211620,7653680,308020,880953,22733536,9405317,4203609,217421708,18730154,937471,73802348,79035193,1917804,76156280,201179560,127409234,25277469,15164735,87237625,24612326,215704205,13069005,7021036,91989,1432259,21595510,25403056,18926529,3270939,1680855,391092,14039836,2168522,50380642,12183328,2919556
