observation_date,MHICA06001A052NCEN,MHICA06003A052NCEN,MHICA06005A052NCEN,MHICA06007A052NCEN,MHICA06009A052NCEN,MHICA06011A052NCEN,MHICA06013A052NCEN,MHICA06015A052NCEN,MHICA06017A052NCEN,MHICA06019A052NCEN,MHICA06021A052NCEN,MHICA06023A052NCEN,MHICA06025A052NCEN,MHICA06027A052NCEN,MHICA06029A052NCEN,MHICA06031A052NCEN,MHICA06033A052NCEN,MHICA06035A052NCEN,MHICA06037A052NCEN,MHICA06039A052NCEN,MHICA06041A052NCEN,MHICA06043A052NCEN,MHICA06045A052NCEN,MHICA06047A052NCEN,MHICA06049A052NCEN,MHICA06051A052NCEN,MHICA06053A052NCEN,MHICA06055A052NCEN,MHICA06057A052NCEN,MHICA06059A052NCEN,MHICA06061A052NCEN,MHICA06063A052NCEN,MHICA06065A052NCEN,MHICA06067A052NCEN,MHICA06069A052NCEN,MHICA06071A052NCEN,MHICA06073A052NCEN,MHICA06075A052NCEN,MHICA06077A052NCEN,MHICA06079A052NCEN,MHICA06081A052NCEN,MHICA06083A052NCEN,MHICA06085A052NCEN,MHICA06087A052NCEN,MHICA06089A052NCEN,MHICA06091A052NCEN,MHICA06093A052NCEN,MHICA06095A052NCEN,MHICA06097A052NCEN,MHICA06099A052NCEN,MHICA06101A052NCEN,MHICA06103A052NCEN,MHICA06105A052NCEN,MHICA06107A052NCEN,MHICA06109A052NCEN,MHICA06111A052NCEN,MHICA06113A052NCEN,MHICA06115A052NCEN
2001-01-01,54925,38401,41805,31342,40890,34722,64433,28841,51861,34020,31637,31251,30760,35848,35575,33879,29283,36128,41573,34010,73276,34192,35199,34074,27893,44395,46270,51618,46171,55994,58577,37431,42640,44526,56156,40672,47944,54779,40018,42026,69984,46279,72869,52984,34235,36679,29720,53832,52873,39300,38013,30609,27464,31587,37745,56525,41851,29927
2002-01-01,55595,37691,43628,32124,42563,34556,65186,29028,53182,34579,31751,31546,31412,36806,36441,34709,29886,36831,41506,34432,70854,35331,35644,34689,28072,44575,45878,52113,47478,55992,60543,38558,42929,45231,56279,41583,47867,53087,41042,43456,67440,46432,70216,51774,35374,36588,30285,55349,53230,40000,38585,31307,28170,32033,38770,57052,42412,30860
2003-01-01,56225,38825,44494,33528,43462,36579,64365,29990,54131,36003,32725,32211,32637,37553,37614,36137,31178,37687,41544,36050,66764,35437,35869,36738,28533,45654,45596,51991,47680,55909,61522,39514,44598,46351,56371,43294,48766,51402,42789,44310,65110,45818,68223,50977,36478,36545,31165,56595,52088,41619,39718,32905,29063,33190,39620,57885,43612,32802
2004-01-01,57659,42827,47459,34891,46052,38350,65459,31502,56629,36930,34883,33281,33674,38853,38689,38238,32757,39143,43518,37881,67731,37355,36624,38792,29526,48083,46971,53184,49811,58605,64642,41309,46885,47215,57595,43179,51939,51815,44814,46225,65425,46706,68842,52031,37696,37599,32531,57728,53645,43072,41289,34520,30307,34809,41067,59379,44810,34493
2005-01-01,60937,45283,52078,36303,47639,39186,69463,32724,62199,41390,35707,33923,35085,39911,40146,40433,34874,41423,48166,44655,78009,39891,40149,40039,29506,49703,55723,62836,51582,65823,62777,40982,52029,51713,62215,48761,56224,57476,48828,49313,74286,54721,76686,57506,41254,39380,35039,61784,58110,46769,44914,33903,31434,38179,42381,66531,49378,35786
2006-01-01,64285,47515,50528,40023,52745,40240,74058,33765,67605,42433,38093,38796,36275,41366,42709,42070,36174,45668,51279,39919,81305,40930,39847,40447,31610,51135,54273,63586,52141,70109,69982,46527,53269,53689,66941,52686,59279,64648,51691,50202,77717,53382,80775,60863,42813,43405,34329,61529,60656,48252,47174,35639,33070,41117,44991,71807,50027,37558
2007-01-01,68263,46136,54903,39466,51447,43882,76317,35910,64256,46547,38521,37281,33576,46865,46639,45087,38113,47676,53494,44259,83910,42757,42329,43789,33713,54174,56668,61988,58658,73107,69667,45516,57736,56823,66273,55995,61724,67333,51874,55942,82913,57741,84265,62849,41980,44950,35692,66575,62279,50367,49104,36884,35439,40444,45478,72762,55988,40602
2008-01-01,70217,49320,53951,40308,52850,44622,78469,36729,67019,43534,39641,39627,36894,47197,44716,48614,38926,47333,55452,46066,89909,44419,43134,42629,35319,55798,58822,64829,56030,74862,75029,48770,57590,56882,64646,54768,62820,73127,54350,60088,84879,60645,88525,66495,42362,44282,36823,70173,62314,50094,49146,38160,34726,44383,49151,76190,57877,46715
2009-01-01,68258,45391,54461,41196,51564,47472,75084,38252,68778,45219,41904,35985,37846,44090,46938,44102,36895,46377,54375,42769,86658,42775,41488,39922,34290,53973,57647,66970,57250,71735,70751,42684,55151,52502,61281,52137,60103,70247,52201,55638,84678,58555,84990,60816,42552,41788,39218,65079,61985,48550,48073,38179,33546,39876,48027,71246,56120,40947
2010-01-01,66937,44241,49516,41168,50745,44981,73678,35438,65201,44869,40859,38254,39261,44507,45045,44020,35914,50093,52595,43596,82383,42222,40339,41730,34579,52768,53735,62893,54154,70727,68330,41421,53981,52655,58194,52270,59759,70883,49742,53620,82413,56243,84627,60247,41058,42800,36001,62948,58703,47442,46188,38188,35207,42377,44751,71418,54433,41045
