#  Alameda County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,58.3
200002,58.5
200003,58.9
200004,59.2
200005,59.5
200006,59.8
200007,59.8
200008,59.9
200009,59.9
200010,59.5
200011,59
200012,59
200101,58.7
200102,58.5
200103,58.7
200104,58.3
200105,58.7
200106,58.8
200107,58.9
200108,58.9
200109,58.8
200110,59.2
200111,59.6
200112,59.6
200201,59.5
200202,59.8
200203,59.5
200204,59.7
200205,59.1
200206,58.8
200207,58.9
200208,58.9
200209,59.1
200210,58.9
200211,58.9
200212,59
200301,59.5
200302,59.4
200303,59.6
200304,59.3
200305,59.4
200306,59.4
200307,59.6
200308,59.7
200309,59.8
200310,60.1
200311,59.7
200312,59.7
200401,59.3
200402,59.2
200403,59.6
200404,60.2
200405,60.2
200406,60.1
200407,59.9
200408,60
200409,59.9
200410,59.5
200411,59.6
200412,59.6
200501,59.5
200502,59.7
200503,59.4
200504,59.1
200505,59.1
200506,58.9
200507,59.1
200508,59.2
200509,58.8
200510,58.9
200511,59.2
200512,59.4
200601,59.6
200602,59.5
200603,59
200604,58.9
200605,59
200606,59.4
200607,59.5
200608,59.3
200609,59.5
200610,59.4
200611,59.2
200612,59
200701,58.7
200702,58.7
200703,59.3
200704,59.5
200705,59.4
200706,59.2
200707,58.8
200708,59
200709,58.9
200710,58.9
200711,59
200712,58.9
200801,58.9
200802,58.8
200803,58.6
200804,58.4
200805,58.4
200806,58.5
200807,58.6
200808,58.6
200809,58.8
200810,59.1
200811,59.2
200812,59.1
200901,59.4
200902,59.4
200903,59.4
200904,59.4
200905,59.6
200906,59.4
200907,59.4
200908,59.3
200909,59.5
200910,59.2
200911,59
200912,59
201001,58.9
201002,59.1
201003,59.1
201004,58.9
201005,58.4
201006,58.4
201007,58.3
201008,58.1
201009,57.9
201010,58
201011,58
201012,58.3
201101,58.3
201102,58
201103,57.9
201104,58.1
201105,58.1
201106,57.9
201107,57.9
201108,58
201109,58.1
201110,58.2
201111,58.1
201112,57.9
201201,58
201202,58.3
201203,58.2
201204,58.4
201205,58.8
201206,58.9
201207,58.9
201208,59.1
201209,58.9
201210,58.9
201211,59.3
201212,59.3
201301,59
201302,58.8
201303,59.1
201304,59.4
201305,59.5
201306,59.7
201307,59.8
201308,59.7
201309,59.7
201310,59.6
201311,59.5
201312,59.5
201401,60.1
201402,60.4
201403,60.5
201404,60.4
201405,60.6
201406,60.6
201407,60.7
201408,60.8
201409,60.9
201410,61.4
201411,61.5
201412,62
201501,61.8
201502,62.1
201503,62.2
201504,62.2
201505,61.7
201506,61.8
201507,61.7
201508,61.8
201509,61.9
201510,62
201511,61.5
201512,61.1
201601,61
201602,60.9
201603,60.6
201604,60.7
201605,61
201606,61
201607,60.9
201608,60.7
201609,60.5
201610,60
201611,60.3
201612,60.4
201701,60.1
201702,59.7
201703,59.8
201704,59.6
201705,59.6
201706,59.5
201707,59.7
201708,59.9
201709,60.1
201710,60.3
201711,60.3
201712,60.5
201801,60.9
201802,60.9
201803,60.6
201804,60.6
201805,60.4
201806,60.3
201807,60.3
201808,60.1
201809,59.8
201810,59.8
201811,59.9
201812,59.8
201901,59.8
201902,59.3
201903,59.3
201904,59.6
201905,59.4
201906,59.6
201907,59.4
201908,59.6
201909,59.7
201910,59.6
201911,59.6
201912,59.7
202001,59.5
202002,60.2
202003,60.1
202004,60
202005,60.5
202006,60.5
202007,60.6
202008,60.8
202009,61.1
202010,61.8
202011,61.7
202012,61.7
202101,61.9
202102,61.7
202103,61.7
202104,61.8
202105,61.6
202106,61.6
202107,61.7
202108,61.5
202109,61.2
202110,60.5
202111,60.7
202112,60.4
202201,60.4
202202,60.4
202203,60.7
202204,60.6
202205,60.5
202206,60.6
202207,60.4
202208,60.4
202209,60.6
202210,60.9
202211,60.4
202212,60.4
202301,60.2
202302,59.8
202303,59.3
202304,59.2
202305,59
202306,58.5
202307,58.8
202308,58.8
202309,58.3
202310,58.3
202311,58.7
202312,59.1
202401,59.3
202402,59.7
202403,60.1
202404,60.2
202405,60.4
202406,60.9
202407,61.2
202408,61.1
202409,61.4
202410,61.8
202411,61.5
202412,61.6
202501,61.4
202502,61.5
202503,61.4
202504,61.4
