#  Alpine County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,43.6
200002,43.8
200003,44
200004,44.7
200005,44.9
200006,45.2
200007,45.2
200008,45.5
200009,45.3
200010,44.8
200011,44.1
200012,44.4
200101,44.2
200102,43.7
200103,44
200104,43.5
200105,44
200106,43.9
200107,44
200108,44.3
200109,44.7
200110,45.2
200111,45.6
200112,45.1
200201,45.1
200202,45.6
200203,45
200204,45.3
200205,44.7
200206,44.6
200207,44.9
200208,44.6
200209,44.4
200210,43.9
200211,44
200212,44
200301,44.9
200302,44.5
200303,44.9
200304,44.3
200305,44.4
200306,44.4
200307,44.4
200308,44.5
200309,44.6
200310,45.2
200311,44.8
200312,44.9
200401,44.1
200402,44.1
200403,44.5
200404,45.2
200405,45.3
200406,45.2
200407,45.1
200408,45.1
200409,44.8
200410,44.1
200411,44.2
200412,44.3
200501,44.3
200502,44.6
200503,44.1
200504,43.7
200505,43.5
200506,43
200507,43.2
200508,43.3
200509,43
200510,43.3
200511,43.8
200512,43.9
200601,44
200602,44
200603,43.4
200604,43.5
200605,43.7
200606,44.4
200607,44.3
200608,44.1
200609,44.3
200610,44.2
200611,44
200612,43.9
200701,43.6
200702,43.7
200703,44.6
200704,44.8
200705,44.9
200706,44.8
200707,44.8
200708,45.1
200709,44.9
200710,44.8
200711,45
200712,44.8
200801,44.7
200802,44.7
200803,44.3
200804,44.1
200805,43.9
200806,43.8
200807,43.6
200808,43.7
200809,44.1
200810,44.3
200811,44.2
200812,44.4
200901,44.9
200902,44.8
200903,44.7
200904,44.7
200905,45.1
200906,44.8
200907,44.8
200908,44.5
200909,44.7
200910,44.4
200911,44.2
200912,44
201001,43.9
201002,44.1
201003,44.1
201004,43.8
201005,42.9
201006,43.1
201007,43
201008,42.9
201009,42.7
201010,42.9
201011,42.5
201012,42.9
201101,43
201102,42.6
201103,42.5
201104,42.7
201105,42.8
201106,42.5
201107,42.2
201108,42.4
201109,42.5
201110,42.6
201111,42.8
201112,42.7
201201,42.8
201202,43.2
201203,43.3
201204,43.6
201205,44.2
201206,44.6
201207,44.8
201208,45.1
201209,45.2
201210,45.3
201211,45.5
201212,45.1
201301,44.6
201302,44.5
201303,44.8
201304,44.9
201305,44.8
201306,45.1
201307,45.3
201308,44.9
201309,44.5
201310,44.2
201311,44.1
201312,44.6
201401,45.3
201402,45.7
201403,45.6
201404,45.6
201405,45.7
201406,45.7
201407,45.7
201408,45.7
201409,45.9
201410,46.5
201411,46.7
201412,46.8
201501,46.8
201502,47.2
201503,47.6
201504,47.5
201505,47.4
201506,47.6
201507,47.2
201508,47.3
201509,47.4
201510,47.4
201511,46.7
201512,46.4
201601,45.8
201602,45.6
201603,45.3
201604,45.4
201605,45.4
201606,45.3
201607,45.6
201608,45.6
201609,45.4
201610,45.1
201611,45.7
201612,45.9
201701,45.7
201702,45.1
201703,45.2
201704,44.9
201705,45
201706,44.9
201707,45
201708,45
201709,44.8
201710,44.9
201711,45
201712,45.4
201801,46.1
201802,46
201803,45.5
201804,45.8
201805,45.8
201806,45.8
201807,46
201808,46
201809,46.3
201810,46.2
201811,46.2
201812,45.7
201901,45.4
201902,44.9
201903,45
201904,45.1
201905,44.7
201906,44.4
201907,44
201908,44
201909,43.6
201910,43.4
201911,43.5
201912,43.5
202001,43.5
202002,44.3
202003,44.3
202004,44.3
202005,44.7
202006,44.7
202007,44.9
202008,45.1
202009,45.6
202010,46.4
202011,46.2
202012,46.3
202101,46.3
202102,46.1
202103,46.1
202104,46.2
202105,46.2
202106,46.7
202107,47.1
202108,46.9
202109,46.8
202110,46.1
202111,46.6
202112,46.4
202201,46.5
202202,46.5
202203,46.9
202204,46.7
202205,46.5
202206,46.1
202207,45.9
202208,46
202209,46
202210,46.6
202211,45.7
202212,45.6
202301,45.1
202302,44.7
202303,43.8
202304,43.8
202305,43.9
202306,43.6
202307,43.6
202308,43.3
202309,42.9
202310,42.7
202311,43.2
202312,43.7
202401,44.2
202402,44.5
202403,44.9
202404,45
202405,45
202406,45.7
202407,45.9
202408,45.9
202409,46.2
202410,46.5
202411,46.2
202412,46.2
202501,46.1
202502,46.3
202503,46.5
202504,46.6
