#  Amador County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,57
200002,57.2
200003,57.6
200004,58.1
200005,58.3
200006,58.7
200007,58.7
200008,58.9
200009,58.6
200010,58
200011,57.4
200012,57.5
200101,57.4
200102,57.1
200103,57.3
200104,56.8
200105,57.5
200106,57.4
200107,57.6
200108,57.7
200109,57.9
200110,58.5
200111,58.9
200112,58.5
200201,58.4
200202,58.8
200203,58.5
200204,58.8
200205,58
200206,58
200207,58.2
200208,58
200209,58.1
200210,57.7
200211,57.8
200212,57.9
200301,58.6
200302,58.3
200303,58.5
200304,58
200305,58
200306,58
200307,58.2
200308,58.1
200309,58.4
200310,58.9
200311,58.3
200312,58.4
200401,57.9
200402,57.9
200403,58.4
200404,59.2
200405,59.3
200406,59.3
200407,59
200408,59.1
200409,58.7
200410,58
200411,58.1
200412,58.2
200501,58.2
200502,58.5
200503,58
200504,57.6
200505,57.4
200506,57
200507,57.3
200508,57.4
200509,57.2
200510,57.5
200511,58
200512,58
200601,58
200602,58
200603,57.2
200604,57.1
200605,57.4
200606,58.1
200607,58.2
200608,57.9
200609,58.2
200610,58.1
200611,57.8
200612,57.7
200701,57.6
200702,57.4
200703,58.5
200704,58.8
200705,58.8
200706,58.6
200707,58.3
200708,58.5
200709,58.1
200710,58
200711,58.4
200712,58.1
200801,57.9
200802,57.9
200803,57.5
200804,57.4
200805,57.3
200806,57.4
200807,57.4
200808,57.5
200809,58
200810,58.4
200811,58.3
200812,58.4
200901,59
200902,58.9
200903,58.8
200904,58.8
200905,59.1
200906,58.7
200907,58.8
200908,58.6
200909,58.7
200910,58.3
200911,58.1
200912,58.2
201001,58
201002,58.1
201003,58.1
201004,57.8
201005,56.9
201006,57
201007,56.8
201008,56.6
201009,56.4
201010,56.6
201011,56.4
201012,56.6
201101,56.6
201102,56.4
201103,56.2
201104,56.4
201105,56.5
201106,56.1
201107,55.9
201108,56
201109,56.2
201110,56.1
201111,56.2
201112,56.1
201201,56.3
201202,56.6
201203,56.6
201204,56.8
201205,57.4
201206,57.7
201207,57.9
201208,58.3
201209,58.4
201210,58.5
201211,58.8
201212,58.5
201301,58.1
201302,58.1
201303,58.6
201304,59
201305,59
201306,59.3
201307,59.6
201308,59.2
201309,58.7
201310,58.6
201311,58.7
201312,59.1
201401,59.9
201402,60.2
201403,60.1
201404,60
201405,60.1
201406,60.2
201407,60.2
201408,60.3
201409,60.6
201410,61
201411,61
201412,61
201501,60.8
201502,61.2
201503,61.6
201504,61.5
201505,61.2
201506,61.4
201507,61.1
201508,61.1
201509,61.2
201510,61.2
201511,60.7
201512,60.4
201601,59.8
201602,59.8
201603,59.2
201604,59.3
201605,59.4
201606,59.3
201607,59.4
201608,59.5
201609,59.3
201610,58.7
201611,59.1
201612,59.2
201701,59
201702,58.4
201703,58.5
201704,58.2
201705,58.3
201706,58.2
201707,58.5
201708,58.7
201709,58.7
201710,59
201711,59
201712,59.5
201801,60.2
201802,60.2
201803,59.9
201804,60
201805,59.9
201806,59.9
201807,60
201808,59.8
201809,59.9
201810,59.9
201811,60.1
201812,59.7
201901,59.6
201902,58.9
201903,58.9
201904,59.1
201905,58.7
201906,58.7
201907,58.3
201908,58.3
201909,58
201910,57.8
201911,57.8
201912,57.8
202001,57.7
202002,58.6
202003,58.6
202004,58.4
202005,58.9
202006,58.8
202007,58.9
202008,59.2
202009,59.8
202010,60.5
202011,60.3
202012,60.4
202101,60.5
202102,60.2
202103,60.2
202104,60.4
202105,60.5
202106,60.9
202107,61.2
202108,61.1
202109,60.9
202110,60
202111,60.3
202112,60
202201,60.1
202202,60.2
202203,60.6
202204,60.4
202205,60.1
202206,59.8
202207,59.4
202208,59.4
202209,59.5
202210,60
202211,59.3
202212,59.4
202301,59
202302,58.5
202303,57.7
202304,57.7
202305,57.7
202306,57.3
202307,57.5
202308,57.4
202309,56.8
202310,56.6
202311,57.1
202312,57.6
202401,57.8
202402,58.1
202403,58.5
202404,58.5
202405,58.7
202406,59.4
202407,59.8
202408,59.7
202409,60.2
202410,60.6
202411,60.2
202412,60.2
202501,60.4
202502,60.6
202503,60.6
202504,60.7
