#  Colusa County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,60.5
200002,60.7
200003,61.1
200004,61.3
200005,61.5
200006,61.8
200007,61.8
200008,62
200009,61.7
200010,61.3
200011,60.9
200012,60.9
200101,60.7
200102,60.5
200103,60.8
200104,60.4
200105,61
200106,60.9
200107,61.1
200108,61.2
200109,61.3
200110,61.7
200111,62.2
200112,62
200201,61.9
200202,62.2
200203,61.8
200204,62.1
200205,61.4
200206,61.5
200207,61.7
200208,61.6
200209,61.6
200210,61.4
200211,61.5
200212,61.6
200301,62.1
200302,62
200303,62.2
200304,61.6
200305,61.5
200306,61.6
200307,61.7
200308,61.7
200309,61.8
200310,62.2
200311,61.8
200312,61.7
200401,61.2
200402,61.1
200403,61.6
200404,62.3
200405,62.4
200406,62.3
200407,62
200408,62.1
200409,61.9
200410,61.4
200411,61.6
200412,61.7
200501,61.7
200502,62
200503,61.6
200504,61.2
200505,61
200506,60.6
200507,60.8
200508,61
200509,60.8
200510,60.8
200511,61
200512,61
200601,61.2
200602,61.1
200603,60.4
200604,60.4
200605,60.7
200606,61.3
200607,61.4
200608,61.1
200609,61.4
200610,61.3
200611,61.2
200612,61.1
200701,60.9
200702,60.8
200703,61.8
200704,62.1
200705,62.1
200706,61.9
200707,61.5
200708,61.7
200709,61.4
200710,61.3
200711,61.5
200712,61.4
200801,61.2
200802,61.3
200803,60.9
200804,60.7
200805,60.6
200806,60.7
200807,60.8
200808,61
200809,61.4
200810,61.7
200811,61.7
200812,61.7
200901,62.2
200902,62.1
200903,62.1
200904,62.2
200905,62.4
200906,62.2
200907,62.2
200908,62.1
200909,62.2
200910,61.9
200911,61.7
200912,61.7
201001,61.4
201002,61.5
201003,61.5
201004,61.1
201005,60.2
201006,60.3
201007,60.2
201008,60.1
201009,59.8
201010,60
201011,59.9
201012,60.3
201101,60.3
201102,60.1
201103,59.9
201104,60.2
201105,60.3
201106,60.1
201107,60
201108,60
201109,60.3
201110,60.3
201111,60.1
201112,60
201201,60.1
201202,60.3
201203,60.3
201204,60.4
201205,60.9
201206,61
201207,61.1
201208,61.3
201209,61.3
201210,61.3
201211,61.6
201212,61.6
201301,61.4
201302,61.4
201303,61.8
201304,62.2
201305,62.2
201306,62.4
201307,62.7
201308,62.4
201309,62.1
201310,62
201311,62.1
201312,62.1
201401,62.8
201402,62.9
201403,63
201404,62.9
201405,63.1
201406,63.2
201407,63.3
201408,63.4
201409,63.7
201410,64.1
201411,64
201412,64.4
201501,64.2
201502,64.5
201503,64.8
201504,64.8
201505,64.5
201506,64.6
201507,64.5
201508,64.5
201509,64.5
201510,64.6
201511,64.3
201512,63.9
201601,63.6
201602,63.5
201603,63
201604,63.1
201605,63.3
201606,63
201607,63
201608,63
201609,62.9
201610,62.3
201611,62.6
201612,62.5
201701,62.3
201702,61.9
201703,62
201704,61.6
201705,61.7
201706,61.7
201707,62
201708,62.2
201709,62.3
201710,62.6
201711,62.5
201712,62.9
201801,63.2
201802,63.4
201803,63
201804,63.2
201805,63.1
201806,63
201807,63.1
201808,62.6
201809,62.4
201810,62.5
201811,62.7
201812,62.5
201901,62.4
201902,61.8
201903,61.8
201904,62.1
201905,61.8
201906,61.9
201907,61.6
201908,61.8
201909,61.8
201910,61.5
201911,61.6
201912,61.6
202001,61.5
202002,62.3
202003,62.3
202004,62.2
202005,62.6
202006,62.5
202007,62.7
202008,62.9
202009,63.3
202010,64
202011,63.8
202012,64
202101,64.1
202102,63.8
202103,63.8
202104,63.9
202105,64.1
202106,64.3
202107,64.4
202108,64.3
202109,64.2
202110,63.4
202111,63.5
202112,63.2
202201,63.2
202202,63.2
202203,63.5
202204,63.2
202205,62.9
202206,62.8
202207,62.6
202208,62.6
202209,62.7
202210,63.3
202211,62.8
202212,62.7
202301,62.5
202302,62.1
202303,61.3
202304,61.3
202305,61.3
202306,61
202307,61.2
202308,61.1
202309,60.6
202310,60.4
202311,60.9
202312,61.5
202401,61.7
202402,61.9
202403,62.4
202404,62.5
202405,62.7
202406,63.1
202407,63.5
202408,63.3
202409,63.7
202410,64
202411,63.7
202412,63.7
202501,63.8
202502,64
202503,63.9
202504,64.1
