#  Contra Costa County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,59.3
200002,59.5
200003,59.9
200004,60.2
200005,60.5
200006,60.8
200007,60.8
200008,60.9
200009,60.9
200010,60.4
200011,59.9
200012,59.9
200101,59.6
200102,59.4
200103,59.6
200104,59.2
200105,59.7
200106,59.8
200107,59.9
200108,59.9
200109,59.8
200110,60.2
200111,60.7
200112,60.5
200201,60.5
200202,60.8
200203,60.4
200204,60.6
200205,59.9
200206,59.7
200207,59.9
200208,59.8
200209,60
200210,59.8
200211,59.8
200212,59.9
200301,60.4
200302,60.3
200303,60.5
200304,60.2
200305,60.2
200306,60.2
200307,60.5
200308,60.5
200309,60.6
200310,60.9
200311,60.5
200312,60.5
200401,60
200402,60
200403,60.4
200404,61.1
200405,61.1
200406,61.1
200407,60.8
200408,60.9
200409,60.8
200410,60.4
200411,60.4
200412,60.4
200501,60.4
200502,60.6
200503,60.2
200504,59.8
200505,59.7
200506,59.5
200507,59.8
200508,59.9
200509,59.5
200510,59.6
200511,60
200512,60.1
200601,60.4
200602,60.3
200603,59.7
200604,59.6
200605,59.8
200606,60.2
200607,60.4
200608,60.1
200609,60.3
200610,60.2
200611,60
200612,59.8
200701,59.6
200702,59.5
200703,60.2
200704,60.5
200705,60.4
200706,60.2
200707,59.8
200708,60
200709,59.9
200710,59.8
200711,60
200712,59.9
200801,59.8
200802,59.8
200803,59.5
200804,59.4
200805,59.4
200806,59.5
200807,59.6
200808,59.7
200809,59.9
200810,60.3
200811,60.3
200812,60.2
200901,60.6
200902,60.5
200903,60.4
200904,60.5
200905,60.6
200906,60.3
200907,60.3
200908,60.2
200909,60.4
200910,60.1
200911,59.9
200912,59.9
201001,59.8
201002,59.9
201003,59.9
201004,59.7
201005,59.2
201006,59.3
201007,59.1
201008,58.8
201009,58.6
201010,58.7
201011,58.7
201012,59
201101,58.9
201102,58.7
201103,58.6
201104,58.7
201105,58.7
201106,58.5
201107,58.6
201108,58.7
201109,58.8
201110,58.9
201111,58.8
201112,58.7
201201,58.8
201202,59.1
201203,59
201204,59.2
201205,59.6
201206,59.8
201207,59.8
201208,60
201209,59.9
201210,59.9
201211,60.2
201212,60.2
201301,59.9
201302,59.8
201303,60.2
201304,60.6
201305,60.6
201306,60.8
201307,61
201308,60.8
201309,60.6
201310,60.6
201311,60.6
201312,60.7
201401,61.4
201402,61.7
201403,61.8
201404,61.6
201405,61.7
201406,61.8
201407,61.8
201408,61.9
201409,62
201410,62.4
201411,62.5
201412,62.7
201501,62.5
201502,62.8
201503,63
201504,63
201505,62.5
201506,62.6
201507,62.5
201508,62.6
201509,62.7
201510,62.8
201511,62.4
201512,62
201601,61.8
201602,61.8
201603,61.4
201604,61.4
201605,61.8
201606,61.8
201607,61.8
201608,61.6
201609,61.4
201610,60.9
201611,61.2
201612,61.2
201701,60.9
201702,60.5
201703,60.6
201704,60.4
201705,60.4
201706,60.4
201707,60.6
201708,60.9
201709,61
201710,61.3
201711,61.2
201712,61.5
201801,61.9
201802,62
201803,61.7
201804,61.7
201805,61.4
201806,61.4
201807,61.3
201808,61.1
201809,60.9
201810,60.9
201811,61.1
201812,61
201901,61
201902,60.4
201903,60.5
201904,60.7
201905,60.6
201906,60.7
201907,60.4
201908,60.7
201909,60.7
201910,60.6
201911,60.6
201912,60.6
202001,60.5
202002,61.2
202003,61.2
202004,61.1
202005,61.6
202006,61.6
202007,61.7
202008,61.9
202009,62.3
202010,62.9
202011,62.7
202012,62.8
202101,62.9
202102,62.7
202103,62.7
202104,62.8
202105,62.7
202106,62.6
202107,62.8
202108,62.6
202109,62.4
202110,61.5
202111,61.7
202112,61.3
202201,61.3
202202,61.4
202203,61.7
202204,61.7
202205,61.5
202206,61.6
202207,61.4
202208,61.4
202209,61.6
202210,62
202211,61.5
202212,61.5
202301,61.3
202302,60.8
202303,60.1
202304,60
202305,59.7
202306,59.2
202307,59.5
202308,59.5
202309,58.9
202310,58.9
202311,59.3
202312,59.7
202401,59.9
202402,60.2
202403,60.6
202404,60.6
202405,60.9
202406,61.6
202407,61.9
202408,61.8
202409,62.2
202410,62.6
202411,62.3
202412,62.3
202501,62.3
202502,62.4
202503,62.3
202504,62.4
