#  El Dorado County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,53.3
200002,53.6
200003,53.9
200004,54.4
200005,54.6
200006,55
200007,55
200008,55.3
200009,55
200010,54.4
200011,53.8
200012,54
200101,53.8
200102,53.5
200103,53.7
200104,53.2
200105,53.9
200106,53.7
200107,53.9
200108,54.1
200109,54.3
200110,54.9
200111,55.4
200112,54.9
200201,54.7
200202,55.2
200203,54.8
200204,55.1
200205,54.3
200206,54.4
200207,54.6
200208,54.4
200209,54.3
200210,53.9
200211,54.1
200212,54.2
200301,55
200302,54.7
200303,54.9
200304,54.3
200305,54.4
200306,54.4
200307,54.5
200308,54.4
200309,54.7
200310,55.2
200311,54.6
200312,54.7
200401,54.1
200402,53.9
200403,54.4
200404,55.3
200405,55.3
200406,55.2
200407,55
200408,55.1
200409,54.7
200410,54
200411,54.1
200412,54.3
200501,54.3
200502,54.6
200503,54.1
200504,53.6
200505,53.5
200506,53
200507,53.2
200508,53.3
200509,53.1
200510,53.4
200511,53.8
200512,53.9
200601,53.9
200602,53.9
200603,53.2
200604,53.2
200605,53.6
200606,54.3
200607,54.3
200608,54.1
200609,54.4
200610,54.3
200611,54
200612,53.9
200701,53.7
200702,53.6
200703,54.7
200704,54.9
200705,54.9
200706,54.7
200707,54.5
200708,54.7
200709,54.4
200710,54.3
200711,54.6
200712,54.3
200801,54.1
200802,54.1
200803,53.8
200804,53.6
200805,53.4
200806,53.5
200807,53.5
200808,53.5
200809,54.1
200810,54.4
200811,54.4
200812,54.5
200901,55.1
200902,55
200903,54.9
200904,54.9
200905,55.2
200906,54.9
200907,54.9
200908,54.7
200909,54.8
200910,54.5
200911,54.3
200912,54.2
201001,54
201002,54.2
201003,54.2
201004,53.9
201005,52.9
201006,53
201007,52.9
201008,52.8
201009,52.5
201010,52.7
201011,52.5
201012,52.7
201101,52.8
201102,52.5
201103,52.3
201104,52.5
201105,52.6
201106,52.3
201107,52
201108,52.1
201109,52.2
201110,52.3
201111,52.3
201112,52.4
201201,52.5
201202,52.8
201203,52.8
201204,53.1
201205,53.7
201206,54
201207,54.2
201208,54.6
201209,54.7
201210,54.8
201211,55
201212,54.7
201301,54.3
201302,54.2
201303,54.7
201304,55
201305,55
201306,55.3
201307,55.5
201308,55.2
201309,54.7
201310,54.5
201311,54.6
201312,55
201401,55.7
201402,55.9
201403,55.9
201404,55.8
201405,55.9
201406,55.9
201407,55.9
201408,56
201409,56.2
201410,56.6
201411,56.6
201412,56.7
201501,56.6
201502,57
201503,57.4
201504,57.3
201505,57.1
201506,57.3
201507,57
201508,57.1
201509,57.1
201510,57.2
201511,56.7
201512,56.3
201601,55.8
201602,55.7
201603,55.2
201604,55.3
201605,55.4
201606,55.2
201607,55.3
201608,55.4
201609,55.2
201610,54.6
201611,55.1
201612,55.2
201701,55
201702,54.5
201703,54.6
201704,54.2
201705,54.4
201706,54.3
201707,54.5
201708,54.7
201709,54.6
201710,54.9
201711,54.9
201712,55.3
201801,55.9
201802,56
201803,55.5
201804,55.7
201805,55.6
201806,55.6
201807,55.7
201808,55.5
201809,55.7
201810,55.6
201811,55.8
201812,55.4
201901,55.2
201902,54.7
201903,54.7
201904,54.9
201905,54.5
201906,54.5
201907,54
201908,54
201909,53.7
201910,53.5
201911,53.6
201912,53.6
202001,53.5
202002,54.4
202003,54.4
202004,54.3
202005,54.8
202006,54.7
202007,54.8
202008,55.1
202009,55.7
202010,56.5
202011,56.2
202012,56.4
202101,56.4
202102,56.1
202103,56.2
202104,56.3
202105,56.4
202106,56.8
202107,57.2
202108,57.1
202109,56.9
202110,56
202111,56.4
202112,56.1
202201,56.3
202202,56.3
202203,56.7
202204,56.5
202205,56.2
202206,55.8
202207,55.5
202208,55.5
202209,55.5
202210,56.1
202211,55.4
202212,55.4
202301,55
202302,54.5
202303,53.7
202304,53.6
202305,53.7
202306,53.4
202307,53.5
202308,53.3
202309,52.8
202310,52.6
202311,53
202312,53.5
202401,53.8
202402,54
202403,54.4
202404,54.5
202405,54.6
202406,55.3
202407,55.5
202408,55.5
202409,56
202410,56.3
202411,55.9
202412,55.8
202501,55.9
202502,56.1
202503,56.2
202504,56.3
