#  Fresno County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,55.1
200002,55.3
200003,55.6
200004,56.1
200005,56.4
200006,56.7
200007,56.7
200008,57
200009,56.7
200010,56.2
200011,55.6
200012,55.7
200101,55.4
200102,55.1
200103,55.3
200104,54.8
200105,55.2
200106,55.2
200107,55.4
200108,55.5
200109,55.7
200110,56.2
200111,56.7
200112,56.4
200201,56.3
200202,56.8
200203,56.4
200204,56.8
200205,56.1
200206,56
200207,56.3
200208,56.2
200209,56.1
200210,55.7
200211,55.8
200212,55.9
200301,56.5
200302,56.2
200303,56.4
200304,56
200305,56
200306,56
200307,56.1
200308,56.2
200309,56.4
200310,56.9
200311,56.4
200312,56.5
200401,56
200402,55.9
200403,56.4
200404,57.1
200405,57.2
200406,57.1
200407,56.9
200408,56.9
200409,56.6
200410,55.9
200411,55.9
200412,55.8
200501,55.9
200502,56.2
200503,55.6
200504,55.1
200505,55
200506,54.6
200507,54.8
200508,55
200509,54.7
200510,54.9
200511,55.4
200512,55.7
200601,55.7
200602,55.7
200603,55.1
200604,55.1
200605,55.4
200606,55.9
200607,56
200608,55.8
200609,56
200610,55.9
200611,55.7
200612,55.5
200701,55.2
200702,55.1
200703,56
200704,56.3
200705,56.3
200706,56.1
200707,55.9
200708,56.1
200709,55.8
200710,55.9
200711,56.1
200712,55.9
200801,55.9
200802,55.9
200803,55.6
200804,55.4
200805,55.2
200806,55.3
200807,55.3
200808,55.4
200809,55.9
200810,56.2
200811,56.1
200812,56.2
200901,56.5
200902,56.5
200903,56.4
200904,56.3
200905,56.8
200906,56.4
200907,56.5
200908,56.3
200909,56.4
200910,56.1
200911,55.8
200912,55.9
201001,55.7
201002,55.8
201003,55.8
201004,55.5
201005,54.5
201006,54.7
201007,54.6
201008,54.5
201009,54.2
201010,54.5
201011,54.3
201012,54.6
201101,54.6
201102,54.4
201103,54.3
201104,54.6
201105,54.7
201106,54.4
201107,54.2
201108,54.4
201109,54.5
201110,54.6
201111,54.6
201112,54.3
201201,54.5
201202,54.7
201203,54.8
201204,55
201205,55.6
201206,55.8
201207,55.9
201208,56.2
201209,56.3
201210,56.3
201211,56.7
201212,56.7
201301,56.4
201302,56.3
201303,56.7
201304,56.9
201305,56.9
201306,57.2
201307,57.6
201308,57.2
201309,56.9
201310,56.6
201311,56.7
201312,56.8
201401,57.4
201402,57.9
201403,57.9
201404,57.8
201405,57.9
201406,57.9
201407,57.9
201408,58
201409,58.2
201410,58.7
201411,58.8
201412,59
201501,58.7
201502,59
201503,59.3
201504,59.1
201505,58.8
201506,58.9
201507,58.6
201508,58.7
201509,58.6
201510,58.6
201511,58.1
201512,57.6
201601,57.4
201602,57.3
201603,56.9
201604,56.9
201605,57.1
201606,57
201607,57.2
201608,57.2
201609,57
201610,56.6
201611,57.1
201612,57.3
201701,57.1
201702,56.8
201703,56.8
201704,56.6
201705,56.6
201706,56.5
201707,56.7
201708,56.9
201709,56.9
201710,57
201711,57.1
201712,57.3
201801,57.9
201802,57.8
201803,57.5
201804,57.7
201805,57.6
201806,57.5
201807,57.6
201808,57.4
201809,57.6
201810,57.5
201811,57.5
201812,57.4
201901,57.2
201902,56.7
201903,56.7
201904,56.9
201905,56.4
201906,56.5
201907,56.1
201908,56.1
201909,56
201910,55.8
201911,55.8
201912,55.8
202001,55.6
202002,56.3
202003,56.3
202004,56.1
202005,56.7
202006,56.6
202007,56.7
202008,56.8
202009,57.2
202010,57.8
202011,57.6
202012,57.6
202101,57.7
202102,57.5
202103,57.5
202104,57.7
202105,57.8
202106,58.1
202107,58.5
202108,58.4
202109,58.3
202110,57.7
202111,57.9
202112,57.7
202201,57.7
202202,57.7
202203,58.1
202204,57.9
202205,57.6
202206,57.4
202207,57.1
202208,57.2
202209,57.4
202210,57.9
202211,57.3
202212,57.3
202301,57
202302,56.6
202303,55.9
202304,55.9
202305,55.9
202306,55.4
202307,55.5
202308,55.2
202309,54.6
202310,54.5
202311,55
202312,55.4
202401,55.6
202402,56
202403,56.4
202404,56.3
202405,56.4
202406,57.2
202407,57.4
202408,57.5
202409,57.9
202410,58.2
202411,57.9
202412,57.9
202501,57.9
202502,58.1
202503,58.1
202504,58.2
