#  Glenn County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,59.3
200002,59.5
200003,59.9
200004,60.1
200005,60.2
200006,60.5
200007,60.5
200008,60.6
200009,60.3
200010,60
200011,59.5
200012,59.5
200101,59.3
200102,59.1
200103,59.4
200104,59
200105,59.6
200106,59.5
200107,59.7
200108,59.8
200109,59.9
200110,60.4
200111,60.8
200112,60.7
200201,60.7
200202,61
200203,60.5
200204,60.9
200205,60.2
200206,60.3
200207,60.6
200208,60.5
200209,60.5
200210,60.3
200211,60.4
200212,60.5
200301,61
200302,60.8
200303,61.1
200304,60.4
200305,60.4
200306,60.4
200307,60.6
200308,60.5
200309,60.6
200310,61
200311,60.5
200312,60.4
200401,60
200402,59.9
200403,60.4
200404,61.2
200405,61.3
200406,61.2
200407,60.9
200408,61
200409,60.8
200410,60.2
200411,60.4
200412,60.6
200501,60.6
200502,60.9
200503,60.5
200504,60.1
200505,59.9
200506,59.4
200507,59.7
200508,59.8
200509,59.6
200510,59.6
200511,59.9
200512,59.9
200601,60
200602,59.9
200603,59.2
200604,59.2
200605,59.5
200606,60.2
200607,60.2
200608,60
200609,60.2
200610,60.2
200611,60
200612,59.8
200701,59.7
200702,59.6
200703,60.6
200704,60.9
200705,60.9
200706,60.7
200707,60.4
200708,60.5
200709,60.2
200710,60
200711,60.3
200712,60.2
200801,60
200802,60
200803,59.6
200804,59.4
200805,59.3
200806,59.4
200807,59.5
200808,59.6
200809,60
200810,60.4
200811,60.4
200812,60.4
200901,60.9
200902,60.8
200903,60.8
200904,60.9
200905,61.1
200906,60.9
200907,60.9
200908,60.7
200909,60.8
200910,60.6
200911,60.3
200912,60.3
201001,60
201002,60.2
201003,60.1
201004,59.7
201005,58.9
201006,59
201007,58.9
201008,58.8
201009,58.5
201010,58.7
201011,58.7
201012,59
201101,59
201102,58.8
201103,58.6
201104,58.8
201105,58.9
201106,58.7
201107,58.5
201108,58.6
201109,58.9
201110,58.9
201111,58.8
201112,58.8
201201,58.8
201202,59
201203,59.1
201204,59.2
201205,59.8
201206,60
201207,60
201208,60.2
201209,60.1
201210,60.2
201211,60.5
201212,60.4
201301,60.2
201302,60.2
201303,60.6
201304,61
201305,61
201306,61.3
201307,61.6
201308,61.3
201309,61
201310,60.8
201311,60.9
201312,61
201401,61.7
201402,61.9
201403,61.9
201404,61.8
201405,61.9
201406,62
201407,62
201408,62.2
201409,62.5
201410,62.8
201411,62.7
201412,63
201501,62.8
201502,63.1
201503,63.4
201504,63.4
201505,63.2
201506,63.4
201507,63.2
201508,63.2
201509,63.1
201510,63.3
201511,63
201512,62.6
201601,62.2
201602,62.1
201603,61.7
201604,61.7
201605,61.9
201606,61.6
201607,61.5
201608,61.6
201609,61.6
201610,60.9
201611,61.1
201612,61.1
201701,60.9
201702,60.4
201703,60.4
201704,60
201705,60.1
201706,60.2
201707,60.4
201708,60.7
201709,60.8
201710,61.1
201711,61
201712,61.4
201801,61.8
201802,61.8
201803,61.5
201804,61.7
201805,61.6
201806,61.5
201807,61.6
201808,61.1
201809,61
201810,61
201811,61.2
201812,61
201901,60.9
201902,60.4
201903,60.5
201904,60.8
201905,60.4
201906,60.5
201907,60.2
201908,60.5
201909,60.4
201910,60.2
201911,60.4
201912,60.4
202001,60.3
202002,61.1
202003,61.2
202004,61.1
202005,61.5
202006,61.4
202007,61.6
202008,61.7
202009,62.2
202010,62.9
202011,62.5
202012,62.6
202101,62.7
202102,62.5
202103,62.5
202104,62.6
202105,62.9
202106,63.1
202107,63.4
202108,63.3
202109,63.2
202110,62.4
202111,62.6
202112,62.3
202201,62.3
202202,62.4
202203,62.8
202204,62.4
202205,62.2
202206,61.9
202207,61.7
202208,61.8
202209,61.8
202210,62.5
202211,62
202212,62
202301,61.9
202302,61.4
202303,60.6
202304,60.6
202305,60.5
202306,60.3
202307,60.4
202308,60.3
202309,59.8
202310,59.6
202311,60.1
202312,60.5
202401,60.6
202402,60.8
202403,61.2
202404,61.2
202405,61.4
202406,61.9
202407,62.3
202408,62
202409,62.4
202410,62.7
202411,62.4
202412,62.3
202501,62.5
202502,62.6
202503,62.7
202504,62.9
