#  Humboldt County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,52.9
200002,53.3
200003,53.6
200004,53.9
200005,54.1
200006,54.4
200007,54.5
200008,54.5
200009,54.6
200010,54.5
200011,54.1
200012,54.2
200101,54.1
200102,53.8
200103,54.1
200104,53.7
200105,54.1
200106,53.8
200107,53.9
200108,53.9
200109,53.8
200110,54
200111,54.3
200112,54.2
200201,54.2
200202,54.5
200203,54.2
200204,54.4
200205,54
200206,54.1
200207,54.3
200208,54.3
200209,54.4
200210,54.2
200211,54.4
200212,54.4
200301,55
200302,54.9
200303,55.2
200304,54.8
200305,54.8
200306,55
200307,55
200308,55.1
200309,55.2
200310,55.5
200311,55.2
200312,55.1
200401,54.7
200402,54.7
200403,54.9
200404,55.4
200405,55.6
200406,55.5
200407,55.6
200408,55.7
200409,55.5
200410,55.2
200411,55.3
200412,55.3
200501,55.2
200502,55.4
200503,55.2
200504,55
200505,54.9
200506,54.7
200507,54.7
200508,54.5
200509,54.3
200510,54.3
200511,54.3
200512,54.3
200601,54.4
200602,54.3
200603,53.7
200604,53.8
200605,53.7
200606,54.1
200607,54.1
200608,54
200609,54.1
200610,54.1
200611,54.2
200612,54.1
200701,53.7
200702,53.6
200703,54.1
200704,54.2
200705,54.2
200706,53.9
200707,53.9
200708,54
200709,54
200710,53.9
200711,53.9
200712,53.7
200801,53.7
200802,53.6
200803,53.3
200804,53
200805,53
200806,53
200807,52.8
200808,52.8
200809,53
200810,53.2
200811,53.3
200812,53.3
200901,53.7
200902,53.7
200903,53.8
200904,53.9
200905,54
200906,54.2
200907,54.4
200908,54.4
200909,54.5
200910,54.4
200911,54.1
200912,54.1
201001,54.3
201002,54.6
201003,54.7
201004,54.5
201005,54
201006,53.8
201007,53.7
201008,53.6
201009,53.4
201010,53.6
201011,53.5
201012,53.8
201101,53.7
201102,53.3
201103,53.2
201104,53.2
201105,53.2
201106,53.2
201107,53.2
201108,53.2
201109,53.3
201110,53.3
201111,53.3
201112,53
201201,52.9
201202,53
201203,52.9
201204,53.2
201205,53.4
201206,53.4
201207,53.4
201208,53.6
201209,53.6
201210,53.7
201211,54
201212,54.1
201301,53.9
201302,53.8
201303,54.1
201304,54.2
201305,54.4
201306,54.7
201307,55
201308,54.9
201309,54.7
201310,54.4
201311,54.3
201312,54.2
201401,54.5
201402,54.8
201403,54.9
201404,55
201405,55.1
201406,55.1
201407,55.2
201408,55.2
201409,55.4
201410,55.9
201411,56.1
201412,56.7
201501,56.9
201502,57.2
201503,57.4
201504,57.3
201505,57.1
201506,57.4
201507,57.4
201508,57.3
201509,57.1
201510,57.2
201511,56.8
201512,56.5
201601,56.3
201602,56.2
201603,56
201604,56.3
201605,56.5
201606,56.3
201607,56.1
201608,56.1
201609,56.1
201610,55.7
201611,56
201612,55.8
201701,55.3
201702,55
201703,55
201704,54.5
201705,54.4
201706,54.3
201707,54.4
201708,54.6
201709,54.7
201710,54.7
201711,54.5
201712,54.8
201801,55.3
201802,55.2
201803,55
201804,55.1
201805,55.2
201806,55.1
201807,55.2
201808,54.9
201809,54.7
201810,54.7
201811,54.8
201812,54.8
201901,54.8
201902,54.4
201903,54.4
201904,54.6
201905,54.5
201906,54.6
201907,54.4
201908,54.6
201909,54.6
201910,54.4
201911,54.4
201912,54.5
202001,54.4
202002,54.9
202003,54.9
202004,54.9
202005,55
202006,55
202007,55
202008,55.1
202009,55.5
202010,56.1
202011,55.9
202012,55.8
202101,55.8
202102,55.5
202103,55.5
202104,55.3
202105,55.3
202106,55.5
202107,55.7
202108,55.5
202109,55.2
202110,54.7
202111,54.9
202112,54.7
202201,54.7
202202,54.8
202203,55.1
202204,54.8
202205,54.6
202206,54.4
202207,54.3
202208,54.4
202209,54.6
202210,54.7
202211,54.1
202212,54.1
202301,54.1
202302,53.8
202303,53.2
202304,53.2
202305,53.5
202306,53.4
202307,53.5
202308,53.5
202309,53.3
202310,53.4
202311,53.9
202312,54.3
202401,54.5
202402,54.9
202403,55.3
202404,55.4
202405,55.3
202406,55.4
202407,55.7
202408,55.5
202409,55.7
202410,55.9
202411,55.6
202412,55.6
202501,55.4
202502,55.2
202503,55.3
202504,55.5
