#  Imperial County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,73.6
200002,73.7
200003,73.8
200004,74.5
200005,74.9
200006,75.2
200007,75.3
200008,75.4
200009,75.3
200010,74.8
200011,74
200012,74.1
200101,73.7
200102,73.4
200103,73.5
200104,73.1
200105,73.3
200106,73.4
200107,73.3
200108,73.3
200109,73.5
200110,74
200111,74.8
200112,74.4
200201,74.5
200202,74.7
200203,74.4
200204,74.6
200205,74.1
200206,74.1
200207,74.2
200208,74.1
200209,74
200210,73.6
200211,73.5
200212,73.7
200301,74.3
200302,74.2
200303,74.5
200304,74.1
200305,74.2
200306,74
200307,74.1
200308,74.2
200309,74.3
200310,75
200311,74.6
200312,74.6
200401,74.1
200402,73.9
200403,74.4
200404,74.8
200405,75
200406,75
200407,74.9
200408,74.7
200409,74.4
200410,73.7
200411,73.6
200412,73.6
200501,73.7
200502,73.9
200503,73.2
200504,73
200505,72.9
200506,72.9
200507,73.1
200508,73.1
200509,73.1
200510,73.4
200511,73.9
200512,74
200601,74
200602,74.2
200603,73.8
200604,73.8
200605,73.9
200606,74.4
200607,74.5
200608,74.5
200609,74.5
200610,74.4
200611,74.4
200612,74.2
200701,73.9
200702,73.8
200703,74.4
200704,74.6
200705,74.5
200706,74.2
200707,74
200708,74.2
200709,74.2
200710,74.2
200711,74.3
200712,74.1
200801,74.2
200802,74.1
200803,74
200804,74
200805,73.7
200806,73.8
200807,73.8
200808,73.7
200809,73.9
200810,74.1
200811,74.2
200812,74.4
200901,74.9
200902,74.9
200903,74.8
200904,74.7
200905,75.4
200906,74.9
200907,75.1
200908,75.1
200909,75.2
200910,74.9
200911,74.7
200912,74.6
201001,74.4
201002,74.4
201003,74.3
201004,74.1
201005,73.3
201006,73.5
201007,73.3
201008,73.3
201009,73.2
201010,73.3
201011,73.1
201012,73.4
201101,73.4
201102,73
201103,73.3
201104,73.6
201105,73.6
201106,73.5
201107,73.4
201108,73.6
201109,73.6
201110,73.9
201111,73.8
201112,73.3
201201,73.4
201202,73.8
201203,73.6
201204,73.7
201205,74.2
201206,74.5
201207,74.4
201208,74.3
201209,74.4
201210,74.4
201211,74.9
201212,75.2
201301,74.8
201302,74.7
201303,75.1
201304,75.2
201305,75.1
201306,75.2
201307,75.4
201308,75.2
201309,75
201310,74.6
201311,74.4
201312,74.4
201401,75
201402,75.6
201403,75.5
201404,75.5
201405,75.5
201406,75.4
201407,75.4
201408,75.4
201409,75.7
201410,76.3
201411,76.4
201412,76.5
201501,76.3
201502,76.5
201503,76.7
201504,76.7
201505,76.2
201506,76.3
201507,76.1
201508,76.4
201509,76.4
201510,76.5
201511,76.2
201512,75.9
201601,75.6
201602,75.5
201603,75.2
201604,75.2
201605,75.3
201606,75.4
201607,75.7
201608,75.5
201609,75.1
201610,75
201611,75.4
201612,75.5
201701,75.5
201702,75.2
201703,75.4
201704,75.7
201705,75.8
201706,75.8
201707,75.8
201708,75.9
201709,75.9
201710,75.9
201711,76.1
201712,76.3
201801,76.8
201802,76.6
201803,76.1
201804,76.1
201805,76.1
201806,76
201807,75.9
201808,75.9
201809,76.4
201810,76
201811,75.6
201812,75.3
201901,74.8
201902,74.4
201903,74.3
201904,74.2
201905,73.8
201906,73.7
201907,73.4
201908,73.4
201909,73.1
201910,73
201911,73
201912,72.9
202001,73.1
202002,73.7
202003,73.5
202004,73.3
202005,74.1
202006,74.1
202007,74.2
202008,74.4
202009,74.7
202010,75.2
202011,75.3
202012,75.4
202101,75.4
202102,75.4
202103,75.5
202104,75.7
202105,75.4
202106,75.8
202107,76
202108,75.7
202109,75.6
202110,75.1
202111,75.5
202112,75.7
202201,75.8
202202,75.7
202203,76.1
202204,76
202205,76.1
202206,76.1
202207,76.1
202208,76.2
202209,76.3
202210,76.6
202211,75.9
202212,75.7
202301,75.5
202302,75.2
202303,74.7
202304,74.6
202305,74.4
202306,73.8
202307,74
202308,73.9
202309,73.6
202310,73.6
202311,73.9
202312,74.1
202401,74.2
202402,74.6
202403,74.8
202404,74.7
202405,74.8
202406,75.4
202407,75.4
202408,75.6
202409,75.9
202410,76.2
202411,75.9
202412,76.1
202501,76
202502,76.4
202503,76.6
202504,76.6
