#  Inyo County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,60.8
200002,60.8
200003,60.8
200004,61.6
200005,62
200006,62.4
200007,62.5
200008,62.8
200009,62.7
200010,62.2
200011,61.5
200012,61.6
200101,61.2
200102,60.7
200103,61
200104,60.4
200105,60.6
200106,60.6
200107,60.4
200108,60.7
200109,60.9
200110,61.4
200111,61.9
200112,61.5
200201,61.6
200202,62.2
200203,61.8
200204,62.3
200205,61.7
200206,61.8
200207,62.3
200208,62.1
200209,61.9
200210,61.5
200211,61.5
200212,61.5
200301,62.2
200302,61.9
200303,62.1
200304,61.5
200305,61.5
200306,61.5
200307,61.5
200308,61.5
200309,61.7
200310,62.4
200311,61.8
200312,61.9
200401,61.2
200402,61.1
200403,61.6
200404,62.2
200405,62.3
200406,62.2
200407,61.9
200408,61.8
200409,61.5
200410,60.7
200411,60.8
200412,60.9
200501,61.1
200502,61.4
200503,60.7
200504,60.4
200505,60.3
200506,59.9
200507,60.2
200508,60.2
200509,60
200510,60.2
200511,60.8
200512,60.9
200601,60.9
200602,61.1
200603,60.5
200604,60.6
200605,60.8
200606,61.4
200607,61.4
200608,61.3
200609,61.5
200610,61.3
200611,61.2
200612,61
200701,60.8
200702,60.7
200703,61.7
200704,62.1
200705,62
200706,61.9
200707,61.9
200708,62.2
200709,62.1
200710,62.1
200711,62.3
200712,62
200801,61.9
200802,61.8
200803,61.5
200804,61.3
200805,60.9
200806,60.9
200807,60.7
200808,60.8
200809,61.1
200810,61.3
200811,61.3
200812,61.4
200901,62.1
200902,61.9
200903,61.7
200904,61.6
200905,62.2
200906,61.8
200907,61.9
200908,61.6
200909,61.8
200910,61.5
200911,61.3
200912,61.1
201001,60.8
201002,61
201003,60.9
201004,60.6
201005,59.6
201006,60
201007,60
201008,59.9
201009,59.7
201010,60
201011,59.7
201012,60.1
201101,60.3
201102,60.1
201103,60.2
201104,60.5
201105,60.5
201106,60.2
201107,59.9
201108,60.1
201109,60.2
201110,60.3
201111,60.2
201112,59.9
201201,60
201202,60.3
201203,60.3
201204,60.5
201205,61.2
201206,61.6
201207,61.6
201208,61.8
201209,61.9
201210,62
201211,62.5
201212,62.5
201301,62.2
201302,62
201303,62.5
201304,62.6
201305,62.5
201306,62.7
201307,63
201308,62.7
201309,62.4
201310,61.9
201311,61.7
201312,61.8
201401,62.5
201402,62.9
201403,62.7
201404,62.6
201405,62.7
201406,62.5
201407,62.5
201408,62.4
201409,62.6
201410,63.3
201411,63.5
201412,63.6
201501,63.4
201502,63.7
201503,64
201504,63.8
201505,63.5
201506,63.6
201507,63.1
201508,63.5
201509,63.5
201510,63.3
201511,62.7
201512,62.4
201601,61.9
201602,61.6
201603,61.3
201604,61.4
201605,61.5
201606,61.6
201607,62
201608,62
201609,61.7
201610,61.6
201611,62.1
201612,62.3
201701,62.2
201702,61.9
201703,62
201704,62
201705,62.2
201706,62
201707,62.2
201708,62.2
201709,62.1
201710,62.1
201711,62.3
201712,62.6
201801,63.2
201802,63.1
201803,62.6
201804,62.8
201805,62.9
201806,62.8
201807,62.9
201808,63
201809,63.3
201810,63.2
201811,63
201812,62.7
201901,62.4
201902,61.9
201903,61.9
201904,61.9
201905,61.3
201906,61.1
201907,60.7
201908,60.7
201909,60.4
201910,60.2
201911,60.2
201912,60
202001,60
202002,60.8
202003,60.6
202004,60.4
202005,61.2
202006,61.1
202007,61.2
202008,61.4
202009,61.8
202010,62.5
202011,62.4
202012,62.6
202101,62.6
202102,62.5
202103,62.6
202104,62.8
202105,62.8
202106,63.3
202107,63.5
202108,63.4
202109,63.4
202110,62.7
202111,63.1
202112,63
202201,63
202202,62.9
202203,63.3
202204,63.2
202205,63
202206,62.6
202207,62.5
202208,62.5
202209,62.5
202210,63
202211,62.2
202212,62.3
202301,61.9
202302,61.5
202303,60.7
202304,60.6
202305,60.5
202306,60.1
202307,60.2
202308,59.8
202309,59.3
202310,59.2
202311,59.5
202312,59.8
202401,60.1
202402,60.4
202403,60.9
202404,60.8
202405,61
202406,61.8
202407,62
202408,62.2
202409,62.7
202410,63
202411,62.8
202412,63
202501,62.9
202502,63.3
202503,63.5
202504,63.6
