#  Kern County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,61.4
200002,61.5
200003,61.8
200004,62.4
200005,62.7
200006,63.1
200007,63.1
200008,63.4
200009,63.2
200010,62.7
200011,62.1
200012,62.2
200101,61.9
200102,61.4
200103,61.7
200104,61.2
200105,61.6
200106,61.6
200107,61.7
200108,61.8
200109,62
200110,62.5
200111,63.1
200112,62.8
200201,62.7
200202,63.2
200203,62.9
200204,63.2
200205,62.6
200206,62.5
200207,62.8
200208,62.6
200209,62.6
200210,62.1
200211,62.1
200212,62.2
200301,62.8
200302,62.6
200303,62.7
200304,62.2
200305,62.2
200306,62.2
200307,62.4
200308,62.4
200309,62.6
200310,63.2
200311,62.7
200312,62.8
200401,62.3
200402,62.2
200403,62.7
200404,63.4
200405,63.5
200406,63.4
200407,63.1
200408,63.1
200409,62.7
200410,62.1
200411,62.1
200412,62
200501,62.1
200502,62.3
200503,61.8
200504,61.3
200505,61.2
200506,60.9
200507,61.1
200508,61.2
200509,61
200510,61.1
200511,61.6
200512,61.9
200601,61.9
200602,62
200603,61.4
200604,61.4
200605,61.6
200606,62.2
200607,62.3
200608,62
200609,62.3
200610,62.2
200611,62.1
200612,61.8
200701,61.5
200702,61.5
200703,62.4
200704,62.8
200705,62.8
200706,62.6
200707,62.4
200708,62.6
200709,62.4
200710,62.5
200711,62.6
200712,62.4
200801,62.5
200802,62.4
200803,62.1
200804,61.9
200805,61.7
200806,61.7
200807,61.8
200808,61.9
200809,62.3
200810,62.6
200811,62.5
200812,62.6
200901,63
200902,62.9
200903,62.8
200904,62.7
200905,63.2
200906,62.8
200907,62.9
200908,62.7
200909,62.8
200910,62.4
200911,62.2
200912,62.2
201001,62.1
201002,62.2
201003,62.2
201004,61.9
201005,60.9
201006,61.2
201007,61
201008,60.9
201009,60.6
201010,60.9
201011,60.7
201012,61
201101,60.9
201102,60.6
201103,60.6
201104,60.9
201105,61
201106,60.8
201107,60.6
201108,60.8
201109,61
201110,61.1
201111,61.1
201112,60.7
201201,61
201202,61.3
201203,61.3
201204,61.5
201205,62.1
201206,62.3
201207,62.3
201208,62.5
201209,62.7
201210,62.7
201211,63.1
201212,63.2
201301,62.8
201302,62.7
201303,63.1
201304,63.4
201305,63.3
201306,63.6
201307,63.9
201308,63.5
201309,63.2
201310,62.9
201311,62.8
201312,62.9
201401,63.6
201402,64
201403,64
201404,63.9
201405,64
201406,63.9
201407,63.9
201408,63.9
201409,64.1
201410,64.6
201411,64.8
201412,65
201501,64.8
201502,65
201503,65.2
201504,65.1
201505,64.8
201506,65
201507,64.6
201508,64.7
201509,64.7
201510,64.7
201511,64.2
201512,63.8
201601,63.6
201602,63.4
201603,63
201604,63.1
201605,63.2
201606,63.3
201607,63.6
201608,63.6
201609,63.3
201610,63
201611,63.4
201612,63.6
201701,63.4
201702,63.2
201703,63.2
201704,63.1
201705,63.2
201706,63.1
201707,63.3
201708,63.4
201709,63.4
201710,63.5
201711,63.6
201712,63.8
201801,64.3
201802,64.2
201803,63.9
201804,64
201805,64
201806,63.8
201807,63.9
201808,63.8
201809,64
201810,63.9
201811,63.8
201812,63.6
201901,63.3
201902,62.8
201903,62.8
201904,62.9
201905,62.4
201906,62.5
201907,62.1
201908,62.1
201909,61.9
201910,61.7
201911,61.7
201912,61.7
202001,61.5
202002,62.2
202003,62.2
202004,61.9
202005,62.5
202006,62.4
202007,62.4
202008,62.5
202009,62.9
202010,63.5
202011,63.3
202012,63.4
202101,63.5
202102,63.3
202103,63.3
202104,63.6
202105,63.6
202106,64
202107,64.4
202108,64.3
202109,64.2
202110,63.5
202111,63.8
202112,63.7
202201,63.7
202202,63.5
202203,63.9
202204,63.7
202205,63.5
202206,63.3
202207,63.1
202208,63.3
202209,63.5
202210,64
202211,63.3
202212,63.4
202301,63.2
202302,62.9
202303,62.2
202304,62.1
202305,62
202306,61.4
202307,61.5
202308,61.1
202309,60.5
202310,60.3
202311,60.8
202312,61.1
202401,61.4
202402,61.8
202403,62.1
202404,62.1
202405,62.2
202406,63
202407,63.3
202408,63.4
202409,63.9
202410,64.3
202411,64
202412,64
202501,63.9
202502,64.2
202503,64.3
202504,64.4
