#  Kings County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,63.1
200002,63.4
200003,63.7
200004,64.1
200005,64.5
200006,64.8
200007,64.7
200008,65
200009,64.8
200010,64.4
200011,63.8
200012,63.9
200101,63.5
200102,63.2
200103,63.4
200104,63
200105,63.5
200106,63.5
200107,63.7
200108,63.7
200109,63.9
200110,64.2
200111,64.8
200112,64.7
200201,64.6
200202,64.9
200203,64.6
200204,64.9
200205,64.2
200206,64.1
200207,64.3
200208,64.2
200209,64.2
200210,63.8
200211,63.8
200212,64
200301,64.3
200302,64.2
200303,64.4
200304,64
200305,64
200306,64
200307,64.2
200308,64.2
200309,64.4
200310,64.8
200311,64.5
200312,64.5
200401,64.3
200402,64.3
200403,64.6
200404,65.2
200405,65.4
200406,65.3
200407,65
200408,65
200409,64.8
200410,64.3
200411,64.2
200412,63.9
200501,63.9
200502,64.2
200503,63.7
200504,63.2
200505,63.1
200506,62.8
200507,63.1
200508,63.2
200509,62.9
200510,63
200511,63.5
200512,63.9
200601,64
200602,64
200603,63.4
200604,63.4
200605,63.7
200606,64.2
200607,64.3
200608,64
200609,64.2
200610,64.1
200611,63.9
200612,63.6
200701,63.2
200702,63.2
200703,64
200704,64.3
200705,64.3
200706,64.1
200707,63.7
200708,64
200709,63.8
200710,63.8
200711,64
200712,63.8
200801,64.1
200802,63.9
200803,63.6
200804,63.5
200805,63.3
200806,63.4
200807,63.5
200808,63.6
200809,64
200810,64.3
200811,64.4
200812,64.3
200901,64.4
200902,64.4
200903,64.3
200904,64.3
200905,64.8
200906,64.6
200907,64.6
200908,64.4
200909,64.5
200910,64.1
200911,63.8
200912,64
201001,64
201002,64.1
201003,64
201004,63.7
201005,62.8
201006,62.9
201007,62.7
201008,62.6
201009,62.3
201010,62.7
201011,62.7
201012,63
201101,62.8
201102,62.5
201103,62.4
201104,62.7
201105,62.7
201106,62.5
201107,62.4
201108,62.5
201109,62.8
201110,62.8
201111,62.7
201112,62.2
201201,62.4
201202,62.7
201203,62.8
201204,62.9
201205,63.4
201206,63.6
201207,63.5
201208,63.9
201209,63.9
201210,63.9
201211,64.2
201212,64.5
201301,64.3
201302,64.1
201303,64.4
201304,64.7
201305,64.7
201306,65
201307,65.4
201308,65.1
201309,64.8
201310,64.6
201311,64.7
201312,64.5
201401,65.1
201402,65.5
201403,65.6
201404,65.6
201405,65.7
201406,65.8
201407,65.8
201408,65.9
201409,66.2
201410,66.7
201411,66.8
201412,67.2
201501,66.8
201502,67
201503,67.2
201504,67.2
201505,66.7
201506,66.9
201507,66.7
201508,66.6
201509,66.6
201510,66.6
201511,66.1
201512,65.7
201601,65.8
201602,65.7
201603,65.3
201604,65.3
201605,65.6
201606,65.5
201607,65.6
201608,65.7
201609,65.5
201610,65.1
201611,65.6
201612,65.7
201701,65.5
201702,65.3
201703,65.2
201704,65
201705,65
201706,65
201707,65.1
201708,65.3
201709,65.4
201710,65.5
201711,65.5
201712,65.6
201801,66
201802,65.9
201803,65.7
201804,65.8
201805,65.8
201806,65.6
201807,65.6
201808,65.3
201809,65.3
201810,65.3
201811,65.2
201812,65.2
201901,65.1
201902,64.8
201903,64.9
201904,65
201905,64.7
201906,64.8
201907,64.6
201908,64.6
201909,64.5
201910,64.3
201911,64.2
201912,64.3
202001,64.1
202002,64.5
202003,64.4
202004,64.2
202005,64.8
202006,64.6
202007,64.6
202008,64.8
202009,65.1
202010,65.7
202011,65.6
202012,65.5
202101,65.6
202102,65.5
202103,65.5
202104,65.6
202105,65.6
202106,65.8
202107,66.2
202108,66
202109,65.9
202110,65.3
202111,65.4
202112,65.3
202201,65.2
202202,65.1
202203,65.4
202204,65.3
202205,65.1
202206,64.9
202207,64.6
202208,64.8
202209,65
202210,65.5
202211,65.1
202212,65.1
202301,65.2
202302,64.9
202303,64.3
202304,64.3
202305,64.4
202306,64
202307,64.1
202308,63.9
202309,63.4
202310,63.3
202311,63.8
202312,64.3
202401,64.4
202402,64.8
202403,65.2
202404,65.2
202405,65.3
202406,65.9
202407,66.1
202408,66.1
202409,66.5
202410,66.7
202411,66.4
202412,66.3
202501,66.2
202502,66.3
202503,66.2
202504,66.4
