#  Lake County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,56.1
200002,56.5
200003,56.9
200004,57.2
200005,57.3
200006,57.7
200007,57.7
200008,57.9
200009,57.6
200010,57.2
200011,56.8
200012,56.8
200101,56.7
200102,56.4
200103,56.7
200104,56.3
200105,57
200106,56.8
200107,57
200108,57.1
200109,57.2
200110,57.6
200111,58
200112,57.7
200201,57.7
200202,58.1
200203,57.7
200204,58
200205,57.3
200206,57.3
200207,57.5
200208,57.5
200209,57.4
200210,57.2
200211,57.4
200212,57.5
200301,58.1
200302,57.9
200303,58.2
200304,57.6
200305,57.6
200306,57.6
200307,57.7
200308,57.5
200309,57.8
200310,58.1
200311,57.5
200312,57.4
200401,56.9
200402,56.8
200403,57.2
200404,58
200405,58.1
200406,58
200407,57.7
200408,57.9
200409,57.6
200410,57.1
200411,57.4
200412,57.6
200501,57.6
200502,57.9
200503,57.5
200504,57.1
200505,56.9
200506,56.5
200507,56.7
200508,56.8
200509,56.6
200510,56.6
200511,56.8
200512,56.8
200601,56.8
200602,56.8
200603,55.9
200604,56
200605,56.3
200606,57
200607,57
200608,56.8
200609,57.1
200610,57.1
200611,56.9
200612,56.8
200701,56.7
200702,56.5
200703,57.6
200704,57.8
200705,57.8
200706,57.6
200707,57.2
200708,57.4
200709,57.1
200710,56.9
200711,57.2
200712,56.9
200801,56.7
200802,56.9
200803,56.4
200804,56.2
200805,56.1
200806,56.2
200807,56.3
200808,56.4
200809,56.8
200810,57.2
200811,57.2
200812,57.3
200901,57.9
200902,57.7
200903,57.7
200904,57.8
200905,58
200906,57.8
200907,57.8
200908,57.7
200909,57.8
200910,57.5
200911,57.2
200912,57.2
201001,56.9
201002,57.1
201003,57.1
201004,56.8
201005,55.9
201006,56
201007,55.8
201008,55.7
201009,55.5
201010,55.6
201011,55.5
201012,55.7
201101,55.9
201102,55.7
201103,55.5
201104,55.7
201105,55.8
201106,55.7
201107,55.6
201108,55.7
201109,55.9
201110,56
201111,56
201112,56
201201,55.9
201202,56.1
201203,56.1
201204,56.3
201205,56.8
201206,56.8
201207,56.8
201208,57.1
201209,57
201210,57
201211,57.3
201212,57.1
201301,56.9
201302,56.9
201303,57.4
201304,57.9
201305,57.9
201306,58.2
201307,58.5
201308,58.1
201309,57.8
201310,57.7
201311,57.9
201312,58.2
201401,58.9
201402,59
201403,59.1
201404,59
201405,59.1
201406,59.3
201407,59.3
201408,59.5
201409,59.8
201410,60.1
201411,60.1
201412,60.1
201501,60
201502,60.4
201503,60.8
201504,60.7
201505,60.5
201506,60.7
201507,60.5
201508,60.4
201509,60.5
201510,60.7
201511,60.3
201512,59.9
201601,59.3
201602,59.2
201603,58.7
201604,58.7
201605,58.8
201606,58.5
201607,58.5
201608,58.6
201609,58.6
201610,57.8
201611,58
201612,58
201701,57.9
201702,57.3
201703,57.4
201704,57
201705,57.1
201706,57.2
201707,57.4
201708,57.7
201709,57.7
201710,58.1
201711,58
201712,58.5
201801,58.9
201802,59.1
201803,58.8
201804,59
201805,58.9
201806,58.8
201807,58.9
201808,58.6
201809,58.5
201810,58.5
201811,58.8
201812,58.5
201901,58.5
201902,57.8
201903,57.8
201904,58.1
201905,57.8
201906,57.9
201907,57.5
201908,57.6
201909,57.5
201910,57.3
201911,57.4
201912,57.4
202001,57.2
202002,58.1
202003,58.1
202004,58
202005,58.3
202006,58.2
202007,58.4
202008,58.6
202009,59.1
202010,59.8
202011,59.4
202012,59.6
202101,59.7
202102,59.4
202103,59.5
202104,59.6
202105,59.8
202106,60
202107,60.3
202108,60.3
202109,60.1
202110,59.2
202111,59.4
202112,59.1
202201,59.2
202202,59.2
202203,59.6
202204,59.2
202205,58.9
202206,58.6
202207,58.3
202208,58.2
202209,58.3
202210,58.8
202211,58.2
202212,58.3
202301,58
202302,57.6
202303,56.7
202304,56.8
202305,56.8
202306,56.6
202307,56.7
202308,56.6
202309,56.1
202310,55.9
202311,56.4
202312,56.7
202401,56.9
202402,57.1
202403,57.5
202404,57.6
202405,57.8
202406,58.3
202407,58.6
202408,58.5
202409,58.9
202410,59.2
202411,58.9
202412,58.9
202501,59.1
202502,59.3
202503,59.3
202504,59.5
