#  Lassen County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,46.7
200002,47
200003,47.2
200004,47.7
200005,47.8
200006,48.2
200007,48.2
200008,48.5
200009,48.2
200010,47.8
200011,47.1
200012,47.2
200101,47
200102,46.6
200103,46.8
200104,46.2
200105,46.8
200106,46.5
200107,46.7
200108,46.9
200109,47.2
200110,47.7
200111,48.1
200112,47.8
200201,47.7
200202,48.2
200203,47.8
200204,48.2
200205,47.5
200206,47.7
200207,48
200208,47.8
200209,47.8
200210,47.4
200211,47.5
200212,47.7
200301,48.6
200302,48.4
200303,48.7
200304,48.1
200305,48.2
200306,48.3
200307,48.4
200308,48.3
200309,48.5
200310,49
200311,48.5
200312,48.5
200401,47.7
200402,47.6
200403,48
200404,48.7
200405,48.7
200406,48.5
200407,48.3
200408,48.4
200409,48
200410,47.4
200411,47.6
200412,47.7
200501,47.5
200502,47.7
200503,47.3
200504,47
200505,46.9
200506,46.4
200507,46.5
200508,46.6
200509,46.4
200510,46.6
200511,46.8
200512,46.9
200601,47.1
200602,47.1
200603,46.4
200604,46.4
200605,46.7
200606,47.4
200607,47.4
200608,47.2
200609,47.5
200610,47.4
200611,47.3
200612,47.1
200701,46.8
200702,46.8
200703,47.8
200704,48
200705,48
200706,47.7
200707,47.7
200708,47.8
200709,47.5
200710,47.3
200711,47.6
200712,47.3
200801,47.2
200802,47
200803,46.5
200804,46.2
200805,46
200806,45.9
200807,45.8
200808,45.9
200809,46.3
200810,46.6
200811,46.8
200812,46.9
200901,47.4
200902,47.5
200903,47.5
200904,47.7
200905,48
200906,47.9
200907,47.9
200908,47.7
200909,47.9
200910,47.6
200911,47.3
200912,47
201001,47.1
201002,47.3
201003,47.3
201004,47.1
201005,46.2
201006,46.2
201007,46.2
201008,46.1
201009,45.9
201010,46.2
201011,46
201012,46.6
201101,46.6
201102,46.1
201103,46
201104,46
201105,46.1
201106,46
201107,45.7
201108,45.8
201109,46.1
201110,46
201111,46.1
201112,45.9
201201,45.9
201202,46.2
201203,46.3
201204,46.7
201205,47.3
201206,47.4
201207,47.6
201208,47.9
201209,47.9
201210,48.1
201211,48.4
201212,48.3
201301,47.5
201302,47.5
201303,47.9
201304,47.9
201305,47.9
201306,48.2
201307,48.5
201308,48.2
201309,47.8
201310,47.3
201311,47.3
201312,47.3
201401,48.3
201402,48.6
201403,48.5
201404,48.6
201405,48.7
201406,48.7
201407,48.8
201408,48.9
201409,49.1
201410,49.6
201411,49.6
201412,50.1
201501,50.2
201502,50.5
201503,50.9
201504,50.8
201505,50.6
201506,51
201507,50.6
201508,50.6
201509,50.5
201510,50.7
201511,50.2
201512,49.7
201601,49.2
201602,49
201603,48.6
201604,48.8
201605,48.8
201606,48.5
201607,48.5
201608,48.7
201609,48.5
201610,48
201611,48.6
201612,48.5
201701,48.2
201702,47.8
201703,47.9
201704,47.4
201705,47.6
201706,47.6
201707,47.8
201708,48
201709,48
201710,47.9
201711,48
201712,48.3
201801,49.1
201802,48.9
201803,48.4
201804,48.6
201805,48.6
201806,48.4
201807,48.5
201808,48.3
201809,48.3
201810,48.3
201811,48.2
201812,48
201901,47.8
201902,47.4
201903,47.4
201904,47.7
201905,47.3
201906,47.3
201907,46.9
201908,46.9
201909,46.7
201910,46.3
201911,46.5
201912,46.6
202001,46.6
202002,47.4
202003,47.4
202004,47.4
202005,47.6
202006,47.6
202007,47.8
202008,48
202009,48.7
202010,49.5
202011,49.2
202012,49.1
202101,49.1
202102,48.8
202103,48.9
202104,48.9
202105,48.9
202106,49.5
202107,49.9
202108,49.7
202109,49.4
202110,48.8
202111,49.2
202112,49.1
202201,49.1
202202,49.2
202203,49.6
202204,49.2
202205,48.8
202206,48.2
202207,47.8
202208,48
202209,48.1
202210,48.5
202211,47.7
202212,47.6
202301,47.2
202302,46.8
202303,45.9
202304,46
202305,46.2
202306,46.2
202307,46.3
202308,46.1
202309,45.6
202310,45.4
202311,46
202312,46.6
202401,47.1
202402,47.4
202403,48
202404,48.2
202405,48.1
202406,48.6
202407,48.9
202408,48.8
202409,49.2
202410,49.4
202411,49.1
202412,49
202501,48.9
202502,48.9
202503,49
202504,49.1
