#  Los Angeles County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,61.1
200002,61
200003,61.3
200004,61.9
200005,62.3
200006,62.6
200007,62.6
200008,62.9
200009,62.9
200010,62.3
200011,61.8
200012,61.9
200101,61.5
200102,61.2
200103,61.3
200104,60.8
200105,61
200106,61
200107,61
200108,61
200109,61.1
200110,61.6
200111,61.9
200112,61.5
200201,61.6
200202,62.2
200203,62
200204,62.2
200205,61.7
200206,61.6
200207,61.8
200208,61.7
200209,61.7
200210,61.3
200211,61.4
200212,61.5
200301,62.2
200302,61.9
200303,62.1
200304,61.8
200305,61.8
200306,61.6
200307,61.8
200308,62.1
200309,62.2
200310,62.9
200311,62.4
200312,62.4
200401,61.9
200402,61.7
200403,62.1
200404,62.7
200405,62.9
200406,63
200407,62.8
200408,62.5
200409,62.4
200410,61.7
200411,61.6
200412,61.7
200501,61.8
200502,62
200503,61.4
200504,61.1
200505,61
200506,60.7
200507,60.8
200508,61
200509,60.6
200510,60.7
200511,61.3
200512,61.4
200601,61.4
200602,61.6
200603,61.1
200604,61
200605,61.1
200606,61.7
200607,62
200608,61.8
200609,62.1
200610,62.1
200611,62.1
200612,61.9
200701,61.7
200702,61.6
200703,62.5
200704,62.9
200705,62.8
200706,62.6
200707,62.3
200708,62.6
200709,62.4
200710,62.5
200711,62.5
200712,62.3
200801,62.2
200802,62.2
200803,61.9
200804,61.9
200805,61.7
200806,61.9
200807,61.8
200808,61.8
200809,62.2
200810,62.5
200811,62.5
200812,62.6
200901,63.1
200902,63
200903,62.8
200904,62.7
200905,63.1
200906,62.6
200907,62.7
200908,62.6
200909,62.7
200910,62.3
200911,62.1
200912,62.1
201001,61.9
201002,62
201003,62
201004,61.8
201005,61.1
201006,61.3
201007,61.1
201008,60.9
201009,60.7
201010,60.7
201011,60.4
201012,60.6
201101,60.7
201102,60.4
201103,60.4
201104,60.7
201105,60.8
201106,60.6
201107,60.6
201108,60.7
201109,60.8
201110,61
201111,61
201112,60.7
201201,60.9
201202,61.2
201203,61.1
201204,61.2
201205,61.6
201206,61.9
201207,61.8
201208,62.1
201209,62.4
201210,62.5
201211,62.9
201212,62.9
201301,62.5
201302,62.4
201303,62.8
201304,63
201305,63.1
201306,63.3
201307,63.5
201308,63.1
201309,62.9
201310,62.6
201311,62.5
201312,62.8
201401,63.5
201402,63.9
201403,63.9
201404,63.9
201405,64
201406,63.9
201407,64
201408,64
201409,64.2
201410,64.7
201411,64.8
201412,64.8
201501,64.6
201502,64.9
201503,65.2
201504,65.1
201505,64.6
201506,64.8
201507,64.5
201508,64.7
201509,64.7
201510,64.7
201511,64.3
201512,64.1
201601,63.7
201602,63.7
201603,63.3
201604,63.4
201605,63.5
201606,63.6
201607,63.9
201608,63.8
201609,63.5
201610,63.2
201611,63.6
201612,63.7
201701,63.6
201702,63
201703,63.1
201704,63.2
201705,63.3
201706,63.2
201707,63.3
201708,63.4
201709,63.4
201710,63.6
201711,63.7
201712,64.1
201801,64.7
201802,64.8
201803,64.4
201804,64.3
201805,64.2
201806,64
201807,64.1
201808,64.1
201809,64.3
201810,64
201811,63.8
201812,63.5
201901,63.1
201902,62.5
201903,62.4
201904,62.4
201905,62.1
201906,62
201907,61.6
201908,61.5
201909,61.3
201910,61.3
201911,61.2
201912,61.1
202001,61.1
202002,61.9
202003,61.8
202004,61.6
202005,62.3
202006,62.3
202007,62.2
202008,62.4
202009,62.7
202010,63.1
202011,63
202012,63.2
202101,63.2
202102,63.1
202103,63.2
202104,63.4
202105,63.3
202106,63.7
202107,64
202108,63.8
202109,63.6
202110,63
202111,63.5
202112,63.3
202201,63.3
202202,63.2
202203,63.6
202204,63.6
202205,63.6
202206,63.5
202207,63.3
202208,63.6
202209,64
202210,64.4
202211,63.7
202212,63.8
202301,63.5
202302,63
202303,62.4
202304,62.2
202305,61.9
202306,61.2
202307,61.3
202308,61
202309,60.3
202310,60.2
202311,60.5
202312,60.7
202401,61
202402,61.3
202403,61.6
202404,61.4
202405,61.6
202406,62.2
202407,62.3
202408,62.4
202409,62.8
202410,63
202411,62.8
202412,62.8
202501,62.8
202502,63.1
202503,63.2
202504,63.3
