#  Marin County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,55
200002,55.3
200003,55.6
200004,55.8
200005,56.2
200006,56.4
200007,56.4
200008,56.4
200009,56.5
200010,56.1
200011,55.8
200012,55.7
200101,55.6
200102,55.4
200103,55.5
200104,55.2
200105,55.6
200106,55.7
200107,55.8
200108,55.8
200109,55.6
200110,55.9
200111,56.3
200112,56.2
200201,56.2
200202,56.4
200203,56.1
200204,56.4
200205,55.8
200206,55.7
200207,55.8
200208,55.7
200209,55.9
200210,55.7
200211,55.8
200212,55.9
200301,56.3
200302,56.3
200303,56.5
200304,56.2
200305,56.3
200306,56.3
200307,56.5
200308,56.6
200309,56.7
200310,57
200311,56.6
200312,56.5
200401,56.2
200402,56.1
200403,56.5
200404,57
200405,57
200406,57
200407,56.8
200408,56.9
200409,56.8
200410,56.5
200411,56.6
200412,56.7
200501,56.6
200502,56.8
200503,56.5
200504,56.2
200505,56.2
200506,56
200507,56.2
200508,56
200509,55.6
200510,55.7
200511,55.9
200512,56
200601,56.3
200602,56.2
200603,55.6
200604,55.6
200605,55.6
200606,55.9
200607,56.1
200608,56.1
200609,56.2
200610,56.2
200611,56
200612,55.8
200701,55.6
200702,55.5
200703,56.1
200704,56.1
200705,56.1
200706,55.9
200707,55.6
200708,55.8
200709,55.8
200710,55.7
200711,55.8
200712,55.7
200801,55.6
200802,55.6
200803,55.3
200804,55.2
200805,55.2
200806,55.3
200807,55.3
200808,55.4
200809,55.6
200810,55.9
200811,56
200812,55.9
200901,56.2
200902,56.2
200903,56.2
200904,56.2
200905,56.3
200906,56.2
200907,56.1
200908,56
200909,56.2
200910,55.9
200911,55.7
200912,55.8
201001,55.6
201002,55.8
201003,55.9
201004,55.7
201005,55.4
201006,55.4
201007,55.3
201008,55
201009,54.9
201010,55
201011,54.9
201012,55.2
201101,55.2
201102,55
201103,54.9
201104,55
201105,55
201106,54.8
201107,54.8
201108,54.9
201109,54.9
201110,54.9
201111,54.8
201112,54.7
201201,54.7
201202,54.9
201203,54.9
201204,55
201205,55.3
201206,55.4
201207,55.5
201208,55.6
201209,55.2
201210,55.3
201211,55.6
201212,55.6
201301,55.4
201302,55.3
201303,55.6
201304,55.9
201305,56.1
201306,56.2
201307,56.3
201308,56.4
201309,56.6
201310,56.4
201311,56.4
201312,56.3
201401,56.9
201402,57.1
201403,57.3
201404,57.2
201405,57.3
201406,57.3
201407,57.5
201408,57.6
201409,57.7
201410,58.1
201411,58.2
201412,58.8
201501,58.6
201502,59
201503,59.1
201504,59
201505,58.6
201506,58.7
201507,58.7
201508,58.9
201509,59
201510,59.1
201511,58.7
201512,58.3
201601,58.1
201602,58.1
201603,57.8
201604,58
201605,58.3
201606,58.3
201607,58.1
201608,57.7
201609,57.5
201610,57
201611,57.2
201612,57.1
201701,56.9
201702,56.5
201703,56.5
201704,56.3
201705,56.3
201706,56.3
201707,56.5
201708,56.7
201709,57.1
201710,57.3
201711,57.3
201712,57.5
201801,57.8
201802,57.9
201803,57.6
201804,57.6
201805,57.5
201806,57.4
201807,57.4
201808,57.2
201809,56.7
201810,56.6
201811,56.7
201812,56.7
201901,56.7
201902,56.2
201903,56.3
201904,56.5
201905,56.4
201906,56.5
201907,56.4
201908,56.7
201909,57
201910,57
201911,56.9
201912,56.9
202001,56.8
202002,57.5
202003,57.4
202004,57.3
202005,57.7
202006,57.7
202007,57.7
202008,57.8
202009,58
202010,58.4
202011,58.3
202012,58.4
202101,58.4
202102,58.2
202103,58.2
202104,58.1
202105,58
202106,57.9
202107,57.9
202108,57.7
202109,57.4
202110,56.8
202111,56.9
202112,56.6
202201,56.6
202202,56.6
202203,56.8
202204,56.8
202205,56.7
202206,56.8
202207,56.7
202208,56.8
202209,57
202210,57.1
202211,56.6
202212,56.6
202301,56.6
202302,56.3
202303,55.8
202304,55.7
202305,55.5
202306,55.2
202307,55.3
202308,55.5
202309,55.1
202310,55.3
202311,55.8
202312,56.2
202401,56.4
202402,56.7
202403,57.1
202404,57.2
202405,57.4
202406,57.8
202407,58
202408,57.8
202409,58
202410,58.2
202411,57.9
202412,57.9
202501,57.8
202502,57.8
202503,57.8
202504,57.8
