#  Mendocino County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,54.3
200002,54.7
200003,55
200004,55.3
200005,55.5
200006,55.9
200007,55.9
200008,56
200009,55.8
200010,55.6
200011,55.2
200012,55.2
200101,55.1
200102,54.8
200103,55
200104,54.6
200105,55.1
200106,54.8
200107,55
200108,55.1
200109,55.1
200110,55.4
200111,55.7
200112,55.7
200201,55.7
200202,56.1
200203,55.7
200204,56
200205,55.5
200206,55.5
200207,55.7
200208,55.7
200209,55.7
200210,55.4
200211,55.5
200212,55.6
200301,56.2
200302,56
200303,56.2
200304,55.7
200305,55.8
200306,55.9
200307,55.9
200308,55.9
200309,56
200310,56.3
200311,55.9
200312,55.8
200401,55.3
200402,55.3
200403,55.6
200404,56.2
200405,56.3
200406,56.2
200407,56.2
200408,56.3
200409,56.1
200410,55.7
200411,55.9
200412,56
200501,56
200502,56.2
200503,55.9
200504,55.6
200505,55.5
200506,55.2
200507,55.3
200508,55.3
200509,55.1
200510,55.1
200511,55.2
200512,55.3
200601,55.3
200602,55.2
200603,54.5
200604,54.6
200605,54.7
200606,55.3
200607,55.4
200608,55.2
200609,55.5
200610,55.4
200611,55.4
200612,55.3
200701,55
200702,54.9
200703,55.7
200704,55.8
200705,55.7
200706,55.4
200707,55.2
200708,55.3
200709,55.1
200710,55
200711,55.1
200712,54.8
200801,54.9
200802,54.9
200803,54.5
200804,54.3
200805,54.3
200806,54.4
200807,54.4
200808,54.5
200809,54.7
200810,55
200811,55.1
200812,55.2
200901,55.5
200902,55.5
200903,55.5
200904,55.6
200905,55.7
200906,55.7
200907,55.7
200908,55.7
200909,55.7
200910,55.6
200911,55.3
200912,55.3
201001,55.3
201002,55.5
201003,55.5
201004,55.3
201005,54.6
201006,54.6
201007,54.5
201008,54.4
201009,54.1
201010,54.3
201011,54.2
201012,54.6
201101,54.5
201102,54.2
201103,54.1
201104,54.2
201105,54.3
201106,54.2
201107,54.1
201108,54.2
201109,54.4
201110,54.5
201111,54.5
201112,54.3
201201,54.2
201202,54.5
201203,54.4
201204,54.6
201205,55
201206,55
201207,55.1
201208,55.2
201209,55.1
201210,55.1
201211,55.4
201212,55.4
201301,55.2
201302,55.1
201303,55.5
201304,55.7
201305,55.8
201306,56.1
201307,56.4
201308,56.3
201309,56.1
201310,55.9
201311,55.9
201312,56
201401,56.5
201402,56.7
201403,56.8
201404,56.8
201405,56.9
201406,56.9
201407,57
201408,57.1
201409,57.3
201410,57.7
201411,57.7
201412,58.1
201501,58.1
201502,58.5
201503,58.8
201504,58.7
201505,58.5
201506,58.8
201507,58.7
201508,58.7
201509,58.6
201510,58.8
201511,58.4
201512,58
201601,57.7
201602,57.6
201603,57.2
201604,57.4
201605,57.5
201606,57.3
201607,57.1
201608,57.1
201609,57
201610,56.4
201611,56.7
201612,56.6
201701,56.3
201702,55.9
201703,56
201704,55.6
201705,55.6
201706,55.6
201707,55.8
201708,56
201709,56.2
201710,56.4
201711,56.4
201712,56.6
201801,57
201802,57
201803,56.7
201804,56.8
201805,56.8
201806,56.7
201807,56.8
201808,56.4
201809,56.2
201810,56.2
201811,56.3
201812,56.2
201901,56.2
201902,55.8
201903,55.9
201904,56.1
201905,56
201906,56.1
201907,55.9
201908,56.1
201909,56
201910,55.8
201911,56
201912,56.1
202001,56
202002,56.7
202003,56.6
202004,56.6
202005,56.7
202006,56.7
202007,56.8
202008,56.9
202009,57.3
202010,58
202011,57.7
202012,57.7
202101,57.8
202102,57.5
202103,57.4
202104,57.4
202105,57.4
202106,57.6
202107,57.8
202108,57.7
202109,57.6
202110,56.8
202111,57
202112,56.8
202201,56.8
202202,56.9
202203,57.3
202204,57.1
202205,56.9
202206,56.7
202207,56.5
202208,56.5
202209,56.5
202210,56.8
202211,56.3
202212,56.4
202301,56.2
202302,55.8
202303,55.1
202304,55.1
202305,55.2
202306,55.1
202307,55.2
202308,55.2
202309,54.8
202310,54.7
202311,55.2
202312,55.6
202401,55.8
202402,56.1
202403,56.4
202404,56.5
202405,56.6
202406,56.9
202407,57.2
202408,57
202409,57.4
202410,57.7
202411,57.3
202412,57.4
202501,57.3
202502,57.4
202503,57.4
202504,57.6
