#  Merced County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,61.6
200002,61.9
200003,62.2
200004,62.6
200005,62.9
200006,63.3
200007,63.2
200008,63.4
200009,63.3
200010,62.9
200011,62.4
200012,62.4
200101,62
200102,61.7
200103,61.9
200104,61.5
200105,62
200106,62
200107,62.1
200108,62.1
200109,62.2
200110,62.6
200111,63.1
200112,63.1
200201,63
200202,63.2
200203,62.9
200204,63.1
200205,62.5
200206,62.3
200207,62.5
200208,62.4
200209,62.4
200210,62.1
200211,62
200212,62.2
200301,62.6
200302,62.5
200303,62.7
200304,62.3
200305,62.3
200306,62.3
200307,62.6
200308,62.6
200309,62.7
200310,63.1
200311,62.9
200312,62.9
200401,62.6
200402,62.6
200403,63
200404,63.6
200405,63.7
200406,63.7
200407,63.3
200408,63.3
200409,63.1
200410,62.7
200411,62.6
200412,62.4
200501,62.4
200502,62.6
200503,62.3
200504,61.8
200505,61.8
200506,61.5
200507,61.9
200508,62.1
200509,61.8
200510,62
200511,62.4
200512,62.7
200601,62.9
200602,62.7
200603,62.2
200604,62.1
200605,62.3
200606,62.8
200607,63
200608,62.6
200609,62.8
200610,62.6
200611,62.4
200612,62.1
200701,61.7
200702,61.6
200703,62.4
200704,62.6
200705,62.6
200706,62.4
200707,61.9
200708,62.2
200709,62.1
200710,62.1
200711,62.3
200712,62.2
200801,62.4
200802,62.4
200803,62.1
200804,61.9
200805,61.8
200806,61.9
200807,62
200808,62.1
200809,62.4
200810,62.7
200811,62.7
200812,62.6
200901,62.8
200902,62.8
200903,62.8
200904,62.8
200905,63.2
200906,62.9
200907,63
200908,62.8
200909,63
200910,62.7
200911,62.5
200912,62.6
201001,62.7
201002,62.8
201003,62.8
201004,62.4
201005,61.6
201006,61.7
201007,61.5
201008,61.3
201009,61
201010,61.3
201011,61.2
201012,61.5
201101,61.3
201102,61
201103,60.9
201104,61.2
201105,61.2
201106,61
201107,61
201108,61.1
201109,61.4
201110,61.3
201111,61.2
201112,60.8
201201,61.1
201202,61.4
201203,61.4
201204,61.6
201205,62.1
201206,62.3
201207,62.3
201208,62.6
201209,62.5
201210,62.6
201211,63
201212,63.2
201301,62.9
201302,62.7
201303,63.1
201304,63.4
201305,63.4
201306,63.7
201307,63.9
201308,63.6
201309,63.4
201310,63.2
201311,63.1
201312,63
201401,63.6
201402,63.9
201403,64
201404,63.8
201405,63.9
201406,63.9
201407,63.9
201408,64
201409,64.2
201410,64.7
201411,64.7
201412,65.1
201501,64.8
201502,65
201503,65.2
201504,65.1
201505,64.7
201506,64.9
201507,64.7
201508,64.7
201509,64.7
201510,64.8
201511,64.4
201512,64
201601,64.1
201602,64
201603,63.7
201604,63.8
201605,64
201606,64
201607,64.1
201608,64.1
201609,63.9
201610,63.5
201611,63.9
201612,64
201701,63.8
201702,63.5
201703,63.6
201704,63.3
201705,63.4
201706,63.3
201707,63.5
201708,63.7
201709,63.8
201710,63.8
201711,63.9
201712,64
201801,64.4
201802,64.3
201803,64
201804,64.1
201805,63.9
201806,63.7
201807,63.7
201808,63.5
201809,63.4
201810,63.4
201811,63.3
201812,63.4
201901,63.2
201902,63
201903,63
201904,63.2
201905,63
201906,63.1
201907,62.8
201908,63
201909,63
201910,62.8
201911,62.8
201912,62.9
202001,62.7
202002,63.1
202003,63
202004,62.8
202005,63.3
202006,63.3
202007,63.2
202008,63.4
202009,63.6
202010,64
202011,63.7
202012,63.4
202101,63.4
202102,63.3
202103,63.3
202104,63.4
202105,63.4
202106,63.5
202107,63.8
202108,63.6
202109,63.6
202110,63.1
202111,63.3
202112,63.4
202201,63.4
202202,63.3
202203,63.7
202204,63.5
202205,63.3
202206,63.4
202207,63.2
202208,63.3
202209,63.5
202210,63.8
202211,63.5
202212,63.4
202301,63.3
202302,63.1
202303,62.5
202304,62.4
202305,62.3
202306,61.8
202307,61.9
202308,61.8
202309,61.3
202310,61.2
202311,61.6
202312,62
202401,62.2
202402,62.6
202403,63
202404,63
202405,63.2
202406,63.7
202407,64
202408,64
202409,64.3
202410,64.7
202411,64.4
202412,64.3
202501,64.1
202502,64.2
202503,64.1
202504,64.2
