#  Mono County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,44.2
200002,44.3
200003,44.4
200004,45.1
200005,45.4
200006,45.7
200007,45.7
200008,46
200009,45.9
200010,45.4
200011,44.7
200012,45
200101,44.6
200102,44.1
200103,44.3
200104,43.8
200105,44.1
200106,44.1
200107,44.1
200108,44.3
200109,44.6
200110,45.1
200111,45.5
200112,44.9
200201,45
200202,45.7
200203,45.2
200204,45.5
200205,45
200206,45
200207,45.4
200208,45.1
200209,44.9
200210,44.5
200211,44.5
200212,44.5
200301,45.3
200302,44.9
200303,45.3
200304,44.8
200305,44.9
200306,44.9
200307,44.9
200308,44.9
200309,45.1
200310,45.7
200311,45.2
200312,45.3
200401,44.6
200402,44.4
200403,44.8
200404,45.4
200405,45.5
200406,45.4
200407,45.2
200408,45.1
200409,44.8
200410,44
200411,44.2
200412,44.4
200501,44.3
200502,44.6
200503,44
200504,43.6
200505,43.5
200506,43.1
200507,43.3
200508,43.4
200509,43.2
200510,43.5
200511,44
200512,44.2
200601,44.2
200602,44.3
200603,43.8
200604,43.9
200605,44.1
200606,44.6
200607,44.5
200608,44.4
200609,44.6
200610,44.4
200611,44.2
200612,44.1
200701,43.9
200702,44
200703,44.9
200704,45.1
200705,45.2
200706,45.1
200707,45.2
200708,45.5
200709,45.4
200710,45.5
200711,45.6
200712,45.3
200801,45.2
200802,45.1
200803,44.7
200804,44.5
200805,44.2
200806,44
200807,43.9
200808,44
200809,44.2
200810,44.3
200811,44.3
200812,44.4
200901,45.1
200902,45.1
200903,45
200904,44.9
200905,45.4
200906,45.1
200907,45
200908,44.7
200909,45
200910,44.7
200911,44.5
200912,44.3
201001,44
201002,44.1
201003,44
201004,43.7
201005,42.8
201006,43
201007,43
201008,43
201009,42.8
201010,43
201011,42.7
201012,43.2
201101,43.4
201102,43.2
201103,43.2
201104,43.4
201105,43.5
201106,43.3
201107,43
201108,43.2
201109,43.3
201110,43.4
201111,43.5
201112,43.2
201201,43.4
201202,43.7
201203,43.9
201204,44.2
201205,44.9
201206,45.2
201207,45.4
201208,45.6
201209,45.7
201210,45.8
201211,46.2
201212,46
201301,45.5
201302,45.4
201303,45.7
201304,45.8
201305,45.8
201306,46
201307,46.2
201308,45.8
201309,45.6
201310,45.1
201311,45.1
201312,45.3
201401,46
201402,46.5
201403,46.3
201404,46.2
201405,46.2
201406,46.1
201407,46
201408,46
201409,46.2
201410,46.8
201411,47
201412,47.2
201501,47.2
201502,47.6
201503,47.9
201504,47.8
201505,47.6
201506,47.8
201507,47.4
201508,47.6
201509,47.7
201510,47.5
201511,46.9
201512,46.4
201601,45.8
201602,45.6
201603,45.4
201604,45.5
201605,45.5
201606,45.5
201607,45.9
201608,45.9
201609,45.6
201610,45.5
201611,46
201612,46.3
201701,46
201702,45.6
201703,45.5
201704,45.3
201705,45.5
201706,45.4
201707,45.5
201708,45.5
201709,45.3
201710,45.3
201711,45.5
201712,45.8
201801,46.6
201802,46.5
201803,46.1
201804,46.3
201805,46.3
201806,46.4
201807,46.4
201808,46.4
201809,46.7
201810,46.6
201811,46.5
201812,46.1
201901,45.8
201902,45.2
201903,45.2
201904,45.2
201905,44.8
201906,44.5
201907,44.2
201908,44.2
201909,44
201910,43.8
201911,43.7
201912,43.6
202001,43.7
202002,44.6
202003,44.5
202004,44.4
202005,45
202006,45
202007,45.2
202008,45.3
202009,45.8
202010,46.5
202011,46.4
202012,46.6
202101,46.4
202102,46.2
202103,46.3
202104,46.3
202105,46.3
202106,46.8
202107,47
202108,46.9
202109,46.8
202110,46.2
202111,46.6
202112,46.4
202201,46.5
202202,46.4
202203,46.8
202204,46.7
202205,46.5
202206,46
202207,45.9
202208,46
202209,46
202210,46.4
202211,45.6
202212,45.6
202301,45
202302,44.6
202303,43.6
202304,43.5
202305,43.5
202306,43.1
202307,43.1
202308,42.8
202309,42.4
202310,42.3
202311,42.7
202312,43.1
202401,43.7
202402,44
202403,44.6
202404,44.8
202405,44.9
202406,45.7
202407,45.7
202408,45.9
202409,46.2
202410,46.4
202411,46.2
202412,46.2
202501,46.1
202502,46.5
202503,46.6
202504,46.6
