#  Monterey County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,57.5
200002,57.7
200003,58
200004,58.4
200005,58.8
200006,59.1
200007,59.1
200008,59.2
200009,59.2
200010,58.9
200011,58.4
200012,58.6
200101,58.4
200102,58.1
200103,58.3
200104,57.9
200105,58.2
200106,58.2
200107,58.3
200108,58.3
200109,58.2
200110,58.5
200111,59
200112,58.8
200201,58.7
200202,58.9
200203,58.7
200204,58.9
200205,58.4
200206,58.2
200207,58.3
200208,58.3
200209,58.5
200210,58.2
200211,58.3
200212,58.4
200301,59.1
200302,58.9
200303,59.1
200304,58.8
200305,58.9
200306,58.9
200307,59.1
200308,59.2
200309,59.3
200310,59.7
200311,59.3
200312,59.3
200401,58.8
200402,58.8
200403,59.1
200404,59.6
200405,59.7
200406,59.6
200407,59.4
200408,59.4
200409,59.2
200410,58.8
200411,58.8
200412,58.8
200501,58.9
200502,59.2
200503,58.9
200504,58.6
200505,58.6
200506,58.4
200507,58.5
200508,58.6
200509,58.3
200510,58.4
200511,58.9
200512,59
200601,59
200602,58.9
200603,58.3
200604,58.3
200605,58.4
200606,58.8
200607,58.9
200608,58.7
200609,58.8
200610,58.7
200611,58.4
200612,58.2
200701,57.9
200702,57.8
200703,58.5
200704,58.6
200705,58.5
200706,58.3
200707,58
200708,58.2
200709,58.2
200710,58.2
200711,58.3
200712,58.1
200801,58.2
200802,58.2
200803,57.9
200804,57.8
200805,57.7
200806,57.8
200807,57.8
200808,57.8
200809,58.1
200810,58.4
200811,58.5
200812,58.6
200901,58.9
200902,59
200903,58.9
200904,59
200905,59.3
200906,59.1
200907,59.1
200908,59.1
200909,59.2
200910,58.9
200911,58.6
200912,58.7
201001,58.6
201002,58.7
201003,58.8
201004,58.6
201005,58.1
201006,58.1
201007,57.9
201008,57.7
201009,57.5
201010,57.7
201011,57.6
201012,57.9
201101,57.9
201102,57.6
201103,57.5
201104,57.7
201105,57.7
201106,57.6
201107,57.7
201108,57.7
201109,57.8
201110,57.9
201111,57.8
201112,57.5
201201,57.5
201202,57.7
201203,57.7
201204,57.9
201205,58.1
201206,58.2
201207,58.2
201208,58.4
201209,58.4
201210,58.4
201211,58.7
201212,58.8
201301,58.6
201302,58.4
201303,58.7
201304,58.9
201305,59
201306,59.3
201307,59.5
201308,59.4
201309,59.4
201310,59.1
201311,59.1
201312,59.1
201401,59.8
201402,60.2
201403,60.3
201404,60.2
201405,60.4
201406,60.3
201407,60.4
201408,60.5
201409,60.7
201410,61.2
201411,61.3
201412,61.7
201501,61.5
201502,61.8
201503,62
201504,61.9
201505,61.4
201506,61.6
201507,61.5
201508,61.6
201509,61.7
201510,61.7
201511,61.3
201512,60.8
201601,60.6
201602,60.6
201603,60.2
201604,60.3
201605,60.6
201606,60.6
201607,60.5
201608,60.3
201609,60
201610,59.5
201611,59.9
201612,60
201701,59.8
201702,59.5
201703,59.5
201704,59.3
201705,59.4
201706,59.3
201707,59.5
201708,59.8
201709,60
201710,60.1
201711,60.2
201712,60.4
201801,60.9
201802,60.9
201803,60.6
201804,60.6
201805,60.4
201806,60.3
201807,60.4
201808,60.3
201809,60
201810,60
201811,60
201812,59.9
201901,59.7
201902,59.2
201903,59.2
201904,59.4
201905,59.3
201906,59.4
201907,59.1
201908,59.2
201909,59.3
201910,59.2
201911,59.1
201912,59.1
202001,59
202002,59.6
202003,59.5
202004,59.3
202005,59.7
202006,59.6
202007,59.6
202008,59.8
202009,60
202010,60.5
202011,60.4
202012,60.4
202101,60.5
202102,60.3
202103,60.3
202104,60.2
202105,60.1
202106,60.2
202107,60.4
202108,60.2
202109,60
202110,59.4
202111,59.7
202112,59.6
202201,59.6
202202,59.6
202203,59.9
202204,59.9
202205,59.8
202206,59.9
202207,59.8
202208,59.9
202209,60.1
202210,60.2
202211,59.6
202212,59.7
202301,59.4
202302,59.1
202303,58.6
202304,58.6
202305,58.5
202306,57.9
202307,58
202308,57.9
202309,57.4
202310,57.5
202311,58
202312,58.2
202401,58.5
202402,58.8
202403,59.1
202404,59.1
202405,59.2
202406,59.6
202407,59.8
202408,59.8
202409,60.1
202410,60.3
202411,60
202412,60.1
202501,59.9
202502,60.1
202503,60.1
202504,60.1
