#  Nevada County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,51.7
200002,51.9
200003,52.2
200004,52.7
200005,52.8
200006,53.2
200007,53.2
200008,53.4
200009,53.1
200010,52.6
200011,52
200012,52.1
200101,52
200102,51.7
200103,51.9
200104,51.5
200105,52.1
200106,51.9
200107,52.1
200108,52.3
200109,52.6
200110,53.1
200111,53.6
200112,53.2
200201,53.1
200202,53.5
200203,53.1
200204,53.4
200205,52.7
200206,52.8
200207,53
200208,52.8
200209,52.7
200210,52.4
200211,52.5
200212,52.6
200301,53.3
200302,53.1
200303,53.3
200304,52.7
200305,52.7
200306,52.8
200307,52.8
200308,52.8
200309,53
200310,53.5
200311,52.9
200312,52.9
200401,52.3
200402,52.2
200403,52.7
200404,53.5
200405,53.6
200406,53.5
200407,53.3
200408,53.4
200409,53.1
200410,52.4
200411,52.6
200412,52.7
200501,52.8
200502,53.1
200503,52.6
200504,52.1
200505,52
200506,51.4
200507,51.7
200508,51.8
200509,51.6
200510,51.8
200511,52.1
200512,52.2
200601,52.3
200602,52.3
200603,51.5
200604,51.6
200605,51.9
200606,52.6
200607,52.6
200608,52.4
200609,52.7
200610,52.5
200611,52.3
200612,52.1
200701,51.9
200702,51.8
200703,52.9
200704,53.1
200705,53.1
200706,52.9
200707,52.8
200708,52.9
200709,52.6
200710,52.5
200711,52.9
200712,52.6
200801,52.4
200802,52.3
200803,51.9
200804,51.7
200805,51.5
200806,51.6
200807,51.6
200808,51.7
200809,52.1
200810,52.5
200811,52.5
200812,52.7
200901,53.3
200902,53.2
200903,53.1
200904,53.2
200905,53.5
200906,53.3
200907,53.3
200908,53.1
200909,53.2
200910,52.9
200911,52.7
200912,52.6
201001,52.4
201002,52.6
201003,52.6
201004,52.3
201005,51.3
201006,51.4
201007,51.3
201008,51
201009,50.8
201010,51
201011,50.8
201012,51
201101,51.1
201102,50.7
201103,50.5
201104,50.6
201105,50.7
201106,50.4
201107,50.2
201108,50.3
201109,50.6
201110,50.6
201111,50.6
201112,50.7
201201,50.8
201202,51.1
201203,51.3
201204,51.6
201205,52.2
201206,52.5
201207,52.6
201208,53
201209,53
201210,53.1
201211,53.4
201212,53
201301,52.7
201302,52.6
201303,53.1
201304,53.4
201305,53.3
201306,53.6
201307,53.9
201308,53.6
201309,53.1
201310,52.8
201311,52.9
201312,53.2
201401,53.9
201402,54.1
201403,54.1
201404,54
201405,54.1
201406,54.1
201407,54.2
201408,54.3
201409,54.6
201410,54.9
201411,54.9
201412,55
201501,55
201502,55.4
201503,55.8
201504,55.7
201505,55.5
201506,55.7
201507,55.4
201508,55.5
201509,55.6
201510,55.7
201511,55.2
201512,54.8
201601,54.2
201602,54
201603,53.5
201604,53.7
201605,53.7
201606,53.5
201607,53.5
201608,53.6
201609,53.4
201610,52.8
201611,53.2
201612,53.4
201701,53.2
201702,52.7
201703,52.8
201704,52.4
201705,52.5
201706,52.5
201707,52.7
201708,52.9
201709,52.9
201710,53.2
201711,53.2
201712,53.7
201801,54.3
201802,54.3
201803,53.9
201804,54.1
201805,54.1
201806,54
201807,54.1
201808,53.9
201809,54
201810,54
201811,54.2
201812,53.8
201901,53.6
201902,53
201903,53
201904,53.2
201905,52.8
201906,52.8
201907,52.4
201908,52.4
201909,52.1
201910,51.8
201911,51.8
201912,51.9
202001,51.8
202002,52.8
202003,52.8
202004,52.7
202005,53.1
202006,53
202007,53.1
202008,53.3
202009,53.9
202010,54.7
202011,54.4
202012,54.5
202101,54.5
202102,54.2
202103,54.3
202104,54.4
202105,54.6
202106,55
202107,55.3
202108,55.3
202109,55.1
202110,54.2
202111,54.6
202112,54.4
202201,54.5
202202,54.6
202203,55.1
202204,54.8
202205,54.5
202206,54.1
202207,53.8
202208,53.9
202209,53.9
202210,54.6
202211,53.8
202212,53.8
202301,53.4
202302,52.9
202303,51.9
202304,51.9
202305,51.9
202306,51.7
202307,51.8
202308,51.5
202309,51.1
202310,50.8
202311,51.2
202312,51.7
202401,52
202402,52.2
202403,52.7
202404,52.7
202405,52.9
202406,53.5
202407,53.8
202408,53.8
202409,54.2
202410,54.5
202411,54.1
202412,54.1
202501,54.2
202502,54.3
202503,54.4
202504,54.5
