#  Orange County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,63.1
200002,63.1
200003,63.4
200004,63.9
200005,64.2
200006,64.6
200007,64.6
200008,64.8
200009,65.1
200010,64.5
200011,64.1
200012,64.1
200101,63.8
200102,63.5
200103,63.6
200104,63.2
200105,63.2
200106,63.2
200107,63.1
200108,63
200109,63
200110,63.3
200111,63.5
200112,63.2
200201,63.3
200202,63.8
200203,63.7
200204,63.8
200205,63.5
200206,63.3
200207,63.4
200208,63.3
200209,63.3
200210,63
200211,63.2
200212,63.3
200301,63.9
200302,63.7
200303,63.9
200304,63.8
200305,63.8
200306,63.7
200307,63.9
200308,64.3
200309,64.3
200310,64.9
200311,64.4
200312,64.4
200401,63.9
200402,63.7
200403,64
200404,64.4
200405,64.7
200406,64.9
200407,64.7
200408,64.4
200409,64.5
200410,64
200411,63.9
200412,64
200501,64.1
200502,64.3
200503,63.9
200504,63.8
200505,63.6
200506,63.6
200507,63.6
200508,63.7
200509,63.4
200510,63.6
200511,64.1
200512,64.2
200601,64.2
200602,64.4
200603,63.9
200604,63.7
200605,63.7
200606,64.1
200607,64.6
200608,64.6
200609,64.8
200610,64.7
200611,64.8
200612,64.6
200701,64.4
200702,64.3
200703,65
200704,65.2
200705,65.1
200706,64.8
200707,64.4
200708,64.6
200709,64.4
200710,64.6
200711,64.5
200712,64.3
200801,64.2
200802,64.1
200803,64
200804,64.2
200805,64.1
200806,64.3
200807,64.3
200808,64.1
200809,64.4
200810,64.7
200811,64.9
200812,64.9
200901,65.5
200902,65.4
200903,65.3
200904,65.2
200905,65.5
200906,65.1
200907,65.3
200908,65.3
200909,65.5
200910,65.1
200911,64.9
200912,65
201001,64.7
201002,64.8
201003,64.9
201004,64.7
201005,64.3
201006,64.3
201007,63.9
201008,63.7
201009,63.3
201010,63.2
201011,63
201012,63.1
201101,63.2
201102,63
201103,62.9
201104,63.1
201105,63.1
201106,63.1
201107,63.3
201108,63.4
201109,63.4
201110,63.5
201111,63.4
201112,63.2
201201,63.3
201202,63.5
201203,63.5
201204,63.5
201205,63.7
201206,63.8
201207,63.6
201208,64
201209,64.4
201210,64.7
201211,64.9
201212,65
201301,64.6
201302,64.4
201303,64.6
201304,64.7
201305,64.8
201306,64.9
201307,65
201308,64.7
201309,64.4
201310,64
201311,64
201312,64.3
201401,64.9
201402,65.3
201403,65.5
201404,65.6
201405,65.8
201406,65.8
201407,66
201408,66.1
201409,66.3
201410,66.8
201411,67
201412,67
201501,66.8
201502,67.1
201503,67.5
201504,67.6
201505,67
201506,67.2
201507,67
201508,67.2
201509,67.3
201510,67.5
201511,67.2
201512,67
201601,66.6
201602,66.8
201603,66.3
201604,66.3
201605,66.4
201606,66.4
201607,66.6
201608,66.5
201609,66.1
201610,65.7
201611,66
201612,66.1
201701,66
201702,65.3
201703,65.5
201704,65.5
201705,65.6
201706,65.5
201707,65.6
201708,65.6
201709,65.6
201710,65.9
201711,65.9
201712,66.3
201801,66.9
201802,67
201803,66.7
201804,66.5
201805,66.4
201806,66.2
201807,66.4
201808,66.6
201809,66.6
201810,66.3
201811,66.2
201812,65.8
201901,65.4
201902,64.8
201903,64.8
201904,64.8
201905,64.6
201906,64.5
201907,64.2
201908,64
201909,64.1
201910,64.2
201911,64
201912,63.9
202001,63.9
202002,64.6
202003,64.5
202004,64.4
202005,64.9
202006,65
202007,65
202008,65.2
202009,65.4
202010,65.7
202011,65.7
202012,65.9
202101,66
202102,65.9
202103,65.9
202104,66
202105,65.7
202106,65.7
202107,65.9
202108,65.7
202109,65.4
202110,64.9
202111,65.2
202112,64.8
202201,64.8
202202,64.9
202203,65.3
202204,65.4
202205,65.4
202206,65.5
202207,65.4
202208,65.7
202209,66.1
202210,66.4
202211,66
202212,66.1
202301,65.7
202302,65.3
202303,64.7
202304,64.4
202305,64.1
202306,63.5
202307,63.6
202308,63.4
202309,62.8
202310,62.7
202311,63.1
202312,63.4
202401,63.7
202402,63.8
202403,64.1
202404,64
202405,64.1
202406,64.6
202407,64.6
202408,64.6
202409,64.9
202410,64.9
202411,64.6
202412,64.4
202501,64.4
202502,64.7
202503,64.8
202504,64.8
