#  Placer County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,53.1
200002,53.3
200003,53.7
200004,54.1
200005,54.3
200006,54.7
200007,54.7
200008,54.9
200009,54.6
200010,54.1
200011,53.5
200012,53.6
200101,53.5
200102,53.2
200103,53.5
200104,53
200105,53.6
200106,53.5
200107,53.6
200108,53.8
200109,54
200110,54.6
200111,55
200112,54.7
200201,54.5
200202,55
200203,54.5
200204,54.9
200205,54.1
200206,54.2
200207,54.4
200208,54.2
200209,54.2
200210,53.8
200211,53.9
200212,54
200301,54.7
200302,54.5
200303,54.7
200304,54.1
200305,54.1
200306,54.1
200307,54.2
200308,54.2
200309,54.4
200310,54.8
200311,54.3
200312,54.3
200401,53.8
200402,53.6
200403,54.1
200404,54.9
200405,55
200406,54.9
200407,54.7
200408,54.8
200409,54.5
200410,53.8
200411,54
200412,54.1
200501,54.1
200502,54.4
200503,53.9
200504,53.4
200505,53.3
200506,52.8
200507,53
200508,53.1
200509,52.9
200510,53.1
200511,53.5
200512,53.6
200601,53.7
200602,53.7
200603,53
200604,53.1
200605,53.4
200606,54.1
200607,54.1
200608,53.8
200609,54.1
200610,54
200611,53.8
200612,53.6
200701,53.4
200702,53.3
200703,54.3
200704,54.5
200705,54.6
200706,54.4
200707,54.2
200708,54.4
200709,54.1
200710,54
200711,54.3
200712,54
200801,53.9
200802,53.8
200803,53.4
200804,53.3
200805,53.1
200806,53.1
200807,53.1
200808,53.2
200809,53.7
200810,54
200811,54
200812,54.1
200901,54.6
200902,54.6
200903,54.4
200904,54.5
200905,54.8
200906,54.5
200907,54.6
200908,54.4
200909,54.5
200910,54.2
200911,54
200912,53.9
201001,53.8
201002,53.9
201003,54
201004,53.6
201005,52.7
201006,52.8
201007,52.7
201008,52.5
201009,52.2
201010,52.5
201011,52.2
201012,52.5
201101,52.6
201102,52.2
201103,52
201104,52.2
201105,52.3
201106,52
201107,51.7
201108,51.9
201109,52.1
201110,52.1
201111,52.2
201112,52.2
201201,52.3
201202,52.6
201203,52.7
201204,53
201205,53.6
201206,53.9
201207,54
201208,54.4
201209,54.4
201210,54.5
201211,54.7
201212,54.4
201301,54.1
201302,54
201303,54.5
201304,54.7
201305,54.7
201306,55
201307,55.3
201308,54.9
201309,54.5
201310,54.2
201311,54.3
201312,54.6
201401,55.3
201402,55.6
201403,55.5
201404,55.5
201405,55.5
201406,55.6
201407,55.6
201408,55.7
201409,56
201410,56.3
201411,56.3
201412,56.4
201501,56.4
201502,56.7
201503,57.1
201504,57
201505,56.7
201506,57
201507,56.7
201508,56.8
201509,56.8
201510,57
201511,56.4
201512,56
201601,55.5
201602,55.4
201603,55
201604,55.1
201605,55.2
201606,55
201607,55
201608,55.1
201609,54.9
201610,54.4
201611,54.8
201612,55
201701,54.7
201702,54.2
201703,54.3
201704,53.9
201705,54
201706,54
201707,54.2
201708,54.4
201709,54.3
201710,54.6
201711,54.5
201712,55
201801,55.5
201802,55.5
201803,55.1
201804,55.3
201805,55.2
201806,55.2
201807,55.3
201808,55.1
201809,55.2
201810,55.2
201811,55.4
201812,55
201901,54.9
201902,54.4
201903,54.4
201904,54.6
201905,54.2
201906,54.2
201907,53.8
201908,53.9
201909,53.6
201910,53.4
201911,53.4
201912,53.4
202001,53.3
202002,54.2
202003,54.2
202004,54.1
202005,54.5
202006,54.4
202007,54.6
202008,54.8
202009,55.4
202010,56.1
202011,55.8
202012,55.9
202101,55.9
202102,55.7
202103,55.7
202104,55.9
202105,56
202106,56.4
202107,56.8
202108,56.7
202109,56.5
202110,55.7
202111,56
202112,55.8
202201,55.9
202202,56.1
202203,56.5
202204,56.1
202205,55.8
202206,55.4
202207,55.1
202208,55.1
202209,55.2
202210,55.8
202211,55.1
202212,55.1
202301,54.6
202302,54.1
202303,53.3
202304,53.3
202305,53.3
202306,53.1
202307,53.2
202308,53
202309,52.5
202310,52.2
202311,52.7
202312,53.1
202401,53.4
202402,53.7
202403,54.1
202404,54.2
202405,54.3
202406,54.9
202407,55.2
202408,55.2
202409,55.6
202410,55.8
202411,55.4
202412,55.4
202501,55.5
202502,55.6
202503,55.7
202504,55.8
