#  Plumas County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,47.2
200002,47.5
200003,47.7
200004,48.2
200005,48.3
200006,48.6
200007,48.5
200008,48.8
200009,48.5
200010,48.1
200011,47.6
200012,47.7
200101,47.4
200102,47
200103,47.2
200104,46.7
200105,47.3
200106,47.1
200107,47.4
200108,47.5
200109,47.8
200110,48.3
200111,48.7
200112,48.5
200201,48.4
200202,48.9
200203,48.5
200204,48.9
200205,48.2
200206,48.3
200207,48.6
200208,48.5
200209,48.4
200210,48
200211,48
200212,48.2
200301,48.8
200302,48.7
200303,49
200304,48.3
200305,48.4
200306,48.5
200307,48.6
200308,48.5
200309,48.7
200310,49
200311,48.7
200312,48.6
200401,48
200402,47.9
200403,48.3
200404,49
200405,49
200406,48.8
200407,48.6
200408,48.8
200409,48.5
200410,47.9
200411,48.1
200412,48.1
200501,48
200502,48.2
200503,47.9
200504,47.5
200505,47.5
200506,47
200507,47.2
200508,47.2
200509,47
200510,47.2
200511,47.5
200512,47.6
200601,47.9
200602,47.8
200603,47.1
200604,47.1
200605,47.4
200606,48
200607,48
200608,47.8
200609,48.1
200610,48
200611,47.8
200612,47.6
200701,47.4
200702,47.4
200703,48.3
200704,48.6
200705,48.5
200706,48.3
200707,48.2
200708,48.3
200709,48.1
200710,48
200711,48.2
200712,48
200801,47.8
200802,47.6
200803,47.2
200804,46.9
200805,46.8
200806,46.7
200807,46.7
200808,46.8
200809,47.2
200810,47.5
200811,47.6
200812,47.6
200901,48.1
200902,48.2
200903,48.1
200904,48.3
200905,48.6
200906,48.4
200907,48.5
200908,48.3
200909,48.4
200910,48.2
200911,48
200912,47.8
201001,47.8
201002,48
201003,48.1
201004,47.7
201005,46.8
201006,46.9
201007,46.9
201008,46.7
201009,46.4
201010,46.7
201011,46.5
201012,46.9
201101,46.9
201102,46.5
201103,46.3
201104,46.4
201105,46.5
201106,46.3
201107,46.1
201108,46.2
201109,46.4
201110,46.4
201111,46.3
201112,46.3
201201,46.4
201202,46.6
201203,46.8
201204,47
201205,47.6
201206,47.7
201207,47.8
201208,48.1
201209,48.2
201210,48.3
201211,48.6
201212,48.5
201301,47.9
201302,47.8
201303,48.3
201304,48.5
201305,48.5
201306,48.8
201307,49.2
201308,48.9
201309,48.4
201310,48
201311,48.1
201312,47.9
201401,48.7
201402,49
201403,48.9
201404,48.8
201405,48.9
201406,48.8
201407,49
201408,49.1
201409,49.3
201410,49.7
201411,49.7
201412,50.3
201501,50.3
201502,50.6
201503,51
201504,50.9
201505,50.8
201506,51.1
201507,50.8
201508,50.8
201509,50.8
201510,50.9
201511,50.4
201512,50
201601,49.6
201602,49.4
201603,49
201604,49.2
201605,49.2
201606,48.9
201607,48.9
201608,49
201609,48.9
201610,48.4
201611,48.9
201612,48.9
201701,48.6
201702,48.2
201703,48.2
201704,47.8
201705,47.9
201706,48
201707,48.2
201708,48.4
201709,48.4
201710,48.5
201711,48.5
201712,48.7
201801,49.3
201802,49.2
201803,48.8
201804,49
201805,48.9
201806,48.8
201807,48.9
201808,48.6
201809,48.6
201810,48.7
201811,48.6
201812,48.6
201901,48.5
201902,48.1
201903,48.1
201904,48.3
201905,47.9
201906,48
201907,47.5
201908,47.5
201909,47.3
201910,47
201911,47.1
201912,47.1
202001,47
202002,47.8
202003,47.8
202004,47.8
202005,48
202006,48
202007,48.1
202008,48.4
202009,48.9
202010,49.7
202011,49.4
202012,49.4
202101,49.3
202102,49.1
202103,49.1
202104,49.2
202105,49.2
202106,49.7
202107,50
202108,49.9
202109,49.8
202110,49.1
202111,49.5
202112,49.4
202201,49.3
202202,49.4
202203,49.8
202204,49.5
202205,49.2
202206,48.7
202207,48.5
202208,48.6
202209,48.7
202210,49.2
202211,48.5
202212,48.3
202301,48
202302,47.6
202303,46.6
202304,46.6
202305,46.8
202306,46.8
202307,46.8
202308,46.6
202309,46.2
202310,45.9
202311,46.4
202312,47
202401,47.4
202402,47.7
202403,48.2
202404,48.4
202405,48.4
202406,48.8
202407,49.1
202408,49.1
202409,49.5
202410,49.7
202411,49.4
202412,49.4
202501,49.3
202502,49.4
202503,49.6
202504,49.6
