#  Riverside County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,68
200002,68
200003,68.1
200004,68.9
200005,69.3
200006,69.7
200007,69.7
200008,69.9
200009,69.8
200010,69.3
200011,68.6
200012,68.7
200101,68.3
200102,67.9
200103,68.1
200104,67.6
200105,67.7
200106,67.8
200107,67.7
200108,67.7
200109,68
200110,68.4
200111,69
200112,68.6
200201,68.7
200202,69.2
200203,68.9
200204,69.2
200205,68.7
200206,68.6
200207,68.9
200208,68.8
200209,68.7
200210,68.2
200211,68.2
200212,68.3
200301,69
200302,68.8
200303,69
200304,68.6
200305,68.7
200306,68.5
200307,68.6
200308,68.8
200309,68.9
200310,69.7
200311,69.2
200312,69.2
200401,68.7
200402,68.5
200403,69
200404,69.5
200405,69.6
200406,69.6
200407,69.4
200408,69.2
200409,68.9
200410,68.1
200411,68.1
200412,68.2
200501,68.2
200502,68.4
200503,67.7
200504,67.5
200505,67.4
200506,67.3
200507,67.4
200508,67.5
200509,67.4
200510,67.6
200511,68.1
200512,68.2
200601,68.2
200602,68.5
200603,68
200604,68
200605,68.1
200606,68.6
200607,68.8
200608,68.7
200609,68.9
200610,68.8
200611,68.8
200612,68.6
200701,68.3
200702,68.2
200703,69
200704,69.3
200705,69.2
200706,68.9
200707,68.7
200708,68.9
200709,68.8
200710,69
200711,69
200712,68.8
200801,68.9
200802,68.7
200803,68.6
200804,68.5
200805,68.2
200806,68.4
200807,68.4
200808,68.3
200809,68.6
200810,68.8
200811,68.9
200812,69
200901,69.6
200902,69.5
200903,69.4
200904,69.3
200905,69.9
200906,69.4
200907,69.5
200908,69.5
200909,69.5
200910,69.1
200911,68.9
200912,68.8
201001,68.6
201002,68.7
201003,68.6
201004,68.3
201005,67.6
201006,67.8
201007,67.6
201008,67.5
201009,67.4
201010,67.5
201011,67.3
201012,67.6
201101,67.7
201102,67.4
201103,67.5
201104,67.8
201105,67.8
201106,67.7
201107,67.6
201108,67.8
201109,67.9
201110,68
201111,67.9
201112,67.5
201201,67.6
201202,68
201203,67.9
201204,68
201205,68.5
201206,68.8
201207,68.8
201208,68.8
201209,69
201210,69
201211,69.5
201212,69.7
201301,69.3
201302,69.1
201303,69.6
201304,69.7
201305,69.6
201306,69.7
201307,69.9
201308,69.7
201309,69.4
201310,69
201311,68.8
201312,68.9
201401,69.5
201402,70.1
201403,70
201404,70
201405,70
201406,69.8
201407,69.9
201408,69.8
201409,70
201410,70.6
201411,70.7
201412,70.8
201501,70.5
201502,70.7
201503,71
201504,70.9
201505,70.4
201506,70.6
201507,70.2
201508,70.6
201509,70.6
201510,70.6
201511,70.2
201512,70
201601,69.7
201602,69.7
201603,69.4
201604,69.4
201605,69.6
201606,69.7
201607,70.1
201608,70
201609,69.6
201610,69.5
201611,69.9
201612,70.1
201701,70
201702,69.7
201703,69.8
201704,69.9
201705,70.1
201706,70
201707,70.1
201708,70.2
201709,70.2
201710,70.2
201711,70.4
201712,70.7
201801,71.3
201802,71.1
201803,70.7
201804,70.8
201805,70.8
201806,70.6
201807,70.7
201808,70.8
201809,71.1
201810,70.9
201811,70.6
201812,70.2
201901,69.8
201902,69.2
201903,69.2
201904,69
201905,68.6
201906,68.5
201907,68.2
201908,68.2
201909,67.9
201910,67.8
201911,67.8
201912,67.6
202001,67.7
202002,68.4
202003,68.2
202004,68
202005,68.8
202006,68.8
202007,68.9
202008,69.1
202009,69.5
202010,70.1
202011,70.1
202012,70.2
202101,70.2
202102,70.2
202103,70.2
202104,70.5
202105,70.2
202106,70.7
202107,70.9
202108,70.6
202109,70.4
202110,69.7
202111,70.1
202112,70.1
202201,70.2
202202,70.1
202203,70.6
202204,70.6
202205,70.6
202206,70.5
202207,70.5
202208,70.6
202209,70.7
202210,71.2
202211,70.4
202212,70.4
202301,70.1
202302,69.7
202303,69
202304,68.9
202305,68.6
202306,67.9
202307,68.1
202308,67.9
202309,67.5
202310,67.4
202311,67.8
202312,68.1
202401,68.2
202402,68.5
202403,68.7
202404,68.6
202405,68.7
202406,69.4
202407,69.5
202408,69.6
202409,70
202410,70.2
202411,70
202412,70.2
202501,70.2
202502,70.6
202503,70.8
202504,70.9
