#  San Benito County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,57.8
200002,58
200003,58.3
200004,58.8
200005,59.2
200006,59.5
200007,59.4
200008,59.6
200009,59.6
200010,59
200011,58.6
200012,58.7
200101,58.4
200102,58.2
200103,58.4
200104,57.9
200105,58.3
200106,58.4
200107,58.5
200108,58.5
200109,58.6
200110,59
200111,59.5
200112,59.3
200201,59.2
200202,59.6
200203,59.4
200204,59.7
200205,59.1
200206,58.9
200207,59.1
200208,59.1
200209,59.2
200210,58.9
200211,59
200212,59
200301,59.8
200302,59.5
200303,59.7
200304,59.3
200305,59.3
200306,59.4
200307,59.5
200308,59.6
200309,59.7
200310,60.1
200311,59.6
200312,59.6
200401,59
200402,59
200403,59.4
200404,60
200405,60.1
200406,60
200407,59.8
200408,59.8
200409,59.7
200410,59.1
200411,59.1
200412,59.2
200501,59.3
200502,59.6
200503,59.2
200504,58.8
200505,58.7
200506,58.5
200507,58.7
200508,58.8
200509,58.5
200510,58.6
200511,59.1
200512,59.2
200601,59.2
200602,59.2
200603,58.5
200604,58.4
200605,58.5
200606,59
200607,59.1
200608,58.9
200609,59.1
200610,59.1
200611,58.9
200612,58.7
200701,58.4
200702,58.2
200703,59.1
200704,59.4
200705,59.4
200706,59.2
200707,58.8
200708,59
200709,58.8
200710,58.7
200711,58.9
200712,58.7
200801,58.7
200802,58.7
200803,58.4
200804,58.2
200805,58.1
200806,58.2
200807,58.2
200808,58.2
200809,58.6
200810,59
200811,59
200812,59.1
200901,59.5
200902,59.4
200903,59.4
200904,59.4
200905,59.8
200906,59.5
200907,59.5
200908,59.5
200909,59.6
200910,59.3
200911,59
200912,59.1
201001,59
201002,59.1
201003,59.1
201004,58.8
201005,58.1
201006,58.2
201007,58.1
201008,57.9
201009,57.7
201010,57.8
201011,57.7
201012,57.9
201101,57.9
201102,57.6
201103,57.6
201104,57.8
201105,57.9
201106,57.7
201107,57.7
201108,57.8
201109,57.8
201110,57.9
201111,57.9
201112,57.6
201201,57.7
201202,58
201203,58
201204,58.2
201205,58.6
201206,58.7
201207,58.7
201208,59
201209,59.1
201210,59.1
201211,59.5
201212,59.5
201301,59.1
201302,59
201303,59.4
201304,59.7
201305,59.7
201306,60
201307,60.3
201308,60
201309,59.8
201310,59.5
201311,59.5
201312,59.7
201401,60.5
201402,60.8
201403,60.9
201404,60.8
201405,61
201406,61
201407,61.1
201408,61.2
201409,61.4
201410,61.9
201411,61.9
201412,62.2
201501,61.9
201502,62.2
201503,62.5
201504,62.4
201505,61.9
201506,62.1
201507,61.9
201508,61.9
201509,62
201510,62
201511,61.5
201512,61.1
201601,60.7
201602,60.7
201603,60.3
201604,60.3
201605,60.5
201606,60.6
201607,60.6
201608,60.6
201609,60.3
201610,59.8
201611,60.2
201612,60.4
201701,60.2
201702,59.7
201703,59.8
201704,59.6
201705,59.6
201706,59.5
201707,59.7
201708,59.9
201709,60
201710,60.3
201711,60.3
201712,60.7
201801,61.2
201802,61.2
201803,60.9
201804,61
201805,60.8
201806,60.7
201807,60.8
201808,60.6
201809,60.5
201810,60.5
201811,60.6
201812,60.3
201901,60.1
201902,59.6
201903,59.5
201904,59.7
201905,59.5
201906,59.6
201907,59.2
201908,59.3
201909,59.3
201910,59.2
201911,59.1
201912,59.1
202001,59
202002,59.7
202003,59.6
202004,59.4
202005,59.9
202006,59.8
202007,59.9
202008,60
202009,60.4
202010,60.9
202011,60.7
202012,60.7
202101,60.8
202102,60.6
202103,60.7
202104,60.7
202105,60.7
202106,60.9
202107,61.1
202108,61
202109,60.9
202110,60.2
202111,60.5
202112,60.3
202201,60.4
202202,60.4
202203,60.7
202204,60.5
202205,60.3
202206,60.3
202207,60.1
202208,60.1
202209,60.3
202210,60.5
202211,60
202212,60
202301,59.7
202302,59.3
202303,58.8
202304,58.8
202305,58.6
202306,58
202307,58.2
202308,58.1
202309,57.5
202310,57.6
202311,58
202312,58.3
202401,58.6
202402,58.9
202403,59.2
202404,59.2
202405,59.4
202406,60
202407,60.2
202408,60.2
202409,60.6
202410,60.9
202411,60.6
202412,60.7
202501,60.6
202502,60.8
202503,60.8
202504,60.9
