#  San Bernardino County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,66.3
200002,66.3
200003,66.4
200004,67.2
200005,67.7
200006,68
200007,68.2
200008,68.3
200009,68.3
200010,67.8
200011,67.1
200012,67.2
200101,66.8
200102,66.4
200103,66.6
200104,66
200105,66.2
200106,66.2
200107,66.1
200108,66.3
200109,66.5
200110,67
200111,67.6
200112,67.2
200201,67.3
200202,67.8
200203,67.5
200204,67.8
200205,67.3
200206,67.3
200207,67.6
200208,67.5
200209,67.3
200210,66.9
200211,66.8
200212,67
200301,67.6
200302,67.4
200303,67.6
200304,67
200305,67.1
200306,67
200307,67.1
200308,67.1
200309,67.3
200310,68
200311,67.5
200312,67.6
200401,67
200402,66.7
200403,67.3
200404,67.8
200405,67.9
200406,67.8
200407,67.6
200408,67.5
200409,67.1
200410,66.3
200411,66.3
200412,66.4
200501,66.5
200502,66.7
200503,66
200504,65.7
200505,65.6
200506,65.3
200507,65.5
200508,65.5
200509,65.4
200510,65.6
200511,66.2
200512,66.3
200601,66.3
200602,66.6
200603,66.2
200604,66.2
200605,66.5
200606,67
200607,67.1
200608,67.1
200609,67.2
200610,67.1
200611,67.1
200612,66.9
200701,66.6
200702,66.5
200703,67.4
200704,67.7
200705,67.6
200706,67.4
200707,67.3
200708,67.5
200709,67.5
200710,67.5
200711,67.6
200712,67.4
200801,67.4
200802,67.3
200803,67
200804,66.8
200805,66.4
200806,66.5
200807,66.4
200808,66.3
200809,66.7
200810,66.9
200811,66.9
200812,67
200901,67.5
200902,67.4
200903,67.3
200904,67.1
200905,67.9
200906,67.3
200907,67.5
200908,67.3
200909,67.4
200910,67
200911,66.8
200912,66.8
201001,66.5
201002,66.6
201003,66.5
201004,66.3
201005,65.3
201006,65.7
201007,65.6
201008,65.5
201009,65.4
201010,65.6
201011,65.3
201012,65.7
201101,65.8
201102,65.5
201103,65.7
201104,66
201105,66
201106,65.9
201107,65.6
201108,65.8
201109,65.8
201110,66
201111,65.9
201112,65.5
201201,65.7
201202,66
201203,66
201204,66.2
201205,66.9
201206,67.2
201207,67.1
201208,67.2
201209,67.3
201210,67.4
201211,67.9
201212,68
201301,67.6
201302,67.4
201303,67.8
201304,67.9
201305,67.7
201306,67.9
201307,68.2
201308,67.9
201309,67.6
201310,67.1
201311,66.9
201312,67
201401,67.7
201402,68.3
201403,68.2
201404,68.1
201405,68.2
201406,68
201407,68
201408,67.9
201409,68.1
201410,68.8
201411,69
201412,69
201501,68.8
201502,69
201503,69.3
201504,69.2
201505,68.8
201506,68.9
201507,68.5
201508,68.9
201509,68.9
201510,68.9
201511,68.4
201512,68.1
201601,67.8
201602,67.6
201603,67.4
201604,67.4
201605,67.5
201606,67.6
201607,68.1
201608,68
201609,67.6
201610,67.5
201611,67.9
201612,68.1
201701,68
201702,67.7
201703,67.8
201704,67.9
201705,68
201706,67.9
201707,68
201708,68
201709,68
201710,68
201711,68.3
201712,68.7
201801,69.3
201802,69.2
201803,68.7
201804,68.9
201805,69
201806,68.8
201807,68.8
201808,68.9
201809,69.4
201810,69.1
201811,68.8
201812,68.4
201901,68
201902,67.4
201903,67.3
201904,67.2
201905,66.6
201906,66.5
201907,66.2
201908,66.2
201909,65.8
201910,65.7
201911,65.7
201912,65.5
202001,65.6
202002,66.3
202003,66.2
202004,66
202005,66.8
202006,66.7
202007,66.7
202008,66.9
202009,67.3
202010,68
202011,68
202012,68.2
202101,68.1
202102,68
202103,68.1
202104,68.4
202105,68.3
202106,68.8
202107,69
202108,68.9
202109,68.8
202110,68.1
202111,68.5
202112,68.5
202201,68.5
202202,68.4
202203,68.8
202204,68.7
202205,68.7
202206,68.4
202207,68.3
202208,68.4
202209,68.5
202210,69
202211,68.1
202212,68
202301,67.7
202302,67.4
202303,66.7
202304,66.5
202305,66.3
202306,65.7
202307,65.9
202308,65.7
202309,65.2
202310,65.1
202311,65.5
202312,65.8
202401,66
202402,66.3
202403,66.6
202404,66.5
202405,66.6
202406,67.4
202407,67.6
202408,67.7
202409,68.1
202410,68.5
202411,68.3
202412,68.5
202501,68.4
202502,68.8
202503,69
202504,69.1
