#  San Diego County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,62.2
200002,62.3
200003,62.5
200004,63.1
200005,63.5
200006,63.8
200007,63.9
200008,64.1
200009,64.1
200010,63.5
200011,63
200012,63.1
200101,62.7
200102,62.4
200103,62.5
200104,62
200105,62.1
200106,62.2
200107,62.1
200108,62.1
200109,62.2
200110,62.6
200111,63
200112,62.6
200201,62.8
200202,63.2
200203,63
200204,63.2
200205,62.8
200206,62.6
200207,62.8
200208,62.7
200209,62.7
200210,62.3
200211,62.4
200212,62.5
200301,63.1
200302,62.9
200303,63.1
200304,62.8
200305,62.9
200306,62.7
200307,62.8
200308,63.1
200309,63.1
200310,63.8
200311,63.4
200312,63.5
200401,62.9
200402,62.7
200403,63.2
200404,63.6
200405,63.9
200406,63.9
200407,63.8
200408,63.5
200409,63.4
200410,62.7
200411,62.6
200412,62.6
200501,62.7
200502,62.9
200503,62.4
200504,62.1
200505,62.1
200506,61.9
200507,62.1
200508,62.2
200509,62
200510,62.1
200511,62.7
200512,62.9
200601,62.9
200602,63.1
200603,62.7
200604,62.6
200605,62.7
200606,63.2
200607,63.5
200608,63.5
200609,63.6
200610,63.6
200611,63.6
200612,63.5
200701,63.1
200702,63
200703,63.7
200704,63.9
200705,63.8
200706,63.5
200707,63.1
200708,63.4
200709,63.3
200710,63.4
200711,63.4
200712,63.1
200801,63.2
200802,63.2
200803,63
200804,63.1
200805,62.8
200806,63.1
200807,63
200808,62.9
200809,63.2
200810,63.4
200811,63.6
200812,63.7
200901,64.2
200902,64.2
200903,64.1
200904,63.9
200905,64.4
200906,64
200907,64.1
200908,64.1
200909,64.2
200910,63.8
200911,63.5
200912,63.5
201001,63.3
201002,63.3
201003,63.3
201004,63.1
201005,62.4
201006,62.5
201007,62.2
201008,62.1
201009,61.9
201010,61.9
201011,61.6
201012,61.8
201101,61.9
201102,61.7
201103,61.7
201104,62
201105,62
201106,62
201107,62
201108,62.1
201109,62.2
201110,62.3
201111,62.4
201112,62
201201,62.2
201202,62.4
201203,62.3
201204,62.4
201205,62.7
201206,62.9
201207,62.9
201208,63.1
201209,63.4
201210,63.5
201211,63.8
201212,63.9
201301,63.5
201302,63.4
201303,63.7
201304,63.8
201305,63.8
201306,64.1
201307,64.3
201308,64
201309,63.8
201310,63.4
201311,63.3
201312,63.4
201401,64.1
201402,64.6
201403,64.6
201404,64.7
201405,64.8
201406,64.7
201407,64.7
201408,64.7
201409,65
201410,65.6
201411,65.8
201412,65.9
201501,65.6
201502,65.8
201503,66.1
201504,66.1
201505,65.6
201506,65.7
201507,65.4
201508,65.6
201509,65.6
201510,65.6
201511,65.2
201512,64.9
201601,64.6
201602,64.7
201603,64.3
201604,64.3
201605,64.4
201606,64.5
201607,64.8
201608,64.7
201609,64.4
201610,64.2
201611,64.6
201612,64.8
201701,64.7
201702,64.3
201703,64.4
201704,64.5
201705,64.7
201706,64.6
201707,64.7
201708,64.7
201709,64.7
201710,64.8
201711,64.9
201712,65.2
201801,65.8
201802,65.7
201803,65.3
201804,65.3
201805,65.3
201806,65.1
201807,65.2
201808,65.3
201809,65.6
201810,65.3
201811,65.1
201812,64.8
201901,64.3
201902,63.8
201903,63.8
201904,63.7
201905,63.4
201906,63.2
201907,62.9
201908,62.8
201909,62.6
201910,62.6
201911,62.6
201912,62.4
202001,62.5
202002,63.1
202003,62.9
202004,62.8
202005,63.5
202006,63.5
202007,63.5
202008,63.7
202009,64.1
202010,64.6
202011,64.5
202012,64.7
202101,64.6
202102,64.6
202103,64.6
202104,64.7
202105,64.5
202106,64.8
202107,65
202108,64.8
202109,64.6
202110,64
202111,64.3
202112,64.2
202201,64.3
202202,64.2
202203,64.6
202204,64.6
202205,64.6
202206,64.5
202207,64.4
202208,64.5
202209,64.7
202210,65
202211,64.3
202212,64.3
202301,63.9
202302,63.5
202303,62.9
202304,62.8
202305,62.6
202306,61.9
202307,62.1
202308,61.8
202309,61.4
202310,61.4
202311,61.7
202312,62.1
202401,62.3
202402,62.6
202403,62.8
202404,62.7
202405,62.8
202406,63.4
202407,63.5
202408,63.6
202409,63.9
202410,64.1
202411,63.9
202412,64
202501,63.9
202502,64.3
202503,64.5
202504,64.5
