#  San Francisco County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,55.9
200002,56.2
200003,56.5
200004,56.7
200005,57.1
200006,57.3
200007,57.2
200008,57.2
200009,57.4
200010,57.2
200011,56.9
200012,56.9
200101,56.7
200102,56.5
200103,56.6
200104,56.2
200105,56.4
200106,56.5
200107,56.6
200108,56.7
200109,56.4
200110,56.6
200111,56.9
200112,56.9
200201,56.8
200202,57.1
200203,56.9
200204,57.1
200205,56.7
200206,56.5
200207,56.5
200208,56.5
200209,56.7
200210,56.5
200211,56.6
200212,56.7
200301,57.2
200302,57.1
200303,57.3
200304,57.2
200305,57.3
200306,57.4
200307,57.5
200308,57.7
200309,57.9
200310,58.1
200311,57.8
200312,57.7
200401,57.3
200402,57.2
200403,57.5
200404,57.9
200405,58
200406,57.9
200407,58
200408,57.9
200409,57.9
200410,57.7
200411,57.7
200412,57.7
200501,57.7
200502,57.9
200503,57.7
200504,57.4
200505,57.5
200506,57.4
200507,57.5
200508,57.3
200509,56.9
200510,56.9
200511,57.2
200512,57.3
200601,57.5
200602,57.4
200603,56.8
200604,56.8
200605,56.7
200606,56.9
200607,57
200608,57
200609,57.1
200610,57.1
200611,56.9
200612,56.7
200701,56.5
200702,56.4
200703,56.9
200704,56.9
200705,56.8
200706,56.6
200707,56.5
200708,56.6
200709,56.8
200710,56.7
200711,56.8
200712,56.7
200801,56.6
200802,56.6
200803,56.4
200804,56.3
200805,56.3
200806,56.3
200807,56.2
200808,56.2
200809,56.3
200810,56.5
200811,56.6
200812,56.6
200901,57
200902,57
200903,57
200904,57.1
200905,57.1
200906,57.1
200907,57
200908,57.1
200909,57.1
200910,56.9
200911,56.7
200912,56.7
201001,56.6
201002,56.7
201003,56.8
201004,56.7
201005,56.5
201006,56.4
201007,56.4
201008,56.1
201009,56.1
201010,56.1
201011,56.1
201012,56.3
201101,56.3
201102,56.2
201103,56.1
201104,56.2
201105,56.2
201106,56.1
201107,56.2
201108,56.2
201109,56.2
201110,56.4
201111,56.3
201112,56.1
201201,56.2
201202,56.3
201203,56.2
201204,56.3
201205,56.5
201206,56.6
201207,56.6
201208,56.6
201209,56.3
201210,56.3
201211,56.5
201212,56.5
201301,56.3
201302,56.2
201303,56.3
201304,56.5
201305,56.6
201306,56.8
201307,56.8
201308,57
201309,57.3
201310,57.2
201311,57.1
201312,57.1
201401,57.7
201402,57.9
201403,58.2
201404,58.2
201405,58.4
201406,58.3
201407,58.6
201408,58.7
201409,58.9
201410,59.2
201411,59.4
201412,59.9
201501,59.8
201502,60.2
201503,60.3
201504,60.2
201505,59.7
201506,59.8
201507,59.8
201508,60
201509,60.1
201510,60.2
201511,59.8
201512,59.4
201601,59.2
201602,59.1
201603,58.9
201604,59.1
201605,59.3
201606,59.3
201607,59
201608,58.6
201609,58.3
201610,58
201611,58.3
201612,58.3
201701,58
201702,57.7
201703,57.7
201704,57.6
201705,57.5
201706,57.5
201707,57.6
201708,57.8
201709,58.2
201710,58.3
201711,58.3
201712,58.5
201801,58.8
201802,58.9
201803,58.7
201804,58.6
201805,58.5
201806,58.5
201807,58.5
201808,58.3
201809,57.7
201810,57.6
201811,57.7
201812,57.6
201901,57.7
201902,57.2
201903,57.2
201904,57.4
201905,57.3
201906,57.5
201907,57.5
201908,57.8
201909,58.2
201910,58.2
201911,58.1
201912,58
202001,57.9
202002,58.5
202003,58.4
202004,58.4
202005,58.7
202006,58.8
202007,58.7
202008,58.8
202009,58.9
202010,59.3
202011,59.2
202012,59.2
202101,59.3
202102,59.1
202103,59
202104,58.9
202105,58.6
202106,58.4
202107,58.4
202108,58.1
202109,57.8
202110,57.2
202111,57.4
202112,57.2
202201,57.2
202202,57.2
202203,57.3
202204,57.3
202205,57.4
202206,57.4
202207,57.4
202208,57.5
202209,57.8
202210,57.7
202211,57.3
202212,57.3
202301,57.2
202302,56.8
202303,56.4
202304,56.3
202305,56.2
202306,55.9
202307,55.9
202308,56
202309,55.7
202310,56
202311,56.4
202312,56.8
202401,57
202402,57.3
202403,57.7
202404,57.8
202405,58
202406,58.2
202407,58.5
202408,58.4
202409,58.5
202410,58.6
202411,58.4
202412,58.4
202501,58.3
202502,58.2
202503,58.2
202504,58.2
