#  Santa Barbara County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,57.3
200002,57.5
200003,57.8
200004,58.2
200005,58.5
200006,58.9
200007,58.9
200008,59.1
200009,59.2
200010,58.8
200011,58.4
200012,58.5
200101,58.2
200102,57.9
200103,58.1
200104,57.7
200105,57.8
200106,57.8
200107,57.9
200108,57.8
200109,57.8
200110,58
200111,58.4
200112,58.1
200201,58.1
200202,58.4
200203,58.2
200204,58.5
200205,58.1
200206,57.9
200207,58
200208,57.9
200209,58
200210,57.7
200211,57.8
200212,57.9
200301,58.5
200302,58.3
200303,58.5
200304,58.3
200305,58.4
200306,58.4
200307,58.5
200308,58.7
200309,58.8
200310,59.2
200311,58.8
200312,58.8
200401,58.3
200402,58.1
200403,58.5
200404,58.9
200405,59
200406,59
200407,58.9
200408,58.8
200409,58.8
200410,58.3
200411,58.3
200412,58.3
200501,58.5
200502,58.8
200503,58.5
200504,58.2
200505,58.1
200506,58
200507,58.1
200508,58.2
200509,57.9
200510,58
200511,58.5
200512,58.6
200601,58.6
200602,58.6
200603,58
200604,58
200605,58
200606,58.4
200607,58.6
200608,58.5
200609,58.7
200610,58.7
200611,58.6
200612,58.4
200701,58.2
200702,58.1
200703,58.9
200704,59.1
200705,59
200706,58.8
200707,58.5
200708,58.5
200709,58.4
200710,58.5
200711,58.5
200712,58.2
200801,58.3
200802,58.3
200803,58.1
200804,58
200805,57.9
200806,58.1
200807,58.1
200808,58.2
200809,58.4
200810,58.6
200811,58.8
200812,58.9
200901,59.3
200902,59.3
200903,59.1
200904,59
200905,59.3
200906,59.2
200907,59.2
200908,59
200909,59.1
200910,58.8
200911,58.5
200912,58.5
201001,58.4
201002,58.5
201003,58.5
201004,58.4
201005,58
201006,57.9
201007,57.7
201008,57.6
201009,57.4
201010,57.4
201011,57.3
201012,57.5
201101,57.6
201102,57.3
201103,57.3
201104,57.5
201105,57.5
201106,57.4
201107,57.6
201108,57.7
201109,57.8
201110,57.9
201111,57.9
201112,57.6
201201,57.6
201202,58
201203,57.9
201204,57.9
201205,58.2
201206,58.3
201207,58.2
201208,58.4
201209,58.6
201210,58.6
201211,58.9
201212,59
201301,58.6
201302,58.5
201303,58.7
201304,58.9
201305,59
201306,59.2
201307,59.4
201308,59.2
201309,59.1
201310,58.8
201311,58.8
201312,59
201401,59.6
201402,60
201403,60.2
201404,60.2
201405,60.4
201406,60.4
201407,60.5
201408,60.7
201409,60.9
201410,61.4
201411,61.7
201412,61.8
201501,61.7
201502,61.9
201503,62.1
201504,62.1
201505,61.6
201506,61.7
201507,61.6
201508,61.7
201509,61.8
201510,62
201511,61.5
201512,61.2
201601,60.9
201602,61
201603,60.6
201604,60.7
201605,60.9
201606,61
201607,61
201608,60.8
201609,60.4
201610,60
201611,60.3
201612,60.4
201701,60.2
201702,59.7
201703,59.8
201704,59.7
201705,59.7
201706,59.7
201707,59.8
201708,60
201709,60.1
201710,60.3
201711,60.4
201712,60.7
201801,61.2
201802,61.2
201803,60.9
201804,60.8
201805,60.7
201806,60.6
201807,60.7
201808,60.7
201809,60.6
201810,60.5
201811,60.5
201812,60.2
201901,59.9
201902,59.5
201903,59.5
201904,59.6
201905,59.4
201906,59.4
201907,59
201908,58.9
201909,58.9
201910,58.8
201911,58.6
201912,58.6
202001,58.5
202002,59.1
202003,59
202004,58.9
202005,59.3
202006,59.3
202007,59.3
202008,59.5
202009,59.7
202010,60.2
202011,60.1
202012,60.2
202101,60.3
202102,60.2
202103,60.2
202104,60.3
202105,60.1
202106,60.2
202107,60.5
202108,60.3
202109,60.1
202110,59.6
202111,59.9
202112,59.6
202201,59.6
202202,59.6
202203,60
202204,60
202205,59.9
202206,59.9
202207,59.7
202208,59.8
202209,60.1
202210,60.3
202211,59.6
202212,59.7
202301,59.4
202302,59.1
202303,58.5
202304,58.3
202305,58.2
202306,57.7
202307,57.8
202308,57.7
202309,57.2
202310,57.3
202311,57.7
202312,58.1
202401,58.3
202402,58.6
202403,58.8
202404,58.8
202405,58.8
202406,59.3
202407,59.4
202408,59.4
202409,59.6
202410,59.9
202411,59.6
202412,59.6
202501,59.6
202502,59.8
202503,59.8
202504,60
