#  Santa Clara County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,57.4
200002,57.7
200003,58
200004,58.3
200005,58.6
200006,59
200007,58.9
200008,59
200009,59
200010,58.7
200011,58.2
200012,58.2
200101,58
200102,57.7
200103,57.9
200104,57.5
200105,57.9
200106,57.9
200107,58
200108,58
200109,58
200110,58.3
200111,58.7
200112,58.6
200201,58.6
200202,58.9
200203,58.6
200204,58.9
200205,58.3
200206,58.1
200207,58.2
200208,58.2
200209,58.3
200210,58.1
200211,58.1
200212,58.2
200301,58.8
200302,58.6
200303,58.8
200304,58.5
200305,58.6
200306,58.6
200307,58.8
200308,58.9
200309,59
200310,59.3
200311,58.9
200312,58.9
200401,58.5
200402,58.4
200403,58.8
200404,59.4
200405,59.5
200406,59.4
200407,59.2
200408,59.2
200409,59.1
200410,58.6
200411,58.7
200412,58.7
200501,58.8
200502,59
200503,58.7
200504,58.4
200505,58.3
200506,58.2
200507,58.4
200508,58.5
200509,58.1
200510,58.2
200511,58.6
200512,58.7
200601,58.8
200602,58.7
200603,58.1
200604,58.1
200605,58.2
200606,58.6
200607,58.7
200608,58.5
200609,58.7
200610,58.7
200611,58.4
200612,58.2
200701,58
200702,57.8
200703,58.5
200704,58.7
200705,58.6
200706,58.4
200707,58.1
200708,58.2
200709,58.1
200710,58
200711,58.1
200712,57.9
200801,57.9
200802,57.9
200803,57.5
200804,57.4
200805,57.4
200806,57.5
200807,57.5
200808,57.6
200809,57.9
200810,58.2
200811,58.3
200812,58.3
200901,58.8
200902,58.7
200903,58.7
200904,58.7
200905,58.9
200906,58.8
200907,58.8
200908,58.8
200909,58.9
200910,58.6
200911,58.4
200912,58.4
201001,58.3
201002,58.4
201003,58.5
201004,58.3
201005,57.7
201006,57.7
201007,57.6
201008,57.4
201009,57.2
201010,57.4
201011,57.3
201012,57.5
201101,57.5
201102,57.2
201103,57.2
201104,57.3
201105,57.3
201106,57.1
201107,57.2
201108,57.2
201109,57.3
201110,57.4
201111,57.3
201112,57.2
201201,57.2
201202,57.4
201203,57.4
201204,57.6
201205,57.9
201206,58.1
201207,58.1
201208,58.3
201209,58.3
201210,58.3
201211,58.6
201212,58.6
201301,58.3
201302,58.2
201303,58.6
201304,58.8
201305,58.9
201306,59.1
201307,59.3
201308,59.1
201309,59
201310,58.8
201311,58.8
201312,58.9
201401,59.4
201402,59.8
201403,59.8
201404,59.8
201405,59.9
201406,59.8
201407,59.9
201408,60.1
201409,60.3
201410,60.6
201411,60.7
201412,61
201501,60.9
201502,61.2
201503,61.4
201504,61.3
201505,60.9
201506,61.1
201507,61
201508,61.1
201509,61.2
201510,61.3
201511,60.8
201512,60.4
201601,60.2
201602,60.2
201603,59.8
201604,59.9
201605,60.2
201606,60.2
201607,60.1
201608,60
201609,59.8
201610,59.3
201611,59.7
201612,59.9
201701,59.6
201702,59.1
201703,59.2
201704,58.9
201705,59
201706,58.9
201707,59.1
201708,59.2
201709,59.4
201710,59.6
201711,59.6
201712,59.8
201801,60.3
201802,60.3
201803,60
201804,60
201805,59.9
201806,59.8
201807,59.9
201808,59.7
201809,59.5
201810,59.5
201811,59.6
201812,59.5
201901,59.4
201902,58.9
201903,58.9
201904,59.2
201905,59
201906,59.1
201907,58.8
201908,58.9
201909,59
201910,58.9
201911,58.9
201912,58.9
202001,58.7
202002,59.4
202003,59.3
202004,59.1
202005,59.6
202006,59.5
202007,59.6
202008,59.8
202009,60
202010,60.6
202011,60.4
202012,60.5
202101,60.6
202102,60.3
202103,60.3
202104,60.3
202105,60.1
202106,60.2
202107,60.3
202108,60.1
202109,59.9
202110,59.3
202111,59.6
202112,59.4
202201,59.5
202202,59.5
202203,59.9
202204,59.8
202205,59.7
202206,59.7
202207,59.5
202208,59.6
202209,59.8
202210,60
202211,59.4
202212,59.4
202301,59.1
202302,58.7
202303,58.1
202304,58.1
202305,58
202306,57.6
202307,57.8
202308,57.7
202309,57.2
202310,57.2
202311,57.7
202312,58
202401,58.3
202402,58.7
202403,59.1
202404,59.1
202405,59.3
202406,59.7
202407,59.9
202408,59.9
202409,60.2
202410,60.5
202411,60.2
202412,60.3
202501,60.3
202502,60.4
202503,60.3
202504,60.3
