#  Santa Cruz County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,55.9
200002,56.1
200003,56.5
200004,56.7
200005,57.1
200006,57.4
200007,57.4
200008,57.4
200009,57.5
200010,57.2
200011,56.9
200012,57
200101,56.8
200102,56.6
200103,56.7
200104,56.3
200105,56.5
200106,56.6
200107,56.7
200108,56.7
200109,56.5
200110,56.7
200111,57.1
200112,57
200201,56.9
200202,57.1
200203,56.8
200204,57
200205,56.6
200206,56.4
200207,56.4
200208,56.4
200209,56.6
200210,56.4
200211,56.5
200212,56.6
200301,57.3
200302,57.1
200303,57.3
200304,57.1
200305,57.2
200306,57.3
200307,57.4
200308,57.6
200309,57.7
200310,58
200311,57.7
200312,57.6
200401,57.1
200402,57.1
200403,57.5
200404,57.9
200405,57.9
200406,57.9
200407,57.8
200408,57.8
200409,57.7
200410,57.4
200411,57.4
200412,57.5
200501,57.6
200502,57.8
200503,57.5
200504,57.3
200505,57.3
200506,57.2
200507,57.3
200508,57.2
200509,56.8
200510,56.9
200511,57.1
200512,57.2
200601,57.2
200602,57.1
200603,56.6
200604,56.6
200605,56.5
200606,56.8
200607,57
200608,56.9
200609,57
200610,57
200611,56.9
200612,56.7
200701,56.4
200702,56.3
200703,56.9
200704,57
200705,56.9
200706,56.7
200707,56.5
200708,56.6
200709,56.7
200710,56.6
200711,56.7
200712,56.5
200801,56.5
200802,56.5
200803,56.2
200804,56.2
200805,56.2
200806,56.3
200807,56.2
200808,56.2
200809,56.3
200810,56.6
200811,56.8
200812,56.8
200901,57.2
200902,57.2
200903,57.2
200904,57.2
200905,57.4
200906,57.3
200907,57.2
200908,57.3
200909,57.4
200910,57.2
200911,56.9
200912,57
201001,56.9
201002,57
201003,57.1
201004,56.9
201005,56.6
201006,56.7
201007,56.5
201008,56.3
201009,56.2
201010,56.2
201011,56.2
201012,56.4
201101,56.4
201102,56.1
201103,56.1
201104,56.3
201105,56.3
201106,56.1
201107,56.3
201108,56.3
201109,56.3
201110,56.5
201111,56.4
201112,56.2
201201,56.2
201202,56.4
201203,56.3
201204,56.5
201205,56.7
201206,56.9
201207,56.8
201208,57
201209,56.9
201210,56.9
201211,57.3
201212,57.4
201301,57.2
201302,57.1
201303,57.4
201304,57.5
201305,57.7
201306,57.9
201307,58
201308,58.1
201309,58.3
201310,58.1
201311,58
201312,58
201401,58.5
201402,58.9
201403,59
201404,59
201405,59.2
201406,59.1
201407,59.2
201408,59.3
201409,59.4
201410,59.8
201411,59.9
201412,60.2
201501,60.1
201502,60.4
201503,60.6
201504,60.5
201505,60.1
201506,60.2
201507,60.3
201508,60.6
201509,60.8
201510,60.9
201511,60.5
201512,60.1
201601,59.9
201602,59.9
201603,59.6
201604,59.7
201605,59.9
201606,60
201607,59.7
201608,59.3
201609,58.9
201610,58.5
201611,58.8
201612,58.9
201701,58.6
201702,58.2
201703,58.2
201704,58
201705,58
201706,57.9
201707,57.9
201708,58.1
201709,58.5
201710,58.7
201711,58.7
201712,58.9
201801,59.3
201802,59.3
201803,59.1
201804,59.1
201805,59
201806,58.9
201807,59.1
201808,58.9
201809,58.4
201810,58.4
201811,58.4
201812,58.4
201901,58.4
201902,58
201903,58
201904,58.2
201905,58.1
201906,58.2
201907,58.1
201908,58.3
201909,58.8
201910,58.7
201911,58.6
201912,58.6
202001,58.5
202002,59
202003,58.9
202004,58.8
202005,59.1
202006,59.1
202007,59.1
202008,59.2
202009,59.2
202010,59.5
202011,59.4
202012,59.3
202101,59.4
202102,59.2
202103,59.1
202104,59
202105,58.8
202106,58.7
202107,58.8
202108,58.6
202109,58.4
202110,58
202111,58.3
202112,58.1
202201,58.2
202202,58.1
202203,58.3
202204,58.3
202205,58.2
202206,58.2
202207,58.1
202208,58.1
202209,58.3
202210,58.3
202211,57.7
202212,57.7
202301,57.5
202302,57.2
202303,56.8
202304,56.8
202305,56.8
202306,56.5
202307,56.6
202308,56.7
202309,56.4
202310,56.6
202311,57.2
202312,57.5
202401,57.8
202402,58.1
202403,58.5
202404,58.5
202405,58.6
202406,58.8
202407,58.9
202408,58.8
202409,58.9
202410,59.1
202411,58.7
202412,58.8
202501,58.7
202502,58.7
202503,58.6
202504,58.6
