#  Sierra County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,46.8
200002,47
200003,47.3
200004,47.8
200005,47.9
200006,48.3
200007,48.2
200008,48.5
200009,48.3
200010,47.8
200011,47.2
200012,47.4
200101,47.2
200102,46.8
200103,47.1
200104,46.6
200105,47.2
200106,47
200107,47.2
200108,47.4
200109,47.7
200110,48.2
200111,48.6
200112,48.2
200201,48.1
200202,48.6
200203,48.1
200204,48.5
200205,47.8
200206,47.9
200207,48.1
200208,47.9
200209,47.7
200210,47.4
200211,47.4
200212,47.5
200301,48.3
200302,48.1
200303,48.4
200304,47.8
200305,47.9
200306,47.9
200307,48
200308,47.9
200309,48.1
200310,48.6
200311,48.1
200312,48.2
200401,47.5
200402,47.4
200403,47.8
200404,48.5
200405,48.5
200406,48.4
200407,48.2
200408,48.3
200409,47.9
200410,47.3
200411,47.5
200412,47.6
200501,47.6
200502,47.8
200503,47.4
200504,47
200505,46.9
200506,46.5
200507,46.7
200508,46.7
200509,46.6
200510,46.8
200511,47.1
200512,47.3
200601,47.5
200602,47.5
200603,46.8
200604,46.8
200605,47.1
200606,47.8
200607,47.8
200608,47.6
200609,47.8
200610,47.7
200611,47.5
200612,47.3
200701,47
200702,47
200703,48
200704,48.2
200705,48.2
200706,48
200707,47.9
200708,48.1
200709,47.9
200710,47.7
200711,48
200712,47.8
200801,47.6
200802,47.3
200803,47
200804,46.7
200805,46.6
200806,46.5
200807,46.5
200808,46.6
200809,47
200810,47.3
200811,47.3
200812,47.4
200901,48
200902,48
200903,47.9
200904,48.1
200905,48.4
200906,48.2
200907,48.2
200908,48.1
200909,48.2
200910,47.9
200911,47.7
200912,47.6
201001,47.5
201002,47.7
201003,47.8
201004,47.4
201005,46.5
201006,46.5
201007,46.5
201008,46.3
201009,46
201010,46.2
201011,45.9
201012,46.3
201101,46.3
201102,45.9
201103,45.7
201104,45.8
201105,45.9
201106,45.7
201107,45.4
201108,45.6
201109,45.8
201110,45.8
201111,45.9
201112,45.9
201201,46
201202,46.3
201203,46.4
201204,46.7
201205,47.3
201206,47.5
201207,47.7
201208,48
201209,48
201210,48.2
201211,48.5
201212,48.2
201301,47.7
201302,47.6
201303,48
201304,48.2
201305,48.2
201306,48.5
201307,48.8
201308,48.4
201309,48
201310,47.7
201311,47.7
201312,47.8
201401,48.5
201402,48.9
201403,48.8
201404,48.7
201405,48.8
201406,48.8
201407,48.9
201408,49
201409,49.2
201410,49.7
201411,49.7
201412,50
201501,50
201502,50.4
201503,50.8
201504,50.7
201505,50.5
201506,50.8
201507,50.5
201508,50.5
201509,50.5
201510,50.7
201511,50.1
201512,49.7
201601,49.1
201602,48.9
201603,48.5
201604,48.7
201605,48.7
201606,48.5
201607,48.5
201608,48.6
201609,48.4
201610,47.9
201611,48.4
201612,48.6
201701,48.4
201702,47.9
201703,47.9
201704,47.6
201705,47.7
201706,47.8
201707,48
201708,48.2
201709,48.1
201710,48.3
201711,48.4
201712,48.7
201801,49.3
201802,49.3
201803,48.8
201804,49
201805,49
201806,48.9
201807,49
201808,48.8
201809,48.9
201810,48.9
201811,48.9
201812,48.7
201901,48.5
201902,48
201903,48
201904,48.1
201905,47.8
201906,47.7
201907,47.3
201908,47.3
201909,47
201910,46.7
201911,46.8
201912,46.8
202001,46.8
202002,47.7
202003,47.7
202004,47.6
202005,48
202006,47.9
202007,48.1
202008,48.3
202009,48.9
202010,49.6
202011,49.3
202012,49.3
202101,49.2
202102,48.9
202103,49
202104,49.1
202105,49.1
202106,49.6
202107,50
202108,49.9
202109,49.7
202110,49.1
202111,49.4
202112,49.2
202201,49.3
202202,49.4
202203,49.8
202204,49.5
202205,49.3
202206,48.9
202207,48.6
202208,48.7
202209,48.8
202210,49.3
202211,48.5
202212,48.4
202301,48
202302,47.5
202303,46.6
202304,46.5
202305,46.6
202306,46.4
202307,46.4
202308,46.2
202309,45.7
202310,45.5
202311,46
202312,46.6
202401,47
202402,47.3
202403,47.8
202404,47.9
202405,48
202406,48.5
202407,48.8
202408,48.8
202409,49.1
202410,49.3
202411,49
202412,49
202501,49
202502,49.1
202503,49.2
202504,49.3
