#  Sonoma County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,56.2
200002,56.5
200003,56.9
200004,57.1
200005,57.4
200006,57.6
200007,57.6
200008,57.6
200009,57.6
200010,57.4
200011,57
200012,57
200101,56.7
200102,56.5
200103,56.7
200104,56.3
200105,56.7
200106,56.8
200107,56.9
200108,57
200109,56.9
200110,57.2
200111,57.6
200112,57.6
200201,57.6
200202,57.9
200203,57.6
200204,57.8
200205,57.2
200206,57.1
200207,57.2
200208,57.2
200209,57.2
200210,57
200211,57.1
200212,57.1
200301,57.5
200302,57.5
200303,57.7
200304,57.2
200305,57.3
200306,57.3
200307,57.4
200308,57.5
200309,57.6
200310,57.9
200311,57.5
200312,57.4
200401,57.1
200402,57
200403,57.4
200404,58
200405,58.1
200406,58.1
200407,57.9
200408,58
200409,58
200410,57.6
200411,57.8
200412,57.8
200501,57.8
200502,58
200503,57.7
200504,57.4
200505,57.3
200506,57
200507,57.2
200508,57.1
200509,56.7
200510,56.7
200511,56.9
200512,57
200601,57.2
200602,57.1
200603,56.4
200604,56.4
200605,56.5
200606,56.9
200607,57.1
200608,57
200609,57.2
200610,57.1
200611,57
200612,56.8
200701,56.5
200702,56.4
200703,57.2
200704,57.4
200705,57.4
200706,57.2
200707,57
200708,57.2
200709,57.1
200710,57
200711,57.1
200712,57
200801,56.9
200802,57
200803,56.6
200804,56.5
200805,56.5
200806,56.6
200807,56.5
200808,56.6
200809,56.8
200810,57.1
200811,57.3
200812,57.1
200901,57.5
200902,57.4
200903,57.4
200904,57.5
200905,57.6
200906,57.4
200907,57.3
200908,57.2
200909,57.3
200910,57.1
200911,56.9
200912,57
201001,56.9
201002,57
201003,57
201004,56.7
201005,56.2
201006,56.3
201007,56.2
201008,56
201009,55.8
201010,55.9
201011,55.9
201012,56.1
201101,56.2
201102,55.9
201103,55.8
201104,56
201105,56
201106,55.8
201107,55.9
201108,56
201109,56.1
201110,56.2
201111,56
201112,55.9
201201,55.9
201202,56.2
201203,56.1
201204,56.3
201205,56.6
201206,56.7
201207,56.8
201208,56.9
201209,56.5
201210,56.6
201211,56.9
201212,56.9
201301,56.7
201302,56.6
201303,56.9
201304,57.3
201305,57.3
201306,57.5
201307,57.6
201308,57.5
201309,57.6
201310,57.4
201311,57.5
201312,57.5
201401,58.1
201402,58.2
201403,58.4
201404,58.3
201405,58.5
201406,58.5
201407,58.6
201408,58.7
201409,58.8
201410,59.3
201411,59.3
201412,59.7
201501,59.6
201502,60
201503,60.2
201504,60.1
201505,59.7
201506,59.8
201507,59.8
201508,59.9
201509,60.1
201510,60.2
201511,59.8
201512,59.4
201601,59.1
201602,59.1
201603,58.7
201604,58.9
201605,59
201606,59
201607,58.9
201608,58.7
201609,58.5
201610,58
201611,58.2
201612,58.2
201701,57.9
201702,57.5
201703,57.6
201704,57.3
201705,57.3
201706,57.3
201707,57.5
201708,57.8
201709,58
201710,58.3
201711,58.3
201712,58.5
201801,58.8
201802,58.9
201803,58.6
201804,58.6
201805,58.6
201806,58.5
201807,58.5
201808,58.3
201809,58
201810,57.9
201811,58.1
201812,58.1
201901,58.1
201902,57.6
201903,57.6
201904,57.9
201905,57.7
201906,57.7
201907,57.6
201908,57.9
201909,58
201910,57.9
201911,57.9
201912,57.9
202001,57.8
202002,58.5
202003,58.5
202004,58.4
202005,58.7
202006,58.7
202007,58.7
202008,58.8
202009,59.1
202010,59.6
202011,59.4
202012,59.4
202101,59.5
202102,59.2
202103,59.2
202104,59.1
202105,59.1
202106,59.1
202107,59.2
202108,58.9
202109,58.7
202110,58
202111,58.2
202112,57.9
202201,57.9
202202,57.9
202203,58.2
202204,58.1
202205,58
202206,57.9
202207,57.8
202208,57.9
202209,58.1
202210,58.3
202211,57.8
202212,57.8
202301,57.7
202302,57.3
202303,56.7
202304,56.7
202305,56.5
202306,56.1
202307,56.2
202308,56.3
202309,55.9
202310,55.9
202311,56.5
202312,56.9
202401,57.1
202402,57.4
202403,57.8
202404,57.9
202405,58.2
202406,58.6
202407,58.9
202408,58.8
202409,59
202410,59.2
202411,58.9
202412,58.9
202501,58.9
202502,58.9
202503,58.9
202504,59
