#  Sutter County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,62.1
200002,62.3
200003,62.6
200004,63
200005,63.1
200006,63.4
200007,63.4
200008,63.5
200009,63.3
200010,62.9
200011,62.4
200012,62.4
200101,62.2
200102,62
200103,62.2
200104,61.8
200105,62.3
200106,62.3
200107,62.5
200108,62.5
200109,62.6
200110,63.1
200111,63.6
200112,63.6
200201,63.5
200202,63.8
200203,63.4
200204,63.7
200205,63
200206,63
200207,63.2
200208,63.1
200209,63.1
200210,62.8
200211,62.8
200212,62.9
200301,63.4
200302,63.3
200303,63.5
200304,62.9
200305,62.9
200306,62.9
200307,63.1
200308,63.1
200309,63.2
200310,63.6
200311,63.2
200312,63.2
200401,62.8
200402,62.8
200403,63.3
200404,63.9
200405,64.1
200406,64.1
200407,63.8
200408,63.9
200409,63.8
200410,63.3
200411,63.4
200412,63.3
200501,63.2
200502,63.5
200503,63.1
200504,62.7
200505,62.6
200506,62.1
200507,62.5
200508,62.6
200509,62.3
200510,62.4
200511,62.7
200512,62.9
200601,63.1
200602,63
200603,62.4
200604,62.4
200605,62.7
200606,63.3
200607,63.3
200608,63.1
200609,63.3
200610,63.2
200611,63
200612,62.8
200701,62.6
200702,62.5
200703,63.4
200704,63.6
200705,63.6
200706,63.3
200707,62.9
200708,63.1
200709,62.9
200710,62.8
200711,63
200712,62.9
200801,62.9
200802,62.8
200803,62.5
200804,62.3
200805,62.3
200806,62.4
200807,62.4
200808,62.5
200809,62.9
200810,63.2
200811,63.2
200812,63.1
200901,63.5
200902,63.5
200903,63.4
200904,63.5
200905,63.7
200906,63.5
200907,63.5
200908,63.4
200909,63.5
200910,63.3
200911,63
200912,63.1
201001,62.9
201002,63.1
201003,63.1
201004,62.7
201005,61.9
201006,62.1
201007,62
201008,61.7
201009,61.5
201010,61.7
201011,61.6
201012,62.1
201101,61.9
201102,61.6
201103,61.5
201104,61.7
201105,61.8
201106,61.5
201107,61.4
201108,61.5
201109,61.7
201110,61.7
201111,61.5
201112,61.3
201201,61.5
201202,61.7
201203,61.7
201204,61.9
201205,62.4
201206,62.6
201207,62.7
201208,62.9
201209,62.8
201210,62.9
201211,63.3
201212,63.3
201301,63.1
201302,63
201303,63.4
201304,63.7
201305,63.7
201306,63.9
201307,64.1
201308,63.9
201309,63.6
201310,63.5
201311,63.5
201312,63.5
201401,64.1
201402,64.3
201403,64.4
201404,64.3
201405,64.4
201406,64.5
201407,64.6
201408,64.7
201409,64.9
201410,65.3
201411,65.2
201412,65.6
201501,65.4
201502,65.7
201503,65.9
201504,65.9
201505,65.6
201506,65.7
201507,65.6
201508,65.6
201509,65.6
201510,65.8
201511,65.4
201512,65
201601,64.9
201602,64.8
201603,64.4
201604,64.5
201605,64.7
201606,64.6
201607,64.6
201608,64.6
201609,64.5
201610,64
201611,64.3
201612,64.3
201701,64.1
201702,63.8
201703,63.8
201704,63.5
201705,63.6
201706,63.6
201707,63.8
201708,64.1
201709,64.2
201710,64.3
201711,64.3
201712,64.6
201801,64.9
201802,64.8
201803,64.5
201804,64.6
201805,64.4
201806,64.3
201807,64.3
201808,63.9
201809,63.6
201810,63.7
201811,63.7
201812,63.7
201901,63.6
201902,63.3
201903,63.3
201904,63.6
201905,63.3
201906,63.4
201907,63.2
201908,63.5
201909,63.5
201910,63.2
201911,63.3
201912,63.4
202001,63.2
202002,63.8
202003,63.9
202004,63.7
202005,64.1
202006,64
202007,64.1
202008,64.2
202009,64.5
202010,65.1
202011,64.9
202012,64.9
202101,65
202102,64.8
202103,64.8
202104,64.9
202105,65
202106,65.1
202107,65.3
202108,65.1
202109,65.1
202110,64.4
202111,64.6
202112,64.4
202201,64.4
202202,64.4
202203,64.8
202204,64.6
202205,64.3
202206,64.2
202207,64
202208,64.2
202209,64.3
202210,64.7
202211,64.3
202212,64.2
202301,64.1
202302,63.6
202303,63
202304,63
202305,62.9
202306,62.6
202307,62.7
202308,62.7
202309,62.3
202310,62.1
202311,62.6
202312,63.2
202401,63.3
202402,63.6
202403,64.1
202404,64.2
202405,64.4
202406,64.9
202407,65.1
202408,65
202409,65.4
202410,65.7
202411,65.4
202412,65.4
202501,65.4
202502,65.4
202503,65.3
202504,65.3
