#  Tehama County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,57.7
200002,57.9
200003,58.3
200004,58.6
200005,58.7
200006,59.1
200007,59
200008,59.2
200009,58.9
200010,58.5
200011,58
200012,58
200101,57.9
200102,57.7
200103,58
200104,57.5
200105,58.3
200106,58
200107,58.3
200108,58.4
200109,58.6
200110,59.1
200111,59.5
200112,59.2
200201,59
200202,59.5
200203,59.1
200204,59.4
200205,58.7
200206,58.8
200207,59.1
200208,59.1
200209,59.1
200210,58.8
200211,59
200212,59.1
200301,59.7
200302,59.5
200303,59.7
200304,59
200305,58.9
200306,59
200307,59.2
200308,59
200309,59.2
200310,59.5
200311,59
200312,58.9
200401,58.4
200402,58.2
200403,58.7
200404,59.6
200405,59.8
200406,59.6
200407,59.4
200408,59.5
200409,59.2
200410,58.6
200411,58.8
200412,59.1
200501,59.3
200502,59.6
200503,59.2
200504,58.7
200505,58.5
200506,57.9
200507,58.2
200508,58.3
200509,58.1
200510,58.2
200511,58.4
200512,58.4
200601,58.4
200602,58.3
200603,57.4
200604,57.4
200605,57.8
200606,58.6
200607,58.6
200608,58.4
200609,58.7
200610,58.7
200611,58.4
200612,58.3
200701,58.3
200702,58.1
200703,59.2
200704,59.5
200705,59.5
200706,59.3
200707,59
200708,59.1
200709,58.8
200710,58.5
200711,58.9
200712,58.7
200801,58.5
200802,58.5
200803,58
200804,57.8
200805,57.8
200806,57.8
200807,57.9
200808,58
200809,58.5
200810,58.9
200811,58.9
200812,59
200901,59.7
200902,59.5
200903,59.5
200904,59.6
200905,59.8
200906,59.5
200907,59.6
200908,59.5
200909,59.5
200910,59.2
200911,58.9
200912,58.9
201001,58.5
201002,58.7
201003,58.6
201004,58.2
201005,57.3
201006,57.3
201007,57.3
201008,57.1
201009,56.9
201010,57.1
201011,57
201012,57.2
201101,57.3
201102,57.2
201103,57
201104,57.2
201105,57.2
201106,57
201107,56.7
201108,56.8
201109,57.2
201110,57.2
201111,57.1
201112,57.2
201201,57.2
201202,57.4
201203,57.5
201204,57.7
201205,58.3
201206,58.5
201207,58.5
201208,58.8
201209,58.7
201210,58.8
201211,59.1
201212,58.8
201301,58.6
201302,58.7
201303,59.2
201304,59.6
201305,59.7
201306,60
201307,60.4
201308,60.1
201309,59.6
201310,59.5
201311,59.6
201312,60
201401,60.6
201402,60.7
201403,60.7
201404,60.5
201405,60.6
201406,60.7
201407,60.8
201408,60.9
201409,61.2
201410,61.5
201411,61.4
201412,61.5
201501,61.3
201502,61.8
201503,62.2
201504,62.2
201505,62
201506,62.2
201507,62
201508,62
201509,61.9
201510,62.1
201511,61.7
201512,61.3
201601,60.7
201602,60.6
201603,60.1
201604,60.2
201605,60.3
201606,59.9
201607,59.9
201608,60
201609,60
201610,59.3
201611,59.6
201612,59.7
201701,59.5
201702,59
201703,59.1
201704,58.6
201705,58.7
201706,58.8
201707,59.1
201708,59.3
201709,59.4
201710,59.8
201711,59.7
201712,60.1
201801,60.6
201802,60.7
201803,60.4
201804,60.6
201805,60.5
201806,60.4
201807,60.5
201808,60.1
201809,60
201810,60
201811,60.3
201812,60.1
201901,60
201902,59.3
201903,59.3
201904,59.6
201905,59.3
201906,59.4
201907,59
201908,59.1
201909,58.9
201910,58.7
201911,58.8
201912,58.8
202001,58.7
202002,59.6
202003,59.7
202004,59.6
202005,59.9
202006,59.8
202007,59.9
202008,60.1
202009,60.6
202010,61.3
202011,61
202012,61.1
202101,61.2
202102,60.9
202103,60.9
202104,61
202105,61.2
202106,61.6
202107,61.8
202108,61.7
202109,61.6
202110,60.7
202111,60.9
202112,60.5
202201,60.7
202202,60.8
202203,61.3
202204,60.9
202205,60.6
202206,60.3
202207,60.1
202208,60.2
202209,60.4
202210,61.1
202211,60.6
202212,60.7
202301,60.4
202302,59.9
202303,58.9
202304,58.9
202305,59
202306,58.7
202307,58.8
202308,58.6
202309,58.1
202310,57.7
202311,58.1
202312,58.5
202401,58.7
202402,58.9
202403,59.4
202404,59.4
202405,59.6
202406,60
202407,60.4
202408,60.2
202409,60.6
202410,60.9
202411,60.6
202412,60.5
202501,60.7
202502,60.8
202503,60.8
202504,61
