#  Trinity County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,51.6
200002,52
200003,52.3
200004,52.7
200005,52.7
200006,53.1
200007,53.1
200008,53.2
200009,53
200010,52.7
200011,52.3
200012,52.4
200101,52.2
200102,51.9
200103,52.1
200104,51.7
200105,52.2
200106,51.9
200107,52.1
200108,52.2
200109,52.3
200110,52.6
200111,52.9
200112,52.8
200201,52.8
200202,53.2
200203,52.8
200204,53.2
200205,52.7
200206,52.8
200207,53.1
200208,53.1
200209,53.1
200210,52.9
200211,53.1
200212,53.1
200301,53.7
200302,53.6
200303,53.8
200304,53.1
200305,53.1
200306,53.3
200307,53.3
200308,53.3
200309,53.3
200310,53.6
200311,53.2
200312,53.1
200401,52.6
200402,52.5
200403,52.9
200404,53.6
200405,53.7
200406,53.6
200407,53.5
200408,53.6
200409,53.3
200410,52.9
200411,53.2
200412,53.3
200501,53.4
200502,53.7
200503,53.4
200504,53
200505,52.9
200506,52.4
200507,52.4
200508,52.5
200509,52.4
200510,52.4
200511,52.4
200512,52.4
200601,52.3
200602,52.2
200603,51.4
200604,51.4
200605,51.7
200606,52.4
200607,52.4
200608,52.2
200609,52.4
200610,52.4
200611,52.4
200612,52.3
200701,52.2
200702,52
200703,52.9
200704,53.1
200705,53.2
200706,52.9
200707,52.7
200708,52.8
200709,52.6
200710,52.4
200711,52.7
200712,52.5
200801,52.3
200802,52.3
200803,51.9
200804,51.6
200805,51.5
200806,51.5
200807,51.4
200808,51.4
200809,51.8
200810,52.1
200811,52.2
200812,52.2
200901,52.7
200902,52.7
200903,52.7
200904,52.9
200905,53.1
200906,53.1
200907,53.3
200908,53.2
200909,53.2
200910,53
200911,52.7
200912,52.7
201001,52.7
201002,52.9
201003,52.9
201004,52.6
201005,51.8
201006,51.7
201007,51.7
201008,51.6
201009,51.3
201010,51.5
201011,51.5
201012,51.8
201101,51.8
201102,51.5
201103,51.3
201104,51.4
201105,51.5
201106,51.4
201107,51.1
201108,51.2
201109,51.4
201110,51.4
201111,51.4
201112,51.2
201201,51
201202,51.2
201203,51.2
201204,51.4
201205,51.9
201206,51.9
201207,51.9
201208,52.2
201209,52.2
201210,52.4
201211,52.7
201212,52.6
201301,52.5
201302,52.5
201303,53
201304,53.3
201305,53.4
201306,53.8
201307,54.3
201308,54
201309,53.6
201310,53.3
201311,53.4
201312,53.4
201401,53.8
201402,53.9
201403,53.9
201404,53.9
201405,53.9
201406,54
201407,54
201408,54.2
201409,54.5
201410,54.9
201411,54.9
201412,55.4
201501,55.5
201502,55.9
201503,56.3
201504,56.2
201505,56.2
201506,56.7
201507,56.5
201508,56.3
201509,56.1
201510,56.4
201511,56
201512,55.6
201601,55.2
201602,55
201603,54.6
201604,54.8
201605,54.7
201606,54.3
201607,54.2
201608,54.4
201609,54.4
201610,53.8
201611,54.1
201612,54
201701,53.7
201702,53.3
201703,53.4
201704,52.9
201705,53
201706,53
201707,53.2
201708,53.3
201709,53.4
201710,53.6
201711,53.5
201712,53.7
201801,54.2
201802,54.1
201803,53.8
201804,54
201805,54
201806,53.9
201807,54.1
201808,53.7
201809,53.6
201810,53.7
201811,53.8
201812,53.8
201901,53.8
201902,53.3
201903,53.4
201904,53.6
201905,53.3
201906,53.4
201907,53
201908,53.1
201909,53
201910,52.7
201911,52.9
201912,52.9
202001,52.7
202002,53.5
202003,53.5
202004,53.5
202005,53.6
202006,53.5
202007,53.7
202008,53.9
202009,54.3
202010,55
202011,54.7
202012,54.7
202101,54.7
202102,54.4
202103,54.4
202104,54.5
202105,54.7
202106,55.1
202107,55.4
202108,55.2
202109,55.1
202110,54.4
202111,54.6
202112,54.3
202201,54.5
202202,54.6
202203,55
202204,54.6
202205,54.2
202206,53.9
202207,53.7
202208,53.9
202209,54.1
202210,54.6
202211,54.2
202212,54.2
202301,54
202302,53.6
202303,52.7
202304,52.7
202305,53
202306,52.9
202307,52.9
202308,52.7
202309,52.3
202310,52
202311,52.4
202312,52.9
202401,53
202402,53.3
202403,53.8
202404,53.9
202405,53.9
202406,54.1
202407,54.4
202408,54.2
202409,54.6
202410,54.8
202411,54.5
202412,54.4
202501,54.4
202502,54.4
202503,54.5
202504,54.7
