#  Tulare County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,54.1
200002,54.3
200003,54.5
200004,55.1
200005,55.4
200006,55.8
200007,55.8
200008,56
200009,55.8
200010,55.3
200011,54.6
200012,54.8
200101,54.5
200102,54.1
200103,54.3
200104,53.8
200105,54.3
200106,54.3
200107,54.4
200108,54.5
200109,54.7
200110,55.2
200111,55.7
200112,55.3
200201,55.3
200202,55.8
200203,55.5
200204,55.8
200205,55.2
200206,55.1
200207,55.4
200208,55.2
200209,55.2
200210,54.7
200211,54.8
200212,54.9
200301,55.5
200302,55.2
200303,55.4
200304,54.9
200305,54.9
200306,54.9
200307,55
200308,55.1
200309,55.3
200310,55.9
200311,55.4
200312,55.5
200401,55
200402,54.8
200403,55.3
200404,56
200405,56.1
200406,56
200407,55.8
200408,55.8
200409,55.4
200410,54.8
200411,54.8
200412,54.7
200501,54.8
200502,55.1
200503,54.6
200504,54.1
200505,54
200506,53.6
200507,53.8
200508,53.9
200509,53.7
200510,53.8
200511,54.4
200512,54.6
200601,54.7
200602,54.7
200603,54.1
200604,54.1
200605,54.4
200606,55
200607,55
200608,54.8
200609,55.1
200610,54.9
200611,54.7
200612,54.5
200701,54.2
200702,54
200703,54.9
200704,55.2
200705,55.2
200706,55
200707,54.8
200708,55
200709,54.8
200710,54.8
200711,55
200712,54.8
200801,54.9
200802,54.9
200803,54.5
200804,54.4
200805,54.2
200806,54.2
200807,54.3
200808,54.3
200809,54.8
200810,55
200811,55
200812,55
200901,55.4
200902,55.3
200903,55.2
200904,55.1
200905,55.7
200906,55.3
200907,55.4
200908,55.2
200909,55.3
200910,54.9
200911,54.7
200912,54.8
201001,54.7
201002,54.8
201003,54.8
201004,54.5
201005,53.5
201006,53.7
201007,53.6
201008,53.5
201009,53.2
201010,53.5
201011,53.3
201012,53.6
201101,53.5
201102,53.3
201103,53.2
201104,53.5
201105,53.5
201106,53.3
201107,53.1
201108,53.3
201109,53.5
201110,53.5
201111,53.5
201112,53.2
201201,53.5
201202,53.7
201203,53.8
201204,53.9
201205,54.5
201206,54.7
201207,54.7
201208,55
201209,55.1
201210,55.2
201211,55.5
201212,55.6
201301,55.2
201302,55.1
201303,55.6
201304,55.8
201305,55.8
201306,56.1
201307,56.4
201308,56.1
201309,55.7
201310,55.5
201311,55.5
201312,55.6
201401,56.2
201402,56.6
201403,56.6
201404,56.6
201405,56.6
201406,56.6
201407,56.6
201408,56.6
201409,56.8
201410,57.4
201411,57.4
201412,57.6
201501,57.3
201502,57.6
201503,57.9
201504,57.8
201505,57.4
201506,57.6
201507,57.2
201508,57.3
201509,57.3
201510,57.2
201511,56.7
201512,56.2
201601,56
201602,55.8
201603,55.3
201604,55.4
201605,55.6
201606,55.6
201607,55.8
201608,55.7
201609,55.5
201610,55.1
201611,55.6
201612,55.8
201701,55.7
201702,55.4
201703,55.4
201704,55.2
201705,55.3
201706,55.2
201707,55.4
201708,55.5
201709,55.5
201710,55.6
201711,55.7
201712,56
201801,56.6
201802,56.5
201803,56.2
201804,56.3
201805,56.3
201806,56.2
201807,56.3
201808,56.2
201809,56.4
201810,56.3
201811,56.2
201812,55.9
201901,55.7
201902,55.2
201903,55.2
201904,55.3
201905,54.9
201906,54.8
201907,54.4
201908,54.4
201909,54.2
201910,54
201911,54.1
201912,54
202001,53.9
202002,54.6
202003,54.5
202004,54.3
202005,54.9
202006,54.8
202007,54.9
202008,55.1
202009,55.5
202010,56.2
202011,56
202012,56.1
202101,56.2
202102,56
202103,56
202104,56.2
202105,56.3
202106,56.7
202107,57.1
202108,57
202109,56.9
202110,56.1
202111,56.4
202112,56.3
202201,56.3
202202,56.3
202203,56.7
202204,56.5
202205,56.3
202206,55.9
202207,55.6
202208,55.8
202209,56
202210,56.6
202211,55.9
202212,56
202301,55.7
202302,55.3
202303,54.5
202304,54.5
202305,54.5
202306,54.1
202307,54.2
202308,53.8
202309,53.3
202310,53.2
202311,53.6
202312,54
202401,54.3
202402,54.6
202403,55
202404,54.9
202405,55
202406,55.7
202407,56
202408,56.1
202409,56.5
202410,56.8
202411,56.5
202412,56.5
202501,56.5
202502,56.7
202503,56.7
202504,56.9
