#  Tuolumne County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,49.9
200002,50.1
200003,50.3
200004,50.9
200005,51.1
200006,51.5
200007,51.5
200008,51.8
200009,51.5
200010,50.9
200011,50.3
200012,50.4
200101,50.2
200102,49.8
200103,50
200104,49.5
200105,50.1
200106,50
200107,50.1
200108,50.3
200109,50.6
200110,51.1
200111,51.6
200112,51
200201,51
200202,51.5
200203,51.1
200204,51.5
200205,50.7
200206,50.7
200207,51
200208,50.8
200209,50.7
200210,50.3
200211,50.4
200212,50.5
200301,51.2
200302,50.9
200303,51.2
200304,50.6
200305,50.7
200306,50.7
200307,50.7
200308,50.7
200309,50.9
200310,51.5
200311,50.9
200312,51
200401,50.4
200402,50.2
200403,50.7
200404,51.4
200405,51.5
200406,51.5
200407,51.3
200408,51.4
200409,51
200410,50.3
200411,50.4
200412,50.5
200501,50.6
200502,50.9
200503,50.3
200504,49.9
200505,49.7
200506,49.2
200507,49.4
200508,49.5
200509,49.3
200510,49.5
200511,50
200512,50
200601,50
200602,50.1
200603,49.4
200604,49.4
200605,49.7
200606,50.4
200607,50.4
200608,50.1
200609,50.5
200610,50.3
200611,50.1
200612,50
200701,49.9
200702,49.8
200703,50.8
200704,51.1
200705,51.1
200706,50.9
200707,50.8
200708,51
200709,50.7
200710,50.7
200711,51
200712,50.8
200801,50.6
200802,50.6
200803,50.2
200804,50.1
200805,49.9
200806,49.9
200807,49.9
200808,50
200809,50.4
200810,50.7
200811,50.6
200812,50.7
200901,51.3
200902,51.2
200903,51.1
200904,51
200905,51.4
200906,51.1
200907,51.1
200908,50.8
200909,50.9
200910,50.6
200911,50.4
200912,50.3
201001,50.2
201002,50.3
201003,50.3
201004,50
201005,49
201006,49.2
201007,49.1
201008,49
201009,48.7
201010,49
201011,48.7
201012,48.9
201101,48.9
201102,48.6
201103,48.5
201104,48.6
201105,48.7
201106,48.4
201107,48.1
201108,48.3
201109,48.4
201110,48.5
201111,48.6
201112,48.5
201201,48.7
201202,49
201203,49.2
201204,49.4
201205,50
201206,50.4
201207,50.6
201208,50.9
201209,51.1
201210,51.2
201211,51.4
201212,51.1
201301,50.7
201302,50.6
201303,51.1
201304,51.3
201305,51.3
201306,51.5
201307,51.8
201308,51.4
201309,50.9
201310,50.6
201311,50.6
201312,51
201401,51.7
201402,52
201403,52
201404,51.9
201405,51.9
201406,51.9
201407,52
201408,52.1
201409,52.3
201410,52.9
201411,53
201412,53.1
201501,53
201502,53.4
201503,53.8
201504,53.7
201505,53.4
201506,53.6
201507,53.3
201508,53.4
201509,53.5
201510,53.4
201511,52.9
201512,52.5
201601,51.9
201602,51.8
201603,51.4
201604,51.5
201605,51.6
201606,51.5
201607,51.6
201608,51.7
201609,51.4
201610,51
201611,51.5
201612,51.8
201701,51.6
201702,51
201703,51.1
201704,50.8
201705,51
201706,50.9
201707,51.1
201708,51.1
201709,51.1
201710,51.3
201711,51.3
201712,51.8
201801,52.5
201802,52.6
201803,52.1
201804,52.3
201805,52.2
201806,52.1
201807,52.2
201808,52.1
201809,52.3
201810,52.2
201811,52.3
201812,51.9
201901,51.6
201902,51
201903,51.1
201904,51.2
201905,50.8
201906,50.7
201907,50.2
201908,50.3
201909,50
201910,49.9
201911,49.9
201912,49.9
202001,49.8
202002,50.8
202003,50.7
202004,50.6
202005,51.1
202006,51
202007,51.2
202008,51.4
202009,51.9
202010,52.6
202011,52.3
202012,52.5
202101,52.5
202102,52.2
202103,52.3
202104,52.4
202105,52.5
202106,52.9
202107,53.3
202108,53.2
202109,53.1
202110,52.3
202111,52.7
202112,52.4
202201,52.4
202202,52.4
202203,52.8
202204,52.5
202205,52.3
202206,51.9
202207,51.7
202208,51.7
202209,51.7
202210,52.2
202211,51.4
202212,51.4
202301,50.9
202302,50.5
202303,49.7
202304,49.7
202305,49.7
202306,49.3
202307,49.4
202308,49.2
202309,48.8
202310,48.6
202311,49.1
202312,49.6
202401,50
202402,50.3
202403,50.8
202404,50.9
202405,51
202406,51.7
202407,52
202408,52
202409,52.4
202410,52.7
202411,52.4
202412,52.4
202501,52.5
202502,52.7
202503,52.8
202504,52.8
