#  Ventura County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,57
200002,57.1
200003,57.3
200004,57.8
200005,58.2
200006,58.5
200007,58.5
200008,58.8
200009,58.8
200010,58.3
200011,57.9
200012,58
200101,57.7
200102,57.4
200103,57.6
200104,57.2
200105,57.3
200106,57.3
200107,57.3
200108,57.2
200109,57.3
200110,57.6
200111,58
200112,57.7
200201,57.7
200202,58.1
200203,57.8
200204,58.1
200205,57.6
200206,57.5
200207,57.7
200208,57.6
200209,57.6
200210,57.3
200211,57.5
200212,57.5
200301,58.2
200302,58.1
200303,58.4
200304,58.1
200305,58.1
200306,58
200307,58.3
200308,58.6
200309,58.7
200310,59.3
200311,58.8
200312,58.8
200401,58.1
200402,58
200403,58.3
200404,58.8
200405,59
200406,59.1
200407,58.7
200408,58.5
200409,58.4
200410,57.9
200411,57.9
200412,58
200501,58.1
200502,58.4
200503,57.9
200504,57.7
200505,57.7
200506,57.4
200507,57.6
200508,57.8
200509,57.5
200510,57.6
200511,58
200512,58.2
200601,58.1
200602,58.2
200603,57.6
200604,57.5
200605,57.5
200606,58
200607,58.3
200608,58.1
200609,58.4
200610,58.3
200611,58.3
200612,58.1
200701,57.9
200702,57.8
200703,58.5
200704,58.8
200705,58.7
200706,58.4
200707,58.1
200708,58.3
200709,58.2
200710,58.3
200711,58.3
200712,58
200801,58.1
200802,58
200803,57.8
200804,57.8
200805,57.7
200806,57.9
200807,57.9
200808,57.9
200809,58.2
200810,58.4
200811,58.6
200812,58.6
200901,59.1
200902,59
200903,58.7
200904,58.6
200905,59
200906,58.6
200907,58.6
200908,58.4
200909,58.5
200910,58.2
200911,57.9
200912,58
201001,57.7
201002,57.8
201003,57.9
201004,57.8
201005,57.2
201006,57.4
201007,57.1
201008,57
201009,56.7
201010,56.7
201011,56.6
201012,56.8
201101,56.9
201102,56.7
201103,56.6
201104,56.9
201105,56.9
201106,56.7
201107,56.9
201108,57.1
201109,57.1
201110,57.2
201111,57.2
201112,57
201201,57.1
201202,57.3
201203,57.3
201204,57.3
201205,57.7
201206,57.9
201207,57.8
201208,58.2
201209,58.5
201210,58.6
201211,58.9
201212,58.9
201301,58.6
201302,58.5
201303,59
201304,59.2
201305,59.3
201306,59.6
201307,59.8
201308,59.5
201309,59.2
201310,59
201311,59
201312,59.4
201401,60
201402,60.4
201403,60.4
201404,60.4
201405,60.4
201406,60.3
201407,60.4
201408,60.4
201409,60.5
201410,60.9
201411,61
201412,61
201501,60.8
201502,61
201503,61.3
201504,61.2
201505,60.8
201506,60.9
201507,60.7
201508,60.9
201509,61
201510,61.3
201511,60.9
201512,60.7
201601,60.4
201602,60.4
201603,60
201604,60.1
201605,60.1
201606,60.2
201607,60.3
201608,60.2
201609,59.8
201610,59.3
201611,59.6
201612,59.7
201701,59.5
201702,59
201703,59.1
201704,59.1
201705,59.3
201706,59.3
201707,59.4
201708,59.6
201709,59.6
201710,59.9
201711,60
201712,60.3
201801,61
201802,61
201803,60.6
201804,60.5
201805,60.3
201806,60.1
201807,60.2
201808,60.2
201809,60.2
201810,60
201811,59.9
201812,59.5
201901,59.1
201902,58.6
201903,58.6
201904,58.7
201905,58.5
201906,58.5
201907,58.1
201908,58
201909,58
201910,57.8
201911,57.8
201912,57.7
202001,57.7
202002,58.3
202003,58.2
202004,58
202005,58.6
202006,58.6
202007,58.6
202008,58.8
202009,59
202010,59.5
202011,59.4
202012,59.5
202101,59.6
202102,59.6
202103,59.5
202104,59.6
202105,59.4
202106,59.7
202107,60
202108,59.9
202109,59.6
202110,59.1
202111,59.4
202112,59.2
202201,59.3
202202,59.3
202203,59.7
202204,59.7
202205,59.7
202206,59.6
202207,59.5
202208,59.6
202209,60
202210,60.3
202211,59.7
202212,59.8
202301,59.4
202302,59
202303,58.3
202304,58.2
202305,58
202306,57.4
202307,57.5
202308,57.4
202309,56.7
202310,56.6
202311,57
202312,57.3
202401,57.5
202402,57.7
202403,58
202404,57.9
202405,58
202406,58.6
202407,58.7
202408,58.7
202409,59.1
202410,59.3
202411,59
202412,59.1
202501,59.1
202502,59.5
202503,59.5
202504,59.6
