#  Yolo County, California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
200001,61.2
200002,61.4
200003,61.8
200004,62.1
200005,62.3
200006,62.6
200007,62.5
200008,62.6
200009,62.5
200010,62.1
200011,61.7
200012,61.6
200101,61.4
200102,61.2
200103,61.4
200104,61
200105,61.6
200106,61.6
200107,61.8
200108,61.8
200109,61.9
200110,62.3
200111,62.8
200112,62.8
200201,62.7
200202,63
200203,62.6
200204,62.8
200205,62.2
200206,62.1
200207,62.3
200208,62.2
200209,62.3
200210,62
200211,61.9
200212,62
200301,62.5
200302,62.3
200303,62.6
200304,62.1
200305,62.1
200306,62.1
200307,62.3
200308,62.4
200309,62.5
200310,62.9
200311,62.5
200312,62.4
200401,62.1
200402,62
200403,62.4
200404,63.1
200405,63.2
200406,63.2
200407,62.8
200408,62.9
200409,62.8
200410,62.3
200411,62.4
200412,62.5
200501,62.4
200502,62.6
200503,62.2
200504,61.9
200505,61.8
200506,61.4
200507,61.8
200508,61.8
200509,61.5
200510,61.6
200511,61.9
200512,62.1
200601,62.4
200602,62.3
200603,61.6
200604,61.6
200605,61.8
200606,62.3
200607,62.4
200608,62.1
200609,62.3
200610,62.1
200611,62
200612,61.8
200701,61.5
200702,61.4
200703,62.3
200704,62.6
200705,62.6
200706,62.4
200707,62
200708,62.2
200709,62
200710,62
200711,62.1
200712,62.1
200801,62
200802,61.9
200803,61.6
200804,61.4
200805,61.4
200806,61.5
200807,61.5
200808,61.6
200809,61.9
200810,62.2
200811,62.2
200812,62.1
200901,62.4
200902,62.4
200903,62.3
200904,62.4
200905,62.6
200906,62.4
200907,62.4
200908,62.2
200909,62.4
200910,62.2
200911,62
200912,62
201001,61.9
201002,62.1
201003,62
201004,61.6
201005,60.9
201006,61.1
201007,60.9
201008,60.7
201009,60.5
201010,60.7
201011,60.6
201012,61
201101,60.9
201102,60.6
201103,60.5
201104,60.7
201105,60.8
201106,60.5
201107,60.5
201108,60.6
201109,60.8
201110,60.8
201111,60.7
201112,60.5
201201,60.7
201202,60.9
201203,60.9
201204,61
201205,61.5
201206,61.8
201207,61.8
201208,62
201209,61.8
201210,61.9
201211,62.2
201212,62.2
201301,61.9
201302,61.8
201303,62.1
201304,62.5
201305,62.6
201306,62.7
201307,62.9
201308,62.7
201309,62.6
201310,62.4
201311,62.5
201312,62.5
201401,63.1
201402,63.4
201403,63.5
201404,63.4
201405,63.5
201406,63.5
201407,63.6
201408,63.8
201409,64
201410,64.3
201411,64.3
201412,64.7
201501,64.5
201502,64.7
201503,64.9
201504,64.9
201505,64.5
201506,64.6
201507,64.5
201508,64.5
201509,64.5
201510,64.7
201511,64.3
201512,63.9
201601,63.8
201602,63.7
201603,63.4
201604,63.4
201605,63.7
201606,63.6
201607,63.5
201608,63.5
201609,63.4
201610,62.8
201611,63.1
201612,63.1
201701,62.8
201702,62.6
201703,62.6
201704,62.3
201705,62.3
201706,62.3
201707,62.4
201708,62.7
201709,62.8
201710,63
201711,62.9
201712,63.1
201801,63.4
201802,63.5
201803,63.1
201804,63.1
201805,63
201806,62.8
201807,62.9
201808,62.5
201809,62.3
201810,62.4
201811,62.5
201812,62.4
201901,62.5
201902,62
201903,62.1
201904,62.4
201905,62.2
201906,62.3
201907,62
201908,62.4
201909,62.5
201910,62.3
201911,62.3
201912,62.4
202001,62.3
202002,62.9
202003,62.9
202004,62.8
202005,63.2
202006,63.1
202007,63.2
202008,63.3
202009,63.6
202010,64.1
202011,63.9
202012,63.9
202101,64
202102,63.9
202103,63.9
202104,64
202105,64.1
202106,64.2
202107,64.4
202108,64.2
202109,64.1
202110,63.5
202111,63.6
202112,63.3
202201,63.3
202202,63.2
202203,63.5
202204,63.3
202205,63.1
202206,63
202207,62.9
202208,63
202209,63.1
202210,63.4
202211,63.1
202212,63
202301,62.9
202302,62.5
202303,61.8
202304,61.8
202305,61.6
202306,61.1
202307,61.3
202308,61.2
202309,60.8
202310,60.7
202311,61.1
202312,61.6
202401,61.8
202402,62.1
202403,62.5
202404,62.5
202405,62.8
202406,63.3
202407,63.7
202408,63.5
202409,63.9
202410,64.2
202411,63.9
202412,63.8
202501,63.8
202502,63.8
202503,63.8
202504,63.8
